V1 X1 S1 I1 T1 B1
C1 M1 O1 F1 A1 U1
J1 N1 H1 R1 Q1 E1
W1 K1 D1 P1 G1 L1

Legend:
A1: cell-a; produces A; needs F,O,U
B1: cell-b; produces B; needs A,T,U
C1: cell-c; produces C; needs J,X,V
D1: cell-d; produces D; needs K,W,P
E1: cell-e; produces E; needs Q,G,L
F1: cell-f; produces F; needs O,A,M
G1: cell-g; produces G; needs L,P,D
H1: cell-h; produces H; needs N,Q,R
I1: cell-i; produces I; needs B,S,T
J1: cell-j; produces J; needs C,W,V
K1: cell-k; produces K; needs D,W,J
L1: cell-l; produces L; needs E,G,P
M1: cell-m; produces M; needs N,O,H
N1: cell-n; produces N; needs M,H,R
O1: cell-o; produces O; needs N,F,M
P1: cell-p; produces P; needs D,G,K
Q1: cell-q; produces Q; needs R,E,L
R1: cell-r; produces R; needs Q,E,H
S1: cell-s; produces S; needs T,I,X
T1: cell-t; produces T; needs I,U,B
U1: cell-u; produces U; needs F,A,B
V1: cell-v; produces V; needs C,X,S
W1: cell-w; produces W; needs C,J,K
X1: cell-x; produces X; needs I,S,V
