.. .. ## .. .. ## *1 .. .. *H .. Z2 .. J1 Q4
N6 ## .. .. *8 *9 G4 .. Q2 .. .. E3 .. .. V3
.. L1 ## W2 .. U1 .. Q3 *E .. N3 ## M1 .. ..
I1 .. Q5 S2 .. .. A4 Z3 .. .. .. .. R1 .. W1
*2 V4 *A O1 V1 P3 X2 E2 ## .. M2 ## .. H2 F3
*5 .. ## ## .. ## H3 .. N1 Q1 .. .. E1 V2 *I
## L2 ## ## ## .. F2 ## *6 N2 R2 .. X3 F4 ..
.. ## H1 P2 ## Y4 .. J3 ## N5 L4 Y2 .. .. ..
S1 O2 ## .. D2 A2 D4 .. ## B3 F1 ## ## C1 ..
N7 D1 .. .. *4 L3 ## D3 Y1 *3 .. K1 .. .. I3
*D .. A5 ## B2 ## .. Z4 .. G6 .. *7 ## .. ..
.. ## T1 .. V6 N4 ## ## G3 *F U2 G2 Y3 H4 N8
## I2 *B .. *G J2 ## K2 B1 ## ## C2 X1 ## E4
A1 G1 V5 .. M3 Z1 A3 ## .. H5 G5 P1 .. ## *C

Legend:
*1: red-myco-001; red-myco; needs G,S,V,I
*2: red-myco-002; red-myco; needs H,G,M,D
*3: red-myco-003; red-myco; needs U,A,O,I
*4: red-myco-004; red-myco; needs W,Y,I,X
*5: red-myco-005; red-myco; needs W,H,B,O
*6: red-myco-006; red-myco; needs W,A,E,U
*7: red-myco-007; red-myco; needs P,M,L,Z
*8: red-myco-008; red-myco; needs T,J,I,Y
*9: red-myco-009; red-myco; needs Y,K,L,E
*A: red-myco-010; red-myco; needs M,O,C,N
*B: red-myco-011; red-myco; needs Y,H,Z,K
*C: red-myco-012; red-myco; needs P,M,S,W
*D: red-myco-013; red-myco; needs S,T,D,N
*E: red-myco-014; red-myco; needs X,D,Q,R
*F: red-myco-015; red-myco; needs T,L,W,F
*G: red-myco-016; red-myco; needs I,L,G,J
*H: red-myco-017; red-myco; needs Q,E,G,A
*I: red-myco-018; red-myco; needs G,T,W,K
A1: cell-a-001; produces A; needs Y,N,O
A2: cell-a-002; produces A; needs N,R,X
A3: cell-a-003; produces A; needs Q,W,F
A4: cell-a-004; produces A; needs L,Q,V
A5: cell-a-005; produces A; needs V,L,B
B1: cell-b-001; produces B; needs D,N,U
