F1 Z4 .. ## B2 F2 T4 N3 *6 .. .. V2 Q2 .. R3
B4 .. L1 *D D2 U1 I2 .. .. *1 Z1 L2 V5 *F ##
N5 ## Q5 N6 .. G1 .. ## N4 B1 ## C1 .. *H O1
S1 U3 M2 P1 ## R2 .. V3 ## .. ## .. ## ## B5
## .. .. ## J2 .. .. .. S2 T1 K2 ## W2 .. W3
*2 ## ## .. P2 .. C2 .. .. .. T3 .. I5 Y2 ..
*B ## .. *I .. .. S3 G3 .. *C ## M1 F3 A3 ..
*J E3 Q1 T2 .. .. X2 E2 Y1 R5 ## *E K3 H2 I6
## G2 X3 ## D1 .. ## *7 .. ## N1 ## O2 .. N2
.. .. *5 .. .. B3 I1 *A *9 J3 ## .. S5 .. ..
## .. .. .. V4 .. ## Q4 K1 .. S4 I7 .. W1 V1
X1 .. X4 .. ## E5 E1 ## U2 P3 H1 J1 W4 .. A2
.. *G I4 ## *8 *3 .. ## ## A1 ## E4 .. R4 R1
K4 .. *4 Q3 ## A4 Z2 ## ## ## .. I3 ## Z3 ##

Legend:
*1: red-myco-001; red-myco; needs I,Z,X,P
*2: red-myco-002; red-myco; needs F,O,Q,V
*3: red-myco-003; red-myco; needs U,X,M,Y
*4: red-myco-004; red-myco; needs O,E,F,A
*5: red-myco-005; red-myco; needs X,Z,C,L
*6: red-myco-006; red-myco; needs O,U,P,F
*7: red-myco-007; red-myco; needs E,K,N,F
*8: red-myco-008; red-myco; needs W,U,P,H
*9: red-myco-009; red-myco; needs U,F,P,S
*A: red-myco-010; red-myco; needs M,X,A,G
*B: red-myco-011; red-myco; needs Y,D,C,A
*C: red-myco-012; red-myco; needs B,F,X,R
*D: red-myco-013; red-myco; needs Z,A,R,L
*E: red-myco-014; red-myco; needs H,M,X,O
*F: red-myco-015; red-myco; needs Y,A,O,R
*G: red-myco-016; red-myco; needs H,O,Y,S
*H: red-myco-017; red-myco; needs V,S,D,G
*I: red-myco-018; red-myco; needs X,L,T,K
*J: red-myco-019; red-myco; needs Q,D,Z,O
A1: cell-a-001; produces A; needs S,W,Z
A2: cell-a-002; produces A; needs W,O,V
A3: cell-a-003; produces A; needs E,W,X
A4: cell-a-004; produces A; needs P,X,Q
B1: cell-b-001; produces B; needs I,J,P
B2: cell-b-002; produces B; needs W,H,N
B3: cell-b-003; produces B; needs H,U,A
B4: cell-b-004; produces B; needs X,O,Z
B5: cell-b-005; produces B; needs X,C,I
C1: cell-c-001; produces C; needs B,O,X
C2: cell-c-002; produces C; needs Q,Y,T
D1: cell-d-001; produces D; needs K,V,P
D2: cell-d-002; produces D; needs K,C,L
E1: cell-e-001; produces E; needs Q,V,I
E2: cell-e-002; produces E; needs C,P,F
E3: cell-e-003; produces E; needs J,K,W
E4: cell-e-004; produces E; needs X,A,B
E5: cell-e-005; produces E; needs H,N,L
F1: cell-f-001; produces F; needs U,S,Q
