## .. .. Z2 B2 ## ## *3 .. R2 E5 .. Q4 .. ..
K3 ## U2 L4 X1 *1 L1 .. ## ## ## *7 .. N3 S1
.. ## G3 J3 G4 ## C2 .. I3 *8 E4 .. J7 ## Y3
## ## .. .. *K T1 E2 S5 Y2 .. ## *J .. .. D1
J1 T2 ## W5 P4 ## R1 O1 L6 G2 C3 P5 .. *L U4
.. ## F5 .. ## A2 .. S2 *G W3 N6 F2 N2 N1 ##
A3 L2 F1 V4 ## B4 A1 .. .. ## *5 J6 ## B3 ..
*B *D .. ## .. .. .. Q1 *4 .. Y1 ## F3 .. ##
.. H1 ## *9 I2 V2 *C L3 .. ## *I .. J2 .. ##
W2 U1 .. N5 *2 B5 *E A4 *H *6 S4 B1 .. .. P3
Q3 L5 E3 .. H2 ## G1 .. R3 I1 Z1 ## ## .. ..
.. ## Z3 P2 ## F4 K4 V3 .. .. ## G5 .. .. ##
Q5 P1 U3 .. K1 G6 .. .. ## M2 .. M1 .. N4 S6
W4 J5 ## .. V1 *F ## .. *A ## ## ## L7 .. G8
.. .. C1 Q2 ## G7 X2 W1 .. ## E1 .. S3 J4 K2

Legend:
*1: red-myco-001; red-myco; needs T,S,F,O
*2: red-myco-002; red-myco; needs K,C,S,N
*3: red-myco-003; red-myco; needs H,L,W,P
*4: red-myco-004; red-myco; needs J,F,A,Q
*5: red-myco-005; red-myco; needs H,V,O,E
*6: red-myco-006; red-myco; needs D,R,M,E
*7: red-myco-007; red-myco; needs J,R,E,Y
*8: red-myco-008; red-myco; needs X,D,E,I
*9: red-myco-009; red-myco; needs T,G,Z,R
*A: red-myco-010; red-myco; needs V,X,G,I
*B: red-myco-011; red-myco; needs Q,O,P,Z
*C: red-myco-012; red-myco; needs E,Q,H,C
*D: red-myco-013; red-myco; needs F,C,M,O
*E: red-myco-014; red-myco; needs T,V,J,R
*F: red-myco-015; red-myco; needs V,J,F,C
*G: red-myco-016; red-myco; needs B,K,Q,N
*H: red-myco-017; red-myco; needs D,Y,A,V
*I: red-myco-018; red-myco; needs C,T,I,X
*J: red-myco-019; red-myco; needs T,D,F,M
*K: red-myco-020; red-myco; needs R,G,X,Q
*L: red-myco-021; red-myco; needs V,G,M,S
A1: cell-a-001; produces A; needs E,K,G
A2: cell-a-002; produces A; needs S,N,M
A3: cell-a-003; produces A; needs Q,F,N
A4: cell-a-004; produces A; needs N,T,P
B1: cell-b-001; produces B; needs H,M,J
B2: cell-b-002; produces B; needs L,H,P
B3: cell-b-003; produces B; needs L,X,J
B4: cell-b-004; produces B; needs V,M,F
B5: cell-b-005; produces B; needs R,L,U
C1: cell-c-001; produces C; needs K,N,A
C2: cell-c-002; produces C; needs L,G,I
C3: cell-c-003; produces C; needs S,V,D
D1: cell-d-001; produces D; needs R,J,Y
E1: cell-e-001; produces E; needs S,A,G
E2: cell-e-002; produces E; needs A,I,M
E3: cell-e-003; produces E; needs S,I,Q
E4: cell-e-004; produces E; needs G,J,C
E5: cell-e-005; produces E; needs J,I,W
F1: cell-f-001; produces F; needs J,W,O
F2: cell-f-002; produces F; needs S,V,I
F3: cell-f-003; produces F; needs M,U,B
F4: cell-f-004; produces F; needs A,W,Q
F5: cell-f-005; produces F; needs Z,G,X
G1: cell-g-001; produces G; needs V,M,Q
G2: cell-g-002; produces G; needs Y,S,E
G3: cell-g-003; produces G; needs S,H,E
G4: cell-g-004; produces G; needs M,K,H
G5: cell-g-005; produces G; needs J,R,X
G6: cell-g-006; produces G; needs C,E,L
G7: cell-g-007; produces G; needs X,O,Z
G8: cell-g-008; produces G; needs F,S,Z
