.. ## U7 A4 O1 .. X5 ## L1 ## ## ## L6 Y4 M2 ..
B1 .. O4 .. R1 K4 .. D1 X3 .. .. Q5 .. ## J2 X6
F1 K3 ## .. .. ## *D Z5 .. ## .. *7 .. W2 ## *K
S1 ## L5 .. Y2 .. X4 *E ## .. J1 R4 .. .. .. ..
H2 .. *A G5 ## .. *8 X1 .. .. E2 *H ## U8 *6 U5
.. I2 V4 V5 .. L2 L3 .. .. *1 ## X2 W3 R3 G3 A2
.. C2 .. *5 ## G4 ## .. .. .. U2 .. .. Z4 .. S3
*C .. O3 ## D3 ## U1 ## Z6 .. .. V2 .. .. .. ##
P1 ## I5 D4 C3 .. B3 A3 .. .. .. Q2 P2 ## O2 I1
## Y1 ## L4 .. .. .. T2 ## O5 Q4 ## .. ## I3 B2
Z2 Y3 M1 *B *2 ## *J ## .. ## V6 ## E1 A1 N3 G1
M4 .. H3 ## R2 M3 .. K2 ## W1 ## D2 N2 F2 K1 G2
## Z3 H1 ## *F .. .. V3 .. *L .. T3 .. T1 Z1 S2
## S4 U3 U6 *G .. Q1 ## U4 ## N1 .. .. *3 .. ..
*I ## *9 V1 I4 ## .. Q3 .. C1 F3 *4 E3 .. ## C4

Legend:
*1: red-myco-001; red-myco; needs F,P,Y,W
*2: red-myco-002; red-myco; needs E,B,R,X
*3: red-myco-003; red-myco; needs F,O,W,M
*4: red-myco-004; red-myco; needs O,L,Z,D
*5: red-myco-005; red-myco; needs B,L,G,I
*6: red-myco-006; red-myco; needs P,H,M,A
*7: red-myco-007; red-myco; needs R,K,I,S
*8: red-myco-008; red-myco; needs X,N,J,Z
*9: red-myco-009; red-myco; needs H,F,L,Y
*A: red-myco-010; red-myco; needs J,D,R,T
*B: red-myco-011; red-myco; needs Y,F,J,L
*C: red-myco-012; red-myco; needs K,Z,H,O
*D: red-myco-013; red-myco; needs R,J,X,G
*E: red-myco-014; red-myco; needs U,L,Q,C
*F: red-myco-015; red-myco; needs X,R,K,H
*G: red-myco-016; red-myco; needs I,K,Z,P
*H: red-myco-017; red-myco; needs H,O,X,K
*I: red-myco-018; red-myco; needs S,V,B,J
*J: red-myco-019; red-myco; needs X,B,N,U
*K: red-myco-020; red-myco; needs N,H,J,G
*L: red-myco-021; red-myco; needs M,O,U,D
A1: cell-a-001; produces A; needs Z,S,X
A2: cell-a-002; produces A; needs Y,G,S
A3: cell-a-003; produces A; needs F,S,K
A4: cell-a-004; produces A; needs V,M,X
B1: cell-b-001; produces B; needs W,O,U
B2: cell-b-002; produces B; needs Y,J,U
