## *1 .. O6 O4 .. *2 .. ## *7 .. ## ## ## ## W4
.. M1 Z2 ## .. Y4 L3 Z3 .. ## .. ## A5 P4 ## ..
P5 Q5 .. .. S3 K4 .. *M ## .. I3 R2 E1 .. J3 ..
H2 .. .. G1 *G R1 .. S1 ## ## T2 O3 W5 *9 P2 ##
.. W3 B1 M5 ## X6 .. *4 N2 D3 U3 M3 ## P1 ## ##
C1 *3 I1 C2 T3 .. .. *I X3 A4 S2 H4 ## .. O2 ##
.. .. *H .. ## .. *E ## T1 .. ## X4 .. J2 *F K3
.. L1 .. K2 .. ## .. .. .. Y1 .. G2 .. E2 V3 *J
U1 Q1 A2 A1 I6 O5 P6 .. .. A3 *5 *L Q7 *K Q3 *D
J1 .. Q2 .. ## X2 N3 U4 ## E3 .. ## ## ## .. I5
.. *8 .. ## F4 U2 F1 .. P3 K1 ## V2 ## .. F3 ##
N4 .. ## V1 .. .. U6 .. ## .. *C W1 H3 N1 T4 ..
*B Q4 ## F2 .. L2 .. N5 I4 ## .. U5 .. ## ## Q6
.. I2 .. H5 ## .. ## W2 M4 H1 Z1 *A .. .. N6 ..
## X5 C3 O1 D1 B2 D2 X1 *6 M2 Y2 Y3 ## B3 .. ##

Legend:
*1: red-myco-001; red-myco; needs J,D,V,Q
*2: red-myco-002; red-myco; needs M,E,F,T
*3: red-myco-003; red-myco; needs B,G,E,T
*4: red-myco-004; red-myco; needs E,V,P,X
*5: red-myco-005; red-myco; needs Q,U,T,Y
*6: red-myco-006; red-myco; needs V,A,O,D
*7: red-myco-007; red-myco; needs V,W,B,X
*8: red-myco-008; red-myco; needs N,V,I,R
*9: red-myco-009; red-myco; needs V,Y,T,B
*A: red-myco-010; red-myco; needs X,G,O,L
*B: red-myco-011; red-myco; needs B,O,W,K
*C: red-myco-012; red-myco; needs F,S,K,A
*D: red-myco-013; red-myco; needs H,W,G,P
*E: red-myco-014; red-myco; needs L,X,S,B
*F: red-myco-015; red-myco; needs P,B,J,C
*G: red-myco-016; red-myco; needs E,Q,O,U
*H: red-myco-017; red-myco; needs O,R,G,X
*I: red-myco-018; red-myco; needs K,R,H,N
*J: red-myco-019; red-myco; needs C,P,T,A
*K: red-myco-020; red-myco; needs Q,E,D,T
*L: red-myco-021; red-myco; needs A,V,K,Z
*M: red-myco-022; red-myco; needs P,O,W,N
A1: cell-a-001; produces A; needs B,H,W
A2: cell-a-002; produces A; needs D,E,K
A3: cell-a-003; produces A; needs N,F,Z
A4: cell-a-004; produces A; needs L,P,O
A5: cell-a-005; produces A; needs V,U,Z
B1: cell-b-001; produces B; needs J,U,X
B2: cell-b-002; produces B; needs N,F,Q
B3: cell-b-003; produces B; needs M,U,G
C1: cell-c-001; produces C; needs V,T,H
C2: cell-c-002; produces C; needs S,N,W
C3: cell-c-003; produces C; needs J,H,Q
D1: cell-d-001; produces D; needs Z,Y,W
D2: cell-d-002; produces D; needs I,C,E
D3: cell-d-003; produces D; needs N,H,Q
E1: cell-e-001; produces E; needs I,X,T
E2: cell-e-002; produces E; needs A,P,O
E3: cell-e-003; produces E; needs Q,I,P
F1: cell-f-001; produces F; needs M,V,U
F2: cell-f-002; produces F; needs A,O,N
F3: cell-f-003; produces F; needs I,W,J
F4: cell-f-004; produces F; needs V,X,T
G1: cell-g-001; produces G; needs J,Q,E
