T1 M7 O4 *D Q4 *1 W2 ## *C ## X7 ## U4 .. ## Y3 ..
A5 ## ## .. ## M5 Z6 F2 ## ## .. ## H1 .. ## .. S2
## ## .. B5 .. ## .. D2 *A K7 ## C2 *J I1 X2 W3 Z7
.. .. A9 ## ## ## Z2 J1 .. *5 W5 .. .. Z5 .. ## *K
.. D6 J3 T2 ## .. ## B9 .. ## ## S1 A3 O2 U1 Q7 ##
K1 X4 .. H2 X3 B1 Y1 .. ## N1 .. D5 O1 ## *3 Q2 ..
.. A2 L5 W4 N3 Z4 .. .. .. *E L1 Y4 ## .. B4 G1 M6
*9 .. V2 U3 U5 P4 ## B7 ## .. .. X1 .. .. .. .. ..
.. *2 .. P2 X5 .. ## N2 A7 .. *L Q3 K2 *8 .. ## ..
.. ## *F ## T5 *M .. M2 U2 ## *7 T3 .. .. ## ## F1
## U6 M1 .. B6 V1 R1 K8 .. K5 *B M4 ## .. .. .. L2
.. E2 X6 Q1 *6 C1 .. ## *G ## A1 .. .. .. P3 .. L3
.. .. K4 A4 Z3 X8 .. A8 .. B2 J2 *I ## ## *O ## T4
P1 N4 .. Y6 I2 *4 D4 *N *P ## *H K3 .. Q6 J4 Z1 ##
.. E1 D1 W1 C3 M3 B3 G2 B8 L4 ## ## Y2 A6 D3 G3 ..
.. Y5 ## .. ## .. .. .. .. Q5 O3 ## R2 .. .. T6 K6

Legend:
*1: red-myco-001; red-myco; needs T,P,K,S
*2: red-myco-002; red-myco; needs Z,O,E,X
*3: red-myco-003; red-myco; needs O,F,G,X
*4: red-myco-004; red-myco; needs A,F,R,Q
*5: red-myco-005; red-myco; needs Y,F,R,K
*6: red-myco-006; red-myco; needs I,X,W,G
*7: red-myco-007; red-myco; needs X,T,J,R
*8: red-myco-008; red-myco; needs A,H,C,S
*9: red-myco-009; red-myco; needs T,R,B,S
*A: red-myco-010; red-myco; needs D,R,S,X
*B: red-myco-011; red-myco; needs X,E,Y,G
*C: red-myco-012; red-myco; needs Q,G,M,C
*D: red-myco-013; red-myco; needs O,W,Y,B
*E: red-myco-014; red-myco; needs H,Z,E,O
*F: red-myco-015; red-myco; needs U,K,R,N
*G: red-myco-016; red-myco; needs X,N,C,S
*H: red-myco-017; red-myco; needs N,I,K,E
*I: red-myco-018; red-myco; needs P,X,I,L
*J: red-myco-019; red-myco; needs J,R,H,G
*K: red-myco-020; red-myco; needs U,M,S,C
*L: red-myco-021; red-myco; needs I,B,X,Y
*M: red-myco-022; red-myco; needs S,K,V,Q
*N: red-myco-023; red-myco; needs X,Y,J,F
*O: red-myco-024; red-myco; needs N,V,C,O
*P: red-myco-025; red-myco; needs J,Y,A,G
A1: cell-a-001; produces A; needs S,X,Z
A2: cell-a-002; produces A; needs R,W,Z
A3: cell-a-003; produces A; needs K,O,C
A4: cell-a-004; produces A; needs U,M,O
A5: cell-a-005; produces A; needs J,R,G
A6: cell-a-006; produces A; needs C,I,S
A7: cell-a-007; produces A; needs R,Y,X
A8: cell-a-008; produces A; needs Q,K,X
A9: cell-a-009; produces A; needs B,G,H
B1: cell-b-001; produces B; needs X,N,G
B2: cell-b-002; produces B; needs R,F,N
B3: cell-b-003; produces B; needs X,K,Q
B4: cell-b-004; produces B; needs Y,Q,U
B5: cell-b-005; produces B; needs H,M,N
B6: cell-b-006; produces B; needs P,K,D
B7: cell-b-007; produces B; needs X,K,O
B8: cell-b-008; produces B; needs K,Y,F
B9: cell-b-009; produces B; needs H,A,V
C1: cell-c-001; produces C; needs K,J,Y
C2: cell-c-002; produces C; needs S,A,M
C3: cell-c-003; produces C; needs T,U,Y
D1: cell-d-001; produces D; needs M,O,K
D2: cell-d-002; produces D; needs L,Q,X
D3: cell-d-003; produces D; needs W,Z,Q
D4: cell-d-004; produces D; needs J,U,Y
D5: cell-d-005; produces D; needs U,E,X
D6: cell-d-006; produces D; needs Q,P,M
E1: cell-e-001; produces E; needs F,A,B
E2: cell-e-002; produces E; needs D,W,U
F1: cell-f-001; produces F; needs B,E,R
F2: cell-f-002; produces F; needs K,A,B
G1: cell-g-001; produces G; needs L,J,W
G2: cell-g-002; produces G; needs A,B,Y
G3: cell-g-003; produces G; needs Y,A,P
H1: cell-h-001; produces H; needs Y,Q,V
H2: cell-h-002; produces H; needs O,B,Z
I1: cell-i-001; produces I; needs Y,Z,O
