.. ## U4 *N ## E8 M8 S1 R4 ## .. *6 ## D4 ## ## P1
H1 E6 E3 ## .. ## ## .. ## S2 A2 ## W4 U3 P2 K4 G2
.. .. X1 E1 Z3 .. N2 D2 Y3 ## K5 ## Z4 *H Z2 Y6 N1
## Y4 *F I2 ## T4 Q2 S5 T3 ## E4 *P .. .. W3 S4 N3
.. ## M3 *9 *3 .. .. ## S3 .. H4 ## .. *L ## ## A1
M6 .. .. .. ## L2 ## ## W5 ## R5 R1 .. ## F3 I7 ##
.. Z5 .. Y2 F4 I4 Z1 V4 .. .. M5 V2 J2 .. ## .. L1
A5 T1 ## *A *1 ## *J .. ## ## D6 M2 A3 F5 *M .. P3
G3 ## .. Y1 H3 .. D5 .. R3 P4 X2 .. .. H5 *E .. ..
.. ## ## R2 *G N5 .. R6 .. C1 .. G4 B2 F1 ## .. ##
.. ## .. D1 W2 *O .. .. K1 A4 Q4 .. U5 V1 .. G1 ..
M7 .. *8 V5 M4 *4 .. .. V3 I8 *I .. .. ## M9 ## ##
C3 X3 N4 .. .. E5 E7 Y7 J3 .. *B T5 I1 I3 ## *5 Q1
## .. Q3 .. .. U2 .. W1 E2 .. O1 .. .. K3 F2 N6 J1
## U1 Y5 .. ## .. .. .. *C ## .. B3 H2 *K .. ## ..
*D ## *7 ## T2 D3 *2 I5 .. C2 M1 .. .. ## I6 K2 B1

Legend:
*1: red-myco-001; red-myco; needs C,H,A,N
*2: red-myco-002; red-myco; needs X,Y,W,H
*3: red-myco-003; red-myco; needs C,P,J,Q
*4: red-myco-004; red-myco; needs O,X,G,M
*5: red-myco-005; red-myco; needs Q,O,T,H
*6: red-myco-006; red-myco; needs O,D,C,Y
*7: red-myco-007; red-myco; needs N,A,H,M
*8: red-myco-008; red-myco; needs H,C,G,S
*9: red-myco-009; red-myco; needs O,D,H,V
*A: red-myco-010; red-myco; needs Q,V,O,B
*B: red-myco-011; red-myco; needs K,X,L,N
*C: red-myco-012; red-myco; needs D,S,N,R
*D: red-myco-013; red-myco; needs B,K,S,Y
*E: red-myco-014; red-myco; needs N,B,I,X
*F: red-myco-015; red-myco; needs H,L,G,U
*G: red-myco-016; red-myco; needs U,I,R,W
*H: red-myco-017; red-myco; needs X,R,T,K
*I: red-myco-018; red-myco; needs X,O,K,V
*J: red-myco-019; red-myco; needs W,E,B,A
*K: red-myco-020; red-myco; needs M,H,L,F
*L: red-myco-021; red-myco; needs Z,C,J,R
*M: red-myco-022; red-myco; needs R,D,J,H
*N: red-myco-023; red-myco; needs K,U,X,L
*O: red-myco-024; red-myco; needs R,D,H,K
*P: red-myco-025; red-myco; needs N,F,K,D
A1: cell-a-001; produces A; needs Y,J,U
A2: cell-a-002; produces A; needs D,H,K
A3: cell-a-003; produces A; needs E,B,D
A4: cell-a-004; produces A; needs D,U,R
A5: cell-a-005; produces A; needs V,X,W
B1: cell-b-001; produces B; needs K,N,M
B2: cell-b-002; produces B; needs A,J,E
B3: cell-b-003; produces B; needs J,Y,E
C1: cell-c-001; produces C; needs S,P,G
C2: cell-c-002; produces C; needs G,S,H
C3: cell-c-003; produces C; needs D,K,R
D1: cell-d-001; produces D; needs F,L,Y
D2: cell-d-002; produces D; needs W,I,E
D3: cell-d-003; produces D; needs M,Y,F
D4: cell-d-004; produces D; needs R,G,A
D5: cell-d-005; produces D; needs A,R,U
D6: cell-d-006; produces D; needs R,C,Y
E1: cell-e-001; produces E; needs R,N,S
E2: cell-e-002; produces E; needs L,W,O
E3: cell-e-003; produces E; needs S,A,F
E4: cell-e-004; produces E; needs B,K,N
E5: cell-e-005; produces E; needs X,M,V
E6: cell-e-006; produces E; needs A,I,M
E7: cell-e-007; produces E; needs T,D,S
E8: cell-e-008; produces E; needs V,F,Z
F1: cell-f-001; produces F; needs Y,D,Q
F2: cell-f-002; produces F; needs I,M,D
F3: cell-f-003; produces F; needs T,P,H
F4: cell-f-004; produces F; needs V,R,U
F5: cell-f-005; produces F; needs E,P,V
G1: cell-g-001; produces G; needs J,C,A
G2: cell-g-002; produces G; needs P,V,F
G3: cell-g-003; produces G; needs C,H,R
G4: cell-g-004; produces G; needs R,K,U
H1: cell-h-001; produces H; needs C,Z,G
H2: cell-h-002; produces H; needs N,O,B
H3: cell-h-003; produces H; needs A,K,D
H4: cell-h-004; produces H; needs G,T,Y
H5: cell-h-005; produces H; needs S,Y,W
I1: cell-i-001; produces I; needs L,W,D
I2: cell-i-002; produces I; needs D,H,W
I3: cell-i-003; produces I; needs M,F,P
I4: cell-i-004; produces I; needs M,X,Z
I5: cell-i-005; produces I; needs T,W,X
