.. *M K3 .. LC G4 L2 .. P2 ## U5 G7 C3 H5 ## G8 ..
.. W1 T2 *G .. ## .. .. M3 B2 .. O3 .. O6 A1 M4 F2
L1 V3 L3 LD *5 .. Z2 *Q .. A4 .. .. .. Y5 N3 ## H1
L8 *H ## U3 .. .. R3 ## I4 ## F3 M5 Y4 ## .. C2 X2
.. .. ## R2 .. B4 *4 ## *A U2 ## Q1 .. .. R5 .. ##
G9 P3 S4 ## .. T5 ## G2 *F ## E1 K1 *6 H2 K2 U4 ..
N1 ## M6 L4 E3 *K M2 J1 .. ## L5 J2 *P R4 O5 G5 ..
## .. L9 ## .. ## *E ## A3 .. ## L6 R1 E2 .. ## ..
*8 I1 O4 Y2 *N *1 .. P6 ## P5 V1 ## F1 D1 ## O2 LA
## .. O1 Q2 Y1 P4 *3 P1 ## E4 W3 G3 .. I2 ## .. T6
W2 V4 .. U1 .. *L ## H6 Y3 ## G1 ## ## V6 .. *D L7
*O X1 T8 D2 ## I3 Z4 *9 N2 .. .. .. T3 D3 ## G6 ..
H4 ## ## .. .. Z1 .. ## .. B1 ## .. .. *7 .. E6 ..
.. M1 ## T4 .. E5 V2 ## ## GA .. ## .. *I ## S3 *B
S1 ## *2 LB S2 .. ## T7 .. B3 A2 X3 Z5 ## P7 ## *J
T1 V5 .. ## J3 ## .. C1 Z3 ## ## *C .. H3 W4 Y6 ..

Legend:
*1: red-myco-001; red-myco; needs X,Y,V,C
*2: red-myco-002; red-myco; needs K,E,L,W
*3: red-myco-003; red-myco; needs P,S,Y,H
*4: red-myco-004; red-myco; needs S,H,I,F
*5: red-myco-005; red-myco; needs U,D,Z,I
*6: red-myco-006; red-myco; needs D,J,C,N
*7: red-myco-007; red-myco; needs M,C,K,N
*8: red-myco-008; red-myco; needs J,E,A,H
*9: red-myco-009; red-myco; needs W,E,Q,J
*A: red-myco-010; red-myco; needs J,W,Z,B
*B: red-myco-011; red-myco; needs M,B,O,L
*C: red-myco-012; red-myco; needs R,S,X,M
*D: red-myco-013; red-myco; needs J,Z,M,C
*E: red-myco-014; red-myco; needs C,U,H,O
*F: red-myco-015; red-myco; needs S,A,Q,U
*G: red-myco-016; red-myco; needs J,I,D,Q
*H: red-myco-017; red-myco; needs S,U,N,O
*I: red-myco-018; red-myco; needs U,G,W,N
*J: red-myco-019; red-myco; needs X,J,P,V
*K: red-myco-020; red-myco; needs G,A,J,V
*L: red-myco-021; red-myco; needs Q,D,J,B
*M: red-myco-022; red-myco; needs X,A,W,O
*N: red-myco-023; red-myco; needs X,A,C,I
*O: red-myco-024; red-myco; needs K,T,I,M
*P: red-myco-025; red-myco; needs Y,F,P,Z
*Q: red-myco-026; red-myco; needs I,T,Y,X
A1: cell-a-001; produces A; needs P,E,T
A2: cell-a-002; produces A; needs G,L,I
A3: cell-a-003; produces A; needs J,Z,F
A4: cell-a-004; produces A; needs P,H,I
B1: cell-b-001; produces B; needs T,Q,G
B2: cell-b-002; produces B; needs P,Q,O
B3: cell-b-003; produces B; needs X,Z,J
B4: cell-b-004; produces B; needs X,F,L
C1: cell-c-001; produces C; needs P,U,L
C2: cell-c-002; produces C; needs H,X,G
C3: cell-c-003; produces C; needs O,Y,P
D1: cell-d-001; produces D; needs L,E,V
D2: cell-d-002; produces D; needs W,L,V
D3: cell-d-003; produces D; needs R,P,H
E1: cell-e-001; produces E; needs A,L,P
E2: cell-e-002; produces E; needs Z,N,U
E3: cell-e-003; produces E; needs V,M,G
E4: cell-e-004; produces E; needs C,I,T
E5: cell-e-005; produces E; needs Y,L,W
E6: cell-e-006; produces E; needs A,N,T
F1: cell-f-001; produces F; needs L,J,E
F2: cell-f-002; produces F; needs G,I,Y
F3: cell-f-003; produces F; needs B,N,W
G1: cell-g-001; produces G; needs W,I,L
G2: cell-g-002; produces G; needs I,A,L
G3: cell-g-003; produces G; needs O,U,X
G4: cell-g-004; produces G; needs K,V,I
G5: cell-g-005; produces G; needs K,H,T
G6: cell-g-006; produces G; needs L,K,F
G7: cell-g-007; produces G; needs Z,V,Q
G8: cell-g-008; produces G; needs Q,T,K
G9: cell-g-009; produces G; needs Y,F,J
GA: cell-g-010; produces G; needs Y,S,P
H1: cell-h-001; produces H; needs Z,V,I
H2: cell-h-002; produces H; needs C,S,A
