.. ## ## S4 ## L5 E1 .. ## F5 .. Z5 .. *8 .. .. ..
N1 ## ## T1 ## Q6 *K Q5 E2 ## L6 .. .. M3 .. .. B4
R2 J4 T3 I2 .. ## *F X1 Q3 C1 ## .. H1 *L C5 Z1 G2
B2 .. *D *5 L4 *P F4 ## .. .. ## .. Q4 ## .. ## ##
*O Z2 I6 .. ## .. J6 .. *3 ## ## W7 A5 *M O3 X2 ..
A3 ## N3 U3 A1 I5 .. D5 ## Z4 ## O2 .. W5 D1 *G Z9
## H2 C2 .. ## .. U4 B1 .. ## J5 ## B3 ## D2 W4 ..
T2 *E .. F3 *J ## V3 *1 *6 C4 .. M1 L1 .. .. ## F2
.. .. .. .. K1 *H Z7 .. .. .. J3 .. .. D4 ## W1 ##
.. W3 *C .. *I T5 *B K3 Z8 ## .. .. O4 Y4 O1 L2 ##
.. .. Q2 .. ## H5 .. I3 A4 .. *N .. ## V1 .. G1 ..
U1 I7 U2 P4 ## .. G4 Z3 .. .. S3 .. *4 ## ## ## U5
J1 ## G3 .. R4 H6 E3 Q1 K4 A2 S1 .. W6 ## ## .. ##
L3 .. B5 M2 V4 .. *9 R1 .. N2 T4 H3 H4 F1 C3 S2 ..
W2 .. ## .. .. P3 .. .. O5 ## R3 ## V2 K2 .. I1 R8
R7 R6 Z6 ## I4 P2 ## .. *2 *A R5 ## ## Y3 .. .. ##
*Q ## ## ## D3 .. P1 J2 X3 S5 Y1 U6 .. .. .. Y2 *7

Legend:
*1: red-myco-001; red-myco; needs J,S,T,O
*2: red-myco-002; red-myco; needs S,N,Q,H
*3: red-myco-003; red-myco; needs O,G,V,X
*4: red-myco-004; red-myco; needs D,W,P,Q
*5: red-myco-005; red-myco; needs E,D,O,U
*6: red-myco-006; red-myco; needs P,M,N,Z
*7: red-myco-007; red-myco; needs Z,F,A,M
*8: red-myco-008; red-myco; needs Z,F,Q,L
*9: red-myco-009; red-myco; needs L,N,K,Y
*A: red-myco-010; red-myco; needs S,T,E,G
*B: red-myco-011; red-myco; needs A,L,M,W
*C: red-myco-012; red-myco; needs C,W,R,O
*D: red-myco-013; red-myco; needs R,G,B,A
*E: red-myco-014; red-myco; needs J,X,G,V
*F: red-myco-015; red-myco; needs V,A,I,J
*G: red-myco-016; red-myco; needs H,Y,E,A
*H: red-myco-017; red-myco; needs P,A,S,H
*I: red-myco-018; red-myco; needs W,E,I,Y
*J: red-myco-019; red-myco; needs F,L,Q,S
*K: red-myco-020; red-myco; needs Y,W,U,P
*L: red-myco-021; red-myco; needs T,V,K,E
*M: red-myco-022; red-myco; needs G,S,C,M
*N: red-myco-023; red-myco; needs M,X,P,D
*O: red-myco-024; red-myco; needs H,D,E,V
*P: red-myco-025; red-myco; needs E,V,H,Y
*Q: red-myco-026; red-myco; needs Z,Y,H,X
A1: cell-a-001; produces A; needs C,R,F
A2: cell-a-002; produces A; needs L,D,B
A3: cell-a-003; produces A; needs P,M,K
A4: cell-a-004; produces A; needs I,W,L
A5: cell-a-005; produces A; needs H,T,Z
B1: cell-b-001; produces B; needs K,S,J
