O4 M2 *2 E2 B3 *5 .. .. J3 .. ## N3 .. ## .. ## *J
*H B5 O7 *3 ## P3 .. .. ## .. .. S2 .. O2 U3 Q1 M1
W3 I2 ## Q4 .. E3 .. ## K2 O3 ## Y7 O6 .. .. Q2 ..
H2 .. A5 ## W6 ## B1 ## Y8 G7 *O A2 YC O1 U4 ## D2
D1 U1 ## V1 V3 G5 F2 J4 N1 .. L1 L2 ## ## *G L3 Y2
R2 .. .. Y1 .. .. Y5 C5 N4 .. .. R1 ## A4 ## ## ##
*N .. .. F3 .. G3 *K ## S3 K4 C1 Q3 U6 YB *R T3 P1
B2 T2 ## U5 ## ## D7 .. ## ## J2 M4 .. C4 L4 O5 ##
## J5 ## X3 Y9 .. .. I5 ## G9 ## *A D6 Z2 ## ## W4
K3 *7 V4 H6 S4 .. .. .. .. .. T1 *Q .. W9 ## .. YA
A3 G8 W2 ## .. *8 H1 A1 .. .. .. W7 ## I4 ## ## ##
*M P5 U7 H5 ## Z1 P4 .. *F Q5 K1 ## F4 ## .. Y3 *1
.. .. .. B4 .. J1 *E .. *L U2 G6 N2 *D .. ## ## G4
E5 .. .. ## K5 R3 C3 V2 ## H3 .. *6 .. G1 H4 .. ..
.. E1 ## ## ## *B ## E6 *S .. C2 I1 G2 ## .. ## ##
.. W8 .. X2 Y6 .. D4 *4 ## W5 *I S1 ## F5 .. D5 ..
## E7 D3 *C *P X1 M3 ## F1 *9 Y4 .. E4 I3 .. W1 P2

Legend:
*1: red-myco-001; red-myco; needs Z,U,V,R
*2: red-myco-002; red-myco; needs L,P,M,I
*3: red-myco-003; red-myco; needs P,R,X,F
*4: red-myco-004; red-myco; needs B,K,M,E
*5: red-myco-005; red-myco; needs Z,O,G,F
*6: red-myco-006; red-myco; needs D,Z,L,Y
*7: red-myco-007; red-myco; needs V,Q,I,Z
*8: red-myco-008; red-myco; needs J,U,C,I
*9: red-myco-009; red-myco; needs O,S,C,E
*A: red-myco-010; red-myco; needs F,C,J,V
*B: red-myco-011; red-myco; needs K,D,J,N
*C: red-myco-012; red-myco; needs D,F,W,L
*D: red-myco-013; red-myco; needs E,C,H,V
*E: red-myco-014; red-myco; needs R,Q,V,H
*F: red-myco-015; red-myco; needs X,I,N,M
*G: red-myco-016; red-myco; needs H,D,O,M
*H: red-myco-017; red-myco; needs Z,S,E,O
*I: red-myco-018; red-myco; needs O,K,D,A
*J: red-myco-019; red-myco; needs S,T,H,K
*K: red-myco-020; red-myco; needs R,J,E,D
*L: red-myco-021; red-myco; needs V,W,H,F
*M: red-myco-022; red-myco; needs E,V,K,B
*N: red-myco-023; red-myco; needs P,T,Y,B
*O: red-myco-024; red-myco; needs R,H,I,C
*P: red-myco-025; red-myco; needs I,C,P,H
*Q: red-myco-026; red-myco; needs G,C,R,T
*R: red-myco-027; red-myco; needs B,P,O,V
*S: red-myco-028; red-myco; needs C,X,Y,W
A1: cell-a-001; produces A; needs H,I,C
A2: cell-a-002; produces A; needs E,C,Y
A3: cell-a-003; produces A; needs O,G,L
A4: cell-a-004; produces A; needs T,Z,F
A5: cell-a-005; produces A; needs J,U,R
B1: cell-b-001; produces B; needs H,E,F
B2: cell-b-002; produces B; needs J,Y,E
B3: cell-b-003; produces B; needs H,X,O
B4: cell-b-004; produces B; needs X,M,O
B5: cell-b-005; produces B; needs F,G,Z
C1: cell-c-001; produces C; needs V,H,K
C2: cell-c-002; produces C; needs V,M,U
C3: cell-c-003; produces C; needs A,S,E
C4: cell-c-004; produces C; needs D,K,E
C5: cell-c-005; produces C; needs O,H,Q
D1: cell-d-001; produces D; needs W,R,K
D2: cell-d-002; produces D; needs F,J,N
D3: cell-d-003; produces D; needs U,O,V
D4: cell-d-004; produces D; needs U,Z,H
D5: cell-d-005; produces D; needs K,C,I
D6: cell-d-006; produces D; needs K,T,C
D7: cell-d-007; produces D; needs C,R,H
E1: cell-e-001; produces E; needs N,B,W
E2: cell-e-002; produces E; needs B,J,H
E3: cell-e-003; produces E; needs Y,D,F
E4: cell-e-004; produces E; needs K,N,J
E5: cell-e-005; produces E; needs D,Y,G
E6: cell-e-006; produces E; needs L,T,Q
E7: cell-e-007; produces E; needs Y,A,M
F1: cell-f-001; produces F; needs R,M,D
F2: cell-f-002; produces F; needs Y,G,E
F3: cell-f-003; produces F; needs N,D,W
F4: cell-f-004; produces F; needs M,T,D
F5: cell-f-005; produces F; needs S,W,G
G1: cell-g-001; produces G; needs X,I,K
G2: cell-g-002; produces G; needs K,X,W
G3: cell-g-003; produces G; needs F,Q,Y
G4: cell-g-004; produces G; needs H,J,N
G5: cell-g-005; produces G; needs Y,D,W
G6: cell-g-006; produces G; needs A,Y,S
G7: cell-g-007; produces G; needs B,S,W
G8: cell-g-008; produces G; needs W,Q,Y
G9: cell-g-009; produces G; needs P,Q,I
H1: cell-h-001; produces H; needs Q,P,M
H2: cell-h-002; produces H; needs C,A,V
H3: cell-h-003; produces H; needs G,B,I
H4: cell-h-004; produces H; needs O,L,N
H5: cell-h-005; produces H; needs N,G,E
H6: cell-h-006; produces H; needs S,T,U
I1: cell-i-001; produces I; needs W,R,N
I2: cell-i-002; produces I; needs A,F,H
I3: cell-i-003; produces I; needs Y,P,T
