Q1 V3 ## *J Y4 .. ## ## ## .. P4 ## R5 R1 ## .. .. *K
N1 .. U2 C4 *S .. H1 ## ## E4 V6 M5 Z3 P3 .. F3 I7 N7
Z1 ## ## H5 .. R3 ## ## B6 N4 *L X3 X4 ## .. .. H8 ##
## *8 ## B2 L1 *4 K3 .. ## .. T1 L2 P2 G4 Q4 V4 .. S2
.. *9 ## S3 *6 T3 C3 .. *I Z5 *3 .. C2 ## ## P1 .. Q5
I1 K8 ## *B .. .. ## *C .. X1 F2 *O .. X5 .. .. *Q K1
.. *7 D3 .. .. E3 .. I5 .. Y3 B1 E5 W1 ## M2 *F .. *P
E2 ## ## D2 L7 G7 F1 .. N3 Y1 ## O4 H2 .. Y2 W5 .. ##
K6 T2 G2 N2 S5 ## ## ## ## G1 ## .. .. M4 ## ## J2 C5
## .. B3 O3 B5 ## M1 ## .. .. Q3 W3 .. .. .. H7 ## R4
G6 .. .. I4 K2 ## L3 .. .. O2 O5 .. V5 ## .. ## .. ##
C1 ## D4 .. D1 .. ## L4 ## *2 O1 .. V1 N6 *E P5 C6 ..
.. I2 I3 .. .. L6 K4 L5 Z2 J1 ## ## S4 .. K7 .. H4 Z4
M6 .. .. U4 J3 W4 .. .. .. .. X6 V2 ## H6 *M W2 U3 M8
B4 I6 N5 .. A3 *R *A A1 .. .. .. Q2 *G ## .. .. .. ..
X2 .. *5 ## M7 K5 .. T4 U1 R2 ## .. *N ## .. G5 ## ..
*D .. .. ## *H M3 .. A2 .. G3 .. H3 ## *1 S1 ## E1 T5

Legend:
*1: red-myco-001; red-myco; needs Y,D,I,O
*2: red-myco-002; red-myco; needs X,E,B,U
*3: red-myco-003; red-myco; needs F,U,A,B
*4: red-myco-004; red-myco; needs O,R,Q,K
*5: red-myco-005; red-myco; needs I,V,B,U
*6: red-myco-006; red-myco; needs G,H,Q,J
*7: red-myco-007; red-myco; needs J,O,L,C
*8: red-myco-008; red-myco; needs A,Z,G,U
*9: red-myco-009; red-myco; needs G,E,O,N
*A: red-myco-010; red-myco; needs E,M,C,V
*B: red-myco-011; red-myco; needs V,E,W,J
*C: red-myco-012; red-myco; needs H,T,E,L
*D: red-myco-013; red-myco; needs R,D,F,B
*E: red-myco-014; red-myco; needs A,C,X,J
*F: red-myco-015; red-myco; needs P,C,U,Q
*G: red-myco-016; red-myco; needs X,P,N,O
*H: red-myco-017; red-myco; needs M,B,D,P
*I: red-myco-018; red-myco; needs V,X,G,F
*J: red-myco-019; red-myco; needs A,Q,T,X
*K: red-myco-020; red-myco; needs A,B,C,Y
*L: red-myco-021; red-myco; needs M,Y,P,I
*M: red-myco-022; red-myco; needs P,W,N,B
*N: red-myco-023; red-myco; needs G,Z,T,K
*O: red-myco-024; red-myco; needs F,E,C,W
*P: red-myco-025; red-myco; needs U,G,Q,L
*Q: red-myco-026; red-myco; needs X,K,J,W
*R: red-myco-027; red-myco; needs Z,B,A,U
*S: red-myco-028; red-myco; needs S,N,Y,Z
A1: cell-a-001; produces A; needs K,M,Y
A2: cell-a-002; produces A; needs B,N,K
A3: cell-a-003; produces A; needs P,N,R
B1: cell-b-001; produces B; needs A,O,H
B2: cell-b-002; produces B; needs I,S,M
