*J *G ## ## *C ## K3 ## *A .. .. .. ## .. ## W4 *D ##
*O U4 P3 J3 .. *K P1 ## *7 K6 .. .. .. .. S1 O6 .. ..
T2 .. .. ## O9 .. *8 .. ## T8 .. I6 .. .. D3 G2 N8 C7
.. B1 C6 I5 ## S4 E1 .. *3 N6 T7 B2 ## H4 .. .. ## *Q
.. ## A2 T4 *1 .. H3 NA P8 ## R4 O3 T6 V4 I8 ## ## ##
*2 .. S5 S2 .. N3 ## .. .. W1 T3 .. ## .. O1 X2 .. ..
*E *S O5 Q2 ## D6 ## *9 Q1 .. ## .. ## ## .. U5 .. ..
R6 G1 X1 J2 ## O8 *F E3 ## W2 P2 P7 O7 N2 ## V1 O4 N9
H6 *6 K4 I2 *5 ## S3 C4 Q4 O2 R2 ## F1 ## .. D4 X3 A7
TA .. .. K8 M1 P4 .. *T ## V3 *B M2 ## .. .. B3 .. N5
P6 .. H5 T5 A4 *R V2 I1 U6 *L .. K1 A3 ## .. Y1 P5 X4
U2 .. J6 .. .. *M ## .. J5 .. C1 I3 A1 J4 C8 .. ## G4
V5 H2 Z1 ## G5 *4 *H *P ## Z2 F2 K5 D1 I4 .. Z4 ## L1
.. K7 ## ## ## .. U1 .. C3 ## M4 .. M3 ## H1 C5 G3 ##
.. N4 .. T9 D5 ## J7 ## T1 .. E2 I7 J1 .. *N A5 .. U3
C2 K2 ## W3 .. V6 .. .. .. R1 H7 .. ## ## .. Z3 A6 Y2
## ## N1 ## .. D2 .. ## ## ## R3 ## *I ## R5 .. Q3 N7

Legend:
*1: red-myco-001; red-myco; needs G,J,H,K
*2: red-myco-002; red-myco; needs D,A,Y,W
*3: red-myco-003; red-myco; needs D,E,B,V
*4: red-myco-004; red-myco; needs K,M,U,I
*5: red-myco-005; red-myco; needs P,K,U,X
*6: red-myco-006; red-myco; needs Z,F,M,L
*7: red-myco-007; red-myco; needs D,Y,O,H
*8: red-myco-008; red-myco; needs V,A,Q,U
*9: red-myco-009; red-myco; needs I,X,F,K
*A: red-myco-010; red-myco; needs N,E,R,L
*B: red-myco-011; red-myco; needs X,G,P,U
*C: red-myco-012; red-myco; needs H,B,L,A
*D: red-myco-013; red-myco; needs Z,L,E,S
*E: red-myco-014; red-myco; needs P,E,A,Z
*F: red-myco-015; red-myco; needs H,M,L,Y
*G: red-myco-016; red-myco; needs U,T,B,Q
*H: red-myco-017; red-myco; needs W,O,T,R
*I: red-myco-018; red-myco; needs M,F,W,V
*J: red-myco-019; red-myco; needs W,P,Z,M
*K: red-myco-020; red-myco; needs F,O,W,B
*L: red-myco-021; red-myco; needs E,S,P,B
*M: red-myco-022; red-myco; needs X,B,C,E
*N: red-myco-023; red-myco; needs Z,O,I,Q
*O: red-myco-024; red-myco; needs Y,Q,B,N
*P: red-myco-025; red-myco; needs J,E,F,G
*Q: red-myco-026; red-myco; needs F,Z,R,Y
*R: red-myco-027; red-myco; needs R,I,P,F
*S: red-myco-028; red-myco; needs B,N,M,X
*T: red-myco-029; red-myco; needs U,T,F,D
A1: cell-a-001; produces A; needs E,Q,U
A2: cell-a-002; produces A; needs B,H,Z
A3: cell-a-003; produces A; needs C,S,L
A4: cell-a-004; produces A; needs D,E,U
A5: cell-a-005; produces A; needs O,T,I
A6: cell-a-006; produces A; needs U,S,F
A7: cell-a-007; produces A; needs P,M,C
B1: cell-b-001; produces B; needs N,T,F
B2: cell-b-002; produces B; needs T,H,K
B3: cell-b-003; produces B; needs Z,A,X
C1: cell-c-001; produces C; needs R,Y,K
C2: cell-c-002; produces C; needs V,D,K
C3: cell-c-003; produces C; needs W,N,S
C4: cell-c-004; produces C; needs O,Q,P
C5: cell-c-005; produces C; needs K,R,J
C6: cell-c-006; produces C; needs L,A,E
C7: cell-c-007; produces C; needs T,Y,O
C8: cell-c-008; produces C; needs G,P,X
D1: cell-d-001; produces D; needs Q,V,A
D2: cell-d-002; produces D; needs C,Q,V
D3: cell-d-003; produces D; needs A,E,P
D4: cell-d-004; produces D; needs U,A,T
D5: cell-d-005; produces D; needs O,S,M
