## .. .. .. Q1 Z1 T4 U1 ## R7 H2 *6 .. .. ## A2 Y1 ..
.. Y4 D8 ## ## .. G5 ## .. *1 *D ## .. Z2 B1 ## P1 ##
.. .. C1 L1 .. .. *P K1 ## .. G3 ## U5 J1 *4 .. C3 ..
L5 B6 ## P4 ## ## ## M1 ## .. O2 T2 ## R1 H5 R9 M8 *J
.. ## A3 R6 .. ## B5 .. Y7 .. S2 U8 R4 *S *L .. H1 K5
*9 L4 M5 D3 R2 C5 Q6 U7 ## .. D2 ## ## X3 H3 ## Q3 X4
C6 M2 .. .. W3 .. *Q Y2 S1 .. ## .. B4 R5 E1 .. ## ..
## ## .. E6 .. *5 Y6 ## ## *H .. P6 ## ## G1 K6 E4 F2
G2 .. ## J2 Y3 C2 U4 I2 ## *N U9 Q5 A4 O1 K3 *R E5 L3
T6 B2 UA *K L7 ## .. E3 .. X5 *3 .. .. ## E7 .. V4 *M
*T H4 .. .. ## V2 ## L6 S6 M6 ## .. R8 ## D5 ## D7 S3
.. .. *F .. Q2 A1 P2 ## ## *2 N3 L2 ## .. .. ## ## ##
.. .. M7 S4 G4 T5 F3 .. ## ## *G N4 .. .. .. V5 ## *B
## D6 .. .. W4 ## Z4 ## H6 ## E2 M4 .. V3 F1 V1 .. ..
T3 *C W1 S5 ## G6 .. N2 B3 .. T1 .. Z3 C4 ## .. .. ..
U6 .. K4 ## W2 .. I1 ## N1 *E P3 X2 D1 *O M3 R3 K2 ##
U3 X6 Q4 *I .. Y5 *8 .. .. ## C7 X1 *7 U2 *A D4 P5 V6

Legend:
*1: red-myco-001; red-myco; needs M,K,A,P
*2: red-myco-002; red-myco; needs F,R,A,E
*3: red-myco-003; red-myco; needs V,G,F,Y
*4: red-myco-004; red-myco; needs G,P,Q,Z
*5: red-myco-005; red-myco; needs S,V,K,C
*6: red-myco-006; red-myco; needs S,V,K,C
*7: red-myco-007; red-myco; needs H,W,M,K
*8: red-myco-008; red-myco; needs Z,V,J,C
*9: red-myco-009; red-myco; needs B,F,I,C
*A: red-myco-010; red-myco; needs E,H,W,L
*B: red-myco-011; red-myco; needs X,O,L,C
*C: red-myco-012; red-myco; needs R,L,V,S
*D: red-myco-013; red-myco; needs R,Q,V,A
*E: red-myco-014; red-myco; needs F,C,O,G
*F: red-myco-015; red-myco; needs Q,V,Z,P
*G: red-myco-016; red-myco; needs B,S,K,G
*H: red-myco-017; red-myco; needs X,W,O,G
*I: red-myco-018; red-myco; needs R,S,D,H
*J: red-myco-019; red-myco; needs V,F,T,C
*K: red-myco-020; red-myco; needs W,A,U,V
*L: red-myco-021; red-myco; needs K,Q,E,U
*M: red-myco-022; red-myco; needs X,L,S,Z
*N: red-myco-023; red-myco; needs R,B,F,A
*O: red-myco-024; red-myco; needs R,E,L,H
*P: red-myco-025; red-myco; needs D,A,U,V
*Q: red-myco-026; red-myco; needs T,K,A,Y
*R: red-myco-027; red-myco; needs B,D,X,U
*S: red-myco-028; red-myco; needs Y,K,C,T
*T: red-myco-029; red-myco; needs W,S,M,C
A1: cell-a-001; produces A; needs R,K,C
A2: cell-a-002; produces A; needs P,G,F
A3: cell-a-003; produces A; needs F,S,N
A4: cell-a-004; produces A; needs G,U,R
B1: cell-b-001; produces B; needs W,S,Y
