*C J9 Z2 .. .. R4 O1 N1 ## A1 H2 .. E4 B2 J3 M4 *I G1
*4 T3 ## ## .. *B A7 F2 W1 ## ## .. ## .. G3 G5 I4 P4
.. ## ## W2 *3 W3 ## Q2 P8 A8 ## *A *N RA H4 S2 V1 ##
B1 .. .. D6 H5 *K ## C1 ## S1 ## *F D2 F7 ## T2 .. ##
.. ## X4 Z1 ## *T .. R3 D3 ## L6 ## T4 *M X3 P7 T6 ##
T7 J6 .. .. ## K4 .. .. A4 U2 F3 ## .. C3 W5 .. *1 ..
P2 A3 W4 ## *H .. P5 RB K5 .. ## L4 H3 S3 .. L2 .. K2
.. ## I1 R7 E3 V2 B7 U1 C4 O2 M2 E5 ## A9 E2 B6 K3 ..
E1 L5 *P L1 ## .. *8 *O J4 *5 F1 .. .. ## P9 J7 .. S5
F5 *J ## V4 ## .. .. F4 .. .. C5 .. B8 X1 Z5 .. .. ..
.. .. *G P1 V5 .. ## .. ## *L A6 Y1 .. .. .. H1 J1 L7
Y3 ## Z3 .. T1 O3 ## ## *Q ## G2 .. D4 .. .. .. P3 ..
V3 ## .. R5 .. B4 .. N2 *R ## D5 B5 T5 Q1 ## J2 ## ..
I2 .. P6 .. R1 *D .. *S .. E6 .. A5 D1 ## ## C2 .. ##
.. *E ## ## ## .. ## V7 M1 G6 R6 R2 .. R9 R8 J5 K1 ##
X2 G4 .. B3 ## .. .. N3 ## ## Z4 K6 ## .. I3 V6 ## M3
S4 *7 Y2 U3 *9 ## .. ## L3 J8 *2 A2 ## ## F6 .. ## *6

Legend:
*1: red-myco-001; red-myco; needs D,U,S,X
*2: red-myco-002; red-myco; needs Q,T,J,V
*3: red-myco-003; red-myco; needs L,U,W,C
*4: red-myco-004; red-myco; needs M,W,Z,G
*5: red-myco-005; red-myco; needs L,C,N,Y
*6: red-myco-006; red-myco; needs K,Z,C,L
*7: red-myco-007; red-myco; needs E,A,Y,N
*8: red-myco-008; red-myco; needs R,J,C,D
*9: red-myco-009; red-myco; needs N,P,H,J
*A: red-myco-010; red-myco; needs U,C,F,D
*B: red-myco-011; red-myco; needs A,G,C,B
*C: red-myco-012; red-myco; needs T,Q,J,V
*D: red-myco-013; red-myco; needs D,T,P,L
*E: red-myco-014; red-myco; needs R,U,X,P
*F: red-myco-015; red-myco; needs L,T,C,Q
*G: red-myco-016; red-myco; needs Z,N,U,A
*H: red-myco-017; red-myco; needs P,L,N,U
*I: red-myco-018; red-myco; needs E,C,T,J
*J: red-myco-019; red-myco; needs X,T,U,V
*K: red-myco-020; red-myco; needs U,Q,W,D
*L: red-myco-021; red-myco; needs H,M,Z,Y
*M: red-myco-022; red-myco; needs M,C,R,U
*N: red-myco-023; red-myco; needs T,X,Y,W
*O: red-myco-024; red-myco; needs P,N,W,G
*P: red-myco-025; red-myco; needs S,D,J,Y
*Q: red-myco-026; red-myco; needs O,W,F,C
*R: red-myco-027; red-myco; needs L,F,N,Z
*S: red-myco-028; red-myco; needs M,G,J,U
*T: red-myco-029; red-myco; needs P,C,S,U
A1: cell-a-001; produces A; needs S,D,C
A2: cell-a-002; produces A; needs R,D,H
A3: cell-a-003; produces A; needs F,R,C
A4: cell-a-004; produces A; needs Z,J,W
A5: cell-a-005; produces A; needs R,H,P
A6: cell-a-006; produces A; needs Y,G,X
