## ## ## K5 Y5 R5 ## C2 .. .. M4 C3 N1 R2 .. U2 *M ##
Q1 J5 X2 ## *D B9 *R .. A2 A3 ## ## .. .. D3 ## J6 P2
.. J9 R4 Q4 M5 ## T6 R1 P5 ## J1 *3 V1 .. .. T7 L5 K4
## .. ## ## E2 E6 B6 .. J8 L2 *6 ## .. H2 .. S2 ## X5
F7 .. P3 ## .. *B X1 T3 ## M1 .. *4 B1 X4 *F V5 .. Y4
JC E1 S3 ## U1 ## L3 *1 JA .. *G V2 P4 D1 J4 B8 W6 *O
## Q2 ## *L V6 .. .. A1 D2 B4 ## O3 ## ## G4 C1 X6 H3
V4 *J *S J2 *7 B2 ## .. .. .. N3 T2 E4 .. Y3 ## *I O2
*K *H B5 P1 .. Z1 I1 ## ## .. ## T1 ## W5 ## ## J3 JD
## F6 V7 *U .. *A .. P6 K3 .. Z4 D6 .. H1 .. .. .. ..
## .. D5 Z2 V8 *5 *E N5 N6 ## .. I3 *N ## .. ## .. Q3
S5 .. O1 M2 T5 .. .. ## Y1 ## ## Z3 .. F8 .. R3 ## C4
.. .. ## ## *P Y2 .. .. .. E3 .. W3 ## ## D4 G2 *C ..
W4 .. F5 U3 ## *T W7 N4 U5 .. .. F3 G1 .. L1 .. .. ..
.. ## JE *2 ## *9 ## ## JF ## F1 .. J7 JB .. ## K2 *8
L4 R6 .. E5 W2 *Q W1 ## .. F2 V9 B7 B3 T4 S1 U4 G3 G5
## V3 S4 .. N2 X3 .. ## I2 ## ## ## ## M3 .. K1 F4 ..

Legend:
*1: red-myco-001; red-myco; needs W,B,U,V
*2: red-myco-002; red-myco; needs I,M,A,P
*3: red-myco-003; red-myco; needs J,M,K,P
*4: red-myco-004; red-myco; needs V,M,E,K
*5: red-myco-005; red-myco; needs F,O,P,I
*6: red-myco-006; red-myco; needs Z,I,A,U
*7: red-myco-007; red-myco; needs B,J,Y,C
*8: red-myco-008; red-myco; needs X,A,S,K
*9: red-myco-009; red-myco; needs I,W,G,C
*A: red-myco-010; red-myco; needs S,D,F,K
*B: red-myco-011; red-myco; needs I,Y,W,D
*C: red-myco-012; red-myco; needs U,Z,E,V
*D: red-myco-013; red-myco; needs X,Z,M,L
*E: red-myco-014; red-myco; needs A,H,T,U
*F: red-myco-015; red-myco; needs N,W,G,E
*G: red-myco-016; red-myco; needs B,S,V,X
*H: red-myco-017; red-myco; needs D,Q,W,L
*I: red-myco-018; red-myco; needs R,Y,L,F
*J: red-myco-019; red-myco; needs U,Q,I,P
*K: red-myco-020; red-myco; needs K,R,Z,X
*L: red-myco-021; red-myco; needs U,B,Q,I
*M: red-myco-022; red-myco; needs N,P,S,M
*N: red-myco-023; red-myco; needs L,Z,I,S
*O: red-myco-024; red-myco; needs O,L,B,S
*P: red-myco-025; red-myco; needs E,P,Z,K
*Q: red-myco-026; red-myco; needs K,E,J,B
*R: red-myco-027; red-myco; needs E,Y,K,V
*S: red-myco-028; red-myco; needs L,O,S,H
*T: red-myco-029; red-myco; needs R,V,X,O
*U: red-myco-030; red-myco; needs V,O,X,W
A1: cell-a-001; produces A; needs Y,J,O
A2: cell-a-002; produces A; needs K,H,M
A3: cell-a-003; produces A; needs H,M,N
