.. ## EA .. F2 F6 *P M4 Z1 Z8 S4 T3 E7 G1 X1 ## ## X3
.. .. ## N4 PA Z3 .. I1 *K .. E6 A2 Y3 ## ## F4 .. U4
*N .. F9 *5 A5 .. ## .. ## K2 ## B3 .. .. .. ## ## U5
O5 .. A1 P9 *6 ## ## *2 .. V5 ## A7 R4 O1 ## N1 .. ##
## ## U2 N5 ## H1 M1 S1 .. Q2 .. E2 .. X2 .. N6 R2 Q7
## S2 C2 *C ## ## F5 *Q T4 ## O3 ## ## O2 .. N3 .. ..
B4 ## *E .. .. A3 ## J1 .. Z4 ## .. R1 B2 .. .. *8 P3
.. Z2 .. *O .. J2 ## V2 Q1 P6 .. .. S3 ## L2 E9 F1 K1
Z7 J6 *I .. ## ## .. R3 M2 J4 .. P5 F7 .. W2 V4 .. *A
E1 V3 .. D1 W5 J3 H5 T1 ## D2 .. ## Q3 ## .. ## C1 ##
J8 G4 .. X5 U3 G2 K4 V1 ## *D I2 *T .. .. *R E4 *H K7
.. P2 .. .. ## P7 .. Q6 ## F3 ## .. *4 ## .. N7 *F Z6
.. I3 .. .. ## FB *1 A6 ## FA .. H3 ## W3 ## L1 C4 ##
Y2 *L V6 *G .. U1 .. ## .. P1 .. .. *9 X4 .. .. C3 Q5
J7 *3 ## .. H4 *M B5 E8 Y5 .. Z5 E5 .. *7 G6 G3 *J K6
M3 .. J5 .. .. B1 *B T6 .. .. ## W1 ## Y4 E3 .. ## ##
## ## K5 ## A4 .. .. .. K3 *U P4 ## .. ## V7 T5 ## *S
.. T2 .. F8 O4 W4 N2 ## .. R5 Y1 .. ## .. H2 G5 Q4 P8

Legend:
*1: red-myco-001; red-myco; needs Y,V,D,N
*2: red-myco-002; red-myco; needs Z,O,R,B
*3: red-myco-003; red-myco; needs C,S,V,M
*4: red-myco-004; red-myco; needs Y,R,H,F
*5: red-myco-005; red-myco; needs C,D,Q,S
*6: red-myco-006; red-myco; needs M,R,O,S
*7: red-myco-007; red-myco; needs W,J,G,Z
*8: red-myco-008; red-myco; needs N,O,C,U
*9: red-myco-009; red-myco; needs F,M,G,K
*A: red-myco-010; red-myco; needs L,Y,Z,I
*B: red-myco-011; red-myco; needs U,J,I,V
*C: red-myco-012; red-myco; needs W,S,M,A
*D: red-myco-013; red-myco; needs U,G,W,Q
*E: red-myco-014; red-myco; needs Y,A,T,D
*F: red-myco-015; red-myco; needs Y,W,G,Q
*G: red-myco-016; red-myco; needs B,E,S,O
*H: red-myco-017; red-myco; needs O,A,H,B
*I: red-myco-018; red-myco; needs U,K,Z,M
*J: red-myco-019; red-myco; needs H,S,Q,P
*K: red-myco-020; red-myco; needs A,S,C,E
*L: red-myco-021; red-myco; needs I,D,L,Y
*M: red-myco-022; red-myco; needs D,Z,H,I
*N: red-myco-023; red-myco; needs K,S,R,F
*O: red-myco-024; red-myco; needs C,I,D,V
*P: red-myco-025; red-myco; needs E,D,V,R
*Q: red-myco-026; red-myco; needs C,X,S,J
*R: red-myco-027; red-myco; needs J,A,N,C
*S: red-myco-028; red-myco; needs B,V,T,P
*T: red-myco-029; red-myco; needs N,R,K,X
*U: red-myco-030; red-myco; needs P,V,Z,C
A1: cell-a-001; produces A; needs O,E,F
A2: cell-a-002; produces A; needs G,F,P
A3: cell-a-003; produces A; needs V,E,J
A4: cell-a-004; produces A; needs G,K,E
A5: cell-a-005; produces A; needs E,T,Z
