Y4 B5 ## .. P3 M3 ## D9 .. .. C1 G3 .. T6 I2 *I .. ..
Z4 W2 .. D8 ## ## ## G2 .. P6 Z2 G1 .. *G J5 M2 .. X7
X2 ## ## N3 A1 ## ## .. ## D1 U3 .. ## J3 Z1 P2 H4 ##
.. X4 ## .. ## .. .. ## .. V4 T7 B3 .. .. ## *7 ## ##
.. ## ## F3 ## O3 ## DA ## W9 .. ## J2 .. .. .. *P N4
*U .. A7 B1 *C ## K6 S3 P4 ## ## .. ## ## .. S1 M5 T5
Q6 .. H5 ## W3 .. ## .. E1 *3 U2 C3 D3 R2 N2 Z5 .. ##
## .. *4 U1 A5 U4 *N .. Q4 .. C5 *5 C6 K7 ## ## D7 Q9
T4 ## *Q C4 .. N6 K8 .. N1 W4 W5 E4 *H D5 .. Q3 .. L2
.. *L M8 ## M1 ## E5 .. .. F1 B2 .. *2 Q5 Y2 .. ## D6
.. T2 T3 G5 .. .. .. *S .. ## .. H1 *R D2 .. C2 ## ..
*A ## ## ## H3 K5 M4 Y5 K4 J1 ## I3 K2 ## *J M7 *6 *D
V1 .. .. .. .. *K L3 A4 I5 D4 V3 ## G4 ## M6 Q1 .. R1
.. .. .. ## X1 P1 R3 I4 ## *M *8 *O Y3 ## *9 .. J4 P5
Y6 ## W1 V2 K1 ## L1 A2 N5 X6 .. *T Q2 G6 Y1 B4 Q8 ##
F2 H2 .. S4 .. *F .. .. W7 ## T9 W6 X5 E3 X3 O2 .. A3
S2 E2 .. .. .. .. .. .. K9 *E ## O1 *B O4 .. ## *1 ##
.. T1 T8 ## ## .. Q7 A6 .. ## I1 U5 .. Z3 .. K3 .. W8

Legend:
*1: red-myco-001; red-myco; needs U,R,Z,C
*2: red-myco-002; red-myco; needs D,M,T,Z
*3: red-myco-003; red-myco; needs G,O,J,V
*4: red-myco-004; red-myco; needs S,O,M,F
*5: red-myco-005; red-myco; needs Q,U,Z,D
*6: red-myco-006; red-myco; needs L,T,R,C
*7: red-myco-007; red-myco; needs Q,A,S,H
*8: red-myco-008; red-myco; needs I,J,G,V
*9: red-myco-009; red-myco; needs L,H,J,Z
*A: red-myco-010; red-myco; needs V,Q,A,G
*B: red-myco-011; red-myco; needs K,Y,W,B
*C: red-myco-012; red-myco; needs G,S,Z,Y
*D: red-myco-013; red-myco; needs Q,L,F,C
*E: red-myco-014; red-myco; needs R,I,W,O
*F: red-myco-015; red-myco; needs L,F,S,I
*G: red-myco-016; red-myco; needs S,A,F,M
*H: red-myco-017; red-myco; needs Z,K,O,D
*I: red-myco-018; red-myco; needs T,A,R,K
*J: red-myco-019; red-myco; needs A,B,R,H
*K: red-myco-020; red-myco; needs T,I,F,Z
*L: red-myco-021; red-myco; needs B,W,O,D
*M: red-myco-022; red-myco; needs M,E,S,X
*N: red-myco-023; red-myco; needs F,B,S,N
*O: red-myco-024; red-myco; needs O,M,B,V
*P: red-myco-025; red-myco; needs I,X,D,B
*Q: red-myco-026; red-myco; needs X,Q,C,S
*R: red-myco-027; red-myco; needs H,W,X,O
*S: red-myco-028; red-myco; needs B,Y,U,D
*T: red-myco-029; red-myco; needs D,A,H,Z
*U: red-myco-030; red-myco; needs E,P,S,X
A1: cell-a-001; produces A; needs Y,B,C
A2: cell-a-002; produces A; needs U,T,B
A3: cell-a-003; produces A; needs G,Z,Q
A4: cell-a-004; produces A; needs Z,N,K
A5: cell-a-005; produces A; needs U,V,S
