.. ## .. P8 ## ## V2 H2 .. A8 ## .. ## W6 C3 I2 *F M2
.. ## R5 O3 .. *3 F3 *5 Q1 *6 Y3 .. B7 R2 *B P2 *4 ##
*A ## *2 .. B1 I1 .. .. ## P5 S3 .. .. U2 ## ## ## ..
.. ## M4 .. C1 .. .. S4 .. .. C5 .. *V .. B4 ## C6 ..
*7 *G ## .. I5 N2 Q4 ## .. E1 .. *M Q9 U6 MB *P ## *K
.. J4 Q8 E2 *H .. B8 ## G3 ## H7 H4 L2 G5 V3 .. .. BA
.. .. Q6 .. ## M9 ## ## U3 E4 *D .. W8 ## ## ## X4 M3
## *S .. V6 *1 .. H9 H1 F2 ## ## *N ## *Q P7 ## U4 ..
*U A6 .. H6 M7 O6 T3 D3 W4 H5 J3 .. .. *E J1 J2 ## ..
Q2 *R A7 S2 H3 .. O5 N3 ## B9 .. *9 ## G2 ## .. O2 ..
I3 *T A3 .. ## X3 O4 .. B2 ## ## ## .. L3 ## .. *I ..
## .. Z2 S1 .. ## .. *8 .. ## J6 A1 X5 .. V4 ## ## L1
U5 .. ## ## H8 Q3 K1 .. .. P4 W3 W1 B3 E5 ## .. T2 M5
.. M8 M6 V8 G1 B6 .. .. .. *L C4 ## .. T5 J5 ## W2 R1
## D4 ## .. .. D2 X2 E3 N5 A5 ## .. ## .. .. N4 *C V1
*O A4 Y1 .. *J ## ## .. Z1 Q5 .. ## MA D1 U1 T1 .. ##
P1 ## P6 F1 G4 W5 ## .. O1 X1 .. P3 X6 ## R4 V5 I4 C2
B5 Y2 G6 D5 N1 J7 R3 A2 V7 T4 ## P9 .. ## W7 Q7 M1 ..

Legend:
*1: red-myco-001; red-myco; needs E,G,D,J
*2: red-myco-002; red-myco; needs C,G,Q,Y
*3: red-myco-003; red-myco; needs Q,M,X,B
*4: red-myco-004; red-myco; needs Y,L,C,G
*5: red-myco-005; red-myco; needs Z,X,K,E
*6: red-myco-006; red-myco; needs R,O,S,Q
*7: red-myco-007; red-myco; needs O,P,Z,Y
*8: red-myco-008; red-myco; needs Y,D,Z,M
*9: red-myco-009; red-myco; needs Q,O,S,W
*A: red-myco-010; red-myco; needs F,R,I,Y
*B: red-myco-011; red-myco; needs Q,H,X,Z
*C: red-myco-012; red-myco; needs I,C,Z,E
*D: red-myco-013; red-myco; needs T,Q,F,Z
*E: red-myco-014; red-myco; needs T,P,C,F
*F: red-myco-015; red-myco; needs I,Z,R,A
*G: red-myco-016; red-myco; needs J,E,G,K
*H: red-myco-017; red-myco; needs L,Q,A,H
*I: red-myco-018; red-myco; needs V,M,A,N
*J: red-myco-019; red-myco; needs W,R,N,B
*K: red-myco-020; red-myco; needs B,J,U,T
*L: red-myco-021; red-myco; needs Q,H,F,P
*M: red-myco-022; red-myco; needs Y,N,M,S
*N: red-myco-023; red-myco; needs P,G,Z,R
*O: red-myco-024; red-myco; needs B,M,S,X
*P: red-myco-025; red-myco; needs P,U,G,A
*Q: red-myco-026; red-myco; needs R,Y,A,U
*R: red-myco-027; red-myco; needs C,F,A,B
*S: red-myco-028; red-myco; needs C,Y,K,T
*T: red-myco-029; red-myco; needs S,L,V,G
*U: red-myco-030; red-myco; needs H,O,J,M
*V: red-myco-031; red-myco; needs Y,H,Q,M
A1: cell-a-001; produces A; needs K,F,E
A2: cell-a-002; produces A; needs Z,B,Q
A3: cell-a-003; produces A; needs Z,J,B
