D3 N3 ## U3 T1 .. ## ## R2 *1 *D *M G2 .. *J ## I5 I9 A6
Y3 ## *V R3 .. ## ## P1 .. ## Q2 M4 X4 B5 .. .. R1 ## ##
## .. *A H2 ## J5 G7 .. E2 Y8 K8 ## *P Y1 Z3 B6 B4 Y7 ..
.. .. J4 .. B2 C5 .. P9 ## L5 Y6 .. *W ## ## H1 .. V1 I1
## ## K5 N2 .. ## M1 F6 K4 W2 U5 O1 .. *C .. .. .. .. Z4
.. ## O4 J2 .. .. .. ## Q1 .. .. ## Q3 ## .. *S YA .. M2
.. *5 .. ## ## ## F5 ## *6 ## J3 I2 L3 .. L6 .. C1 T2 G8
F2 .. L9 C6 ## G9 .. *G *L .. V9 F3 ## .. Y2 .. V4 ## V5
## *3 ## L7 *E ## ## .. .. V7 Z2 T5 B1 X1 K6 U2 M3 X3 ..
G5 .. .. A1 *2 ## .. I3 C4 .. A5 Z1 .. Z7 .. K1 P3 S1 *N
D2 .. Z8 .. ## .. T4 ## ## W3 X2 ## G1 *U ## .. I7 .. ..
## O2 K7 *T S2 .. U4 *4 H3 .. P6 .. .. ## K3 T3 .. .. L1
Z6 .. G3 G4 P2 C3 B3 ## A3 F4 .. N1 *K .. *F .. .. .. O3
*7 ## V3 ## ## Y5 .. Q4 .. A8 ## H4 .. I8 *R .. F1 *Q C2
*9 P5 A4 .. ## ## L2 *B M5 .. PA ## E4 Y9 *H V6 A2 .. ##
K2 V2 ## W4 B8 ## U1 *O D1 .. ## P7 *8 ## ## ## W1 I4 Z5
.. ## L4 .. ## ## W5 P4 B7 F7 E3 .. Y4 .. IA .. .. .. ..
G6 PB .. *I ## A7 E1 ## V8 VA L8 P8 .. J1 X5 I6 .. Q5 ##

Legend:
*1: red-myco-001; red-myco; needs N,X,H,O
*2: red-myco-002; red-myco; needs M,L,X,Z
*3: red-myco-003; red-myco; needs J,C,U,L
*4: red-myco-004; red-myco; needs P,N,Q,K
*5: red-myco-005; red-myco; needs M,G,L,R
*6: red-myco-006; red-myco; needs E,Q,I,K
*7: red-myco-007; red-myco; needs F,O,D,U
*8: red-myco-008; red-myco; needs S,M,O,Y
*9: red-myco-009; red-myco; needs J,X,R,D
*A: red-myco-010; red-myco; needs U,Q,M,N
*B: red-myco-011; red-myco; needs F,D,E,S
*C: red-myco-012; red-myco; needs W,F,B,N
*D: red-myco-013; red-myco; needs Z,W,L,K
*E: red-myco-014; red-myco; needs A,B,G,O
*F: red-myco-015; red-myco; needs Q,A,I,V
*G: red-myco-016; red-myco; needs Y,C,W,Z
*H: red-myco-017; red-myco; needs X,A,K,C
*I: red-myco-018; red-myco; needs M,R,F,P
*J: red-myco-019; red-myco; needs K,R,T,G
*K: red-myco-020; red-myco; needs T,P,R,L
*L: red-myco-021; red-myco; needs N,S,Q,X
*M: red-myco-022; red-myco; needs W,F,S,I
*N: red-myco-023; red-myco; needs V,F,I,R
*O: red-myco-024; red-myco; needs K,P,V,I
*P: red-myco-025; red-myco; needs Z,E,S,I
*Q: red-myco-026; red-myco; needs B,X,G,V
*R: red-myco-027; red-myco; needs L,U,S,T
*S: red-myco-028; red-myco; needs G,Y,N,E
*T: red-myco-029; red-myco; needs B,C,L,J
*U: red-myco-030; red-myco; needs A,M,T,W
*V: red-myco-031; red-myco; needs Q,W,H,P
*W: red-myco-032; red-myco; needs V,T,H,N
A1: cell-a-001; produces A; needs E,I,F
A2: cell-a-002; produces A; needs Y,P,Q
A3: cell-a-003; produces A; needs P,M,X
A4: cell-a-004; produces A; needs H,I,D
A5: cell-a-005; produces A; needs G,Y,C
A6: cell-a-006; produces A; needs P,U,L
A7: cell-a-007; produces A; needs B,Y,J
A8: cell-a-008; produces A; needs U,B,C
B1: cell-b-001; produces B; needs Y,R,M
B2: cell-b-002; produces B; needs L,T,E
B3: cell-b-003; produces B; needs G,C,D
B4: cell-b-004; produces B; needs O,G,V
B5: cell-b-005; produces B; needs J,A,N
B6: cell-b-006; produces B; needs I,E,C
B7: cell-b-007; produces B; needs A,M,U
B8: cell-b-008; produces B; needs O,K,Z
C1: cell-c-001; produces C; needs J,S,W
C2: cell-c-002; produces C; needs F,G,K
C3: cell-c-003; produces C; needs Z,S,M
C4: cell-c-004; produces C; needs F,R,X
C5: cell-c-005; produces C; needs Y,I,B
C6: cell-c-006; produces C; needs K,M,V
D1: cell-d-001; produces D; needs M,V,N
D2: cell-d-002; produces D; needs Z,H,B
D3: cell-d-003; produces D; needs P,G,B
