## ## *J ## S9 W3 ## X2 .. R6 E3 C5 V3 .. .. F6 *6 .. A6
O1 G2 L2 H3 Q1 .. ## P7 ## ## W8 .. *I ## ## ## ## N6 ..
Q3 K6 C3 ## I2 D5 ## P2 G3 L1 .. E4 ## R1 .. *H M4 K8 X4
I6 W2 Z1 ## ## K4 N5 ## *N .. W1 .. W5 *A W7 T5 X1 A4 ..
*V A2 .. C1 .. RA A8 .. S3 O6 .. F4 *F I5 L6 ## O7 ## R3
.. D1 R4 I7 .. T1 .. .. .. C4 *O R5 .. S4 ## F3 *D *B T6
*1 KA M2 .. .. R8 V2 .. ## O3 .. .. I3 .. N1 ## .. .. ##
.. .. P1 *7 B4 W4 ## *2 ## E2 Y1 S7 ## .. *X .. .. .. ..
F2 *T D6 ## R7 ## ## P3 Y2 .. ## .. .. .. .. .. J4 S8 H2
F1 OA .. J3 *5 ## D4 U2 .. J5 .. ## ## *Q T2 J1 ## ## ##
.. T3 U5 .. Z4 T4 U1 L4 S2 K5 .. ## V4 T7 .. G1 .. .. ##
SA N2 .. K1 ## X5 *G H1 .. A3 *U ## ## M3 .. RC *R R2 ##
## P4 W6 B1 .. Y3 .. *E *P .. ## O5 J6 .. *C ## .. .. ..
.. .. J2 S5 ## *K .. H4 E1 L3 .. I1 .. ## *L O9 O8 ## K3
## K9 .. *4 ## .. V1 R9 P6 C2 .. K2 .. X3 RB M1 ## Z5 A1
O2 *M S6 D3 ## O4 A5 ## B2 F5 ## S1 *3 N4 U6 .. Z2 B5 Z6
*9 L5 K7 Z3 N3 .. Z7 .. U3 I4 U4 *8 ## B3 Q2 ## D2 A7 ##
## ## .. ## I8 .. ## ## *S .. .. P5 ## ## Y4 ## ## C6 *W

Legend:
*1: red-myco-001; red-myco; needs M,T,P,X
*2: red-myco-002; red-myco; needs S,R,U,Q
*3: red-myco-003; red-myco; needs F,P,Z,U
*4: red-myco-004; red-myco; needs B,G,H,C
*5: red-myco-005; red-myco; needs C,M,X,V
*6: red-myco-006; red-myco; needs B,K,Y,A
*7: red-myco-007; red-myco; needs O,Z,I,Q
*8: red-myco-008; red-myco; needs J,E,A,O
*9: red-myco-009; red-myco; needs M,E,A,Z
*A: red-myco-010; red-myco; needs C,J,R,W
*B: red-myco-011; red-myco; needs V,E,S,N
*C: red-myco-012; red-myco; needs Z,H,A,U
*D: red-myco-013; red-myco; needs O,R,S,F
*E: red-myco-014; red-myco; needs Q,I,S,X
*F: red-myco-015; red-myco; needs D,O,X,L
*G: red-myco-016; red-myco; needs T,H,D,U
*H: red-myco-017; red-myco; needs H,S,P,Y
*I: red-myco-018; red-myco; needs W,M,A,K
*J: red-myco-019; red-myco; needs W,B,J,G
*K: red-myco-020; red-myco; needs X,L,P,T
*L: red-myco-021; red-myco; needs E,R,A,Y
*M: red-myco-022; red-myco; needs F,S,K,H
*N: red-myco-023; red-myco; needs M,D,G,F
*O: red-myco-024; red-myco; needs U,P,I,V
*P: red-myco-025; red-myco; needs X,T,W,U
*Q: red-myco-026; red-myco; needs S,I,Z,D
*R: red-myco-027; red-myco; needs W,X,L,U
*S: red-myco-028; red-myco; needs C,R,J,T
*T: red-myco-029; red-myco; needs F,Y,G,Q
*U: red-myco-030; red-myco; needs W,Z,I,V
*V: red-myco-031; red-myco; needs L,A,M,S
*W: red-myco-032; red-myco; needs X,L,T,R
*X: red-myco-033; red-myco; needs U,X,O,W
A1: cell-a-001; produces A; needs W,O,Z
A2: cell-a-002; produces A; needs P,C,I
A3: cell-a-003; produces A; needs D,W,O
A4: cell-a-004; produces A; needs F,J,X
A5: cell-a-005; produces A; needs V,Q,I
A6: cell-a-006; produces A; needs H,E,X
A7: cell-a-007; produces A; needs Z,C,I
A8: cell-a-008; produces A; needs C,W,L
B1: cell-b-001; produces B; needs T,Z,F
B2: cell-b-002; produces B; needs M,R,P
B3: cell-b-003; produces B; needs R,P,L
B4: cell-b-004; produces B; needs G,R,O
B5: cell-b-005; produces B; needs N,S,X
C1: cell-c-001; produces C; needs U,R,K
C2: cell-c-002; produces C; needs A,H,R
C3: cell-c-003; produces C; needs R,Z,L
C4: cell-c-004; produces C; needs E,V,L
C5: cell-c-005; produces C; needs A,Z,W
