.. ## ## O6 W3 G2 H6 G3 Q6 ## .. .. *9 V2 .. R1 Z8 *1 F3
.. Z3 L2 .. .. .. .. S5 Y6 ## .. J6 *4 B6 *3 D5 .. ## W9
T6 .. W8 ## B3 ## .. I2 .. .. N7 O3 Y5 .. M4 ## ## .. ##
D8 .. .. ## *7 E7 G1 ## ## *5 T7 O5 ## A4 .. ## ## .. ..
.. .. *V Y8 E6 A1 NB T5 ## O4 .. ## E2 D9 H8 U6 R6 N6 D7
*B ## H9 ## X1 .. .. .. .. X7 .. H2 ## U3 *W K1 V3 N5 P1
B2 Z7 W4 S1 *F Y7 ## *T *M K2 P4 Y1 *K T4 X5 D3 .. .. B4
.. D2 H3 P2 ## .. J4 ## .. *A U8 .. ## H1 .. .. .. .. Z4
Q4 *8 D1 .. S4 *6 *C Q1 ## ## X3 .. A3 .. ## W6 ## ## ##
I7 WA *U ## C3 M2 Z5 I1 .. *N C4 .. .. ## ## L1 T3 J5 H4
Q3 E4 C2 N4 C1 .. ## R5 ## ## N8 .. .. .. ## *X N1 .. ##
.. ## ## .. E5 E1 .. .. Y4 .. .. I4 ## ## .. V4 W7 WB O7
.. *P ## ## *H I6 ## S3 ## .. H5 .. O1 .. X6 .. E3 E8 NA
I5 ## .. G4 L3 *S ## Y2 ## .. .. F1 *Q *R ## .. Q5 .. Z2
.. *J B1 Q2 ## U7 ## S2 N9 A2 P3 *I R7 ## ## *L .. ## D4
Y3 .. M1 R4 U2 ## X2 N3 .. ## X4 ## *O N2 *D W5 ## V5 ##
U5 W2 R3 M3 .. ## J3 I3 Z1 *2 U4 ## Z6 D6 K4 T2 H7 W1 ..
B5 .. ## *G .. J1 T1 J2 F2 V1 U1 O2 ## K3 *E .. C5 ## R2

Legend:
*1: red-myco-001; red-myco; needs N,Z,A,D
*2: red-myco-002; red-myco; needs M,F,J,E
*3: red-myco-003; red-myco; needs Y,E,V,S
*4: red-myco-004; red-myco; needs C,F,I,A
*5: red-myco-005; red-myco; needs C,B,R,W
*6: red-myco-006; red-myco; needs H,R,A,Q
*7: red-myco-007; red-myco; needs K,Y,R,M
*8: red-myco-008; red-myco; needs M,V,J,A
*9: red-myco-009; red-myco; needs H,T,Q,E
*A: red-myco-010; red-myco; needs R,F,G,B
*B: red-myco-011; red-myco; needs K,N,M,X
*C: red-myco-012; red-myco; needs K,B,H,I
*D: red-myco-013; red-myco; needs T,Q,A,W
*E: red-myco-014; red-myco; needs T,E,Z,W
*F: red-myco-015; red-myco; needs J,W,N,U
*G: red-myco-016; red-myco; needs L,B,U,H
*H: red-myco-017; red-myco; needs K,F,B,R
*I: red-myco-018; red-myco; needs Z,A,J,N
*J: red-myco-019; red-myco; needs G,R,M,L
*K: red-myco-020; red-myco; needs N,T,V,U
*L: red-myco-021; red-myco; needs O,E,N,K
*M: red-myco-022; red-myco; needs O,P,E,Q
*N: red-myco-023; red-myco; needs I,M,U,Y
*O: red-myco-024; red-myco; needs E,R,N,T
*P: red-myco-025; red-myco; needs H,C,Y,R
*Q: red-myco-026; red-myco; needs T,F,J,M
*R: red-myco-027; red-myco; needs Q,C,R,G
*S: red-myco-028; red-myco; needs M,V,W,I
*T: red-myco-029; red-myco; needs M,S,B,W
*U: red-myco-030; red-myco; needs P,B,E,T
*V: red-myco-031; red-myco; needs F,V,W,X
*W: red-myco-032; red-myco; needs W,Z,C,I
*X: red-myco-033; red-myco; needs G,Z,N,S
A1: cell-a-001; produces A; needs D,P,B
A2: cell-a-002; produces A; needs L,W,R
A3: cell-a-003; produces A; needs D,W,K
A4: cell-a-004; produces A; needs Z,T,Y
