X2 F4 I5 W6 .. ## .. Z1 ## .. .. C4 N1 C3 W2 ## Z3 X3 E3
*L G3 ## U4 F9 .. .. U6 ## *P H5 ## *B O4 T9 *D ## *I ##
Y3 Y1 P1 B4 .. *1 *2 ## J8 .. ## .. .. O2 *6 ## *R .. A2
## G6 ## .. .. .. ## X1 .. ## E1 ## S2 S4 .. R6 O6 ## ..
## ## Q3 ## P4 ## *J ## Z5 O1 ## G7 *A .. ## R2 ## .. C7
.. X4 C1 H7 V1 H3 ## B1 P6 G1 M3 Q1 Y2 .. .. N4 *M G5 ..
## .. R5 *5 .. A5 *8 W1 M2 ## N7 D4 .. Q4 .. ## N5 ## ..
.. ## ## D7 *C .. I2 N9 .. .. .. T5 ## ## ## M5 N8 O7 J7
## T4 V3 A4 *3 .. .. K1 N2 ## *K F7 O8 .. .. L4 .. ## L6
.. J4 Z6 .. C6 ## E2 .. ## B3 H2 ## I4 T6 W3 ## W8 .. ##
N6 I7 .. ## A1 *H .. F6 Z2 ## ## *V J5 *O P3 .. L1 U3 F1
*U K2 S1 .. D5 .. ## F8 *G R3 U1 .. .. ## H6 K4 S3 .. O9
T3 .. ## .. *E A3 P7 M4 V4 W7 R1 .. V5 ## *N *9 *F J6 L2
FB .. .. T7 ## D1 P5 W5 F5 G2 .. ## ## M6 O3 Z4 D2 I6 *X
.. *T G4 ## ## G8 FA .. T8 .. U2 ## .. ## C5 N3 .. I3 ..
## .. Q2 .. .. .. J1 L5 O5 ## J2 D3 ## ## ## .. .. L3 I8
F2 .. B2 J3 M1 R4 .. T1 *Q U5 W9 W4 ## .. G9 .. .. T2 Y4
*W C2 K3 I1 *7 V2 D6 ## ## .. H4 *4 H1 ## *S NA F3 P2 ##

Legend:
*1: red-myco-001; red-myco; needs A,D,J,N
*2: red-myco-002; red-myco; needs X,U,D,L
*3: red-myco-003; red-myco; needs M,E,V,F
*4: red-myco-004; red-myco; needs F,H,V,S
*5: red-myco-005; red-myco; needs X,W,A,Q
*6: red-myco-006; red-myco; needs X,B,S,A
*7: red-myco-007; red-myco; needs P,W,K,Z
*8: red-myco-008; red-myco; needs M,C,W,H
*9: red-myco-009; red-myco; needs H,U,S,K
*A: red-myco-010; red-myco; needs U,K,B,E
*B: red-myco-011; red-myco; needs F,N,U,M
*C: red-myco-012; red-myco; needs W,V,B,R
*D: red-myco-013; red-myco; needs D,Y,I,U
*E: red-myco-014; red-myco; needs R,Y,M,W
*F: red-myco-015; red-myco; needs R,Z,J,X
*G: red-myco-016; red-myco; needs O,K,S,N
*H: red-myco-017; red-myco; needs V,M,N,D
*I: red-myco-018; red-myco; needs Q,B,D,G
*J: red-myco-019; red-myco; needs J,L,G,R
*K: red-myco-020; red-myco; needs K,L,O,A
*L: red-myco-021; red-myco; needs C,J,X,H
*M: red-myco-022; red-myco; needs V,L,K,U
*N: red-myco-023; red-myco; needs M,N,E,J
*O: red-myco-024; red-myco; needs N,H,S,V
*P: red-myco-025; red-myco; needs P,X,J,L
*Q: red-myco-026; red-myco; needs Q,M,R,K
*R: red-myco-027; red-myco; needs E,J,S,P
*S: red-myco-028; red-myco; needs R,Q,J,P
*T: red-myco-029; red-myco; needs U,K,C,H
*U: red-myco-030; red-myco; needs M,G,C,L
*V: red-myco-031; red-myco; needs E,D,U,P
*W: red-myco-032; red-myco; needs T,P,K,D
*X: red-myco-033; red-myco; needs E,T,L,W
A1: cell-a-001; produces A; needs H,J,C
A2: cell-a-002; produces A; needs S,B,U
A3: cell-a-003; produces A; needs E,T,W
A4: cell-a-004; produces A; needs F,N,O
A5: cell-a-005; produces A; needs N,M,H
B1: cell-b-001; produces B; needs A,M,H
B2: cell-b-002; produces B; needs W,X,J
B3: cell-b-003; produces B; needs U,M,H
B4: cell-b-004; produces B; needs J,D,T
C1: cell-c-001; produces C; needs D,H,B
C2: cell-c-002; produces C; needs H,W,Z
C3: cell-c-003; produces C; needs W,Z,G
C4: cell-c-004; produces C; needs W,F,O
C5: cell-c-005; produces C; needs G,M,F
C6: cell-c-006; produces C; needs M,Y,F
C7: cell-c-007; produces C; needs Z,I,T
