P3 W4 .. .. W5 F3 L3 .. .. *P ## *H ## X6 ## ## I5 A8 ##
.. R2 *F N5 *C G6 I9 G2 S2 C4 .. E7 ## ## .. .. ## U2 ..
## K5 *A ## *6 .. .. T3 .. P6 ## *I O5 P8 .. D7 ## .. *N
.. M5 *X .. .. *2 O4 ## B4 Q3 *T ## .. .. E2 .. *Y Y1 F1
K6 C1 A1 D5 Z7 .. ## I2 N3 K3 ## F7 Q1 O3 F6 ## H1 *4 ..
## ## U3 Z5 *E O1 .. E4 O7 .. R1 .. ## .. .. T6 X4 PA T2
.. *W .. ## KA P5 ## .. *J X5 T8 K8 M2 W2 K1 S3 X9 Y4 P7
I1 Y3 W1 J2 .. N2 Q5 P1 U1 P2 K2 *S Y5 B6 T1 ## V1 ## L1
F2 .. P4 M1 .. X1 *8 G8 ## M6 L4 E5 ## ## .. ## .. *Q ##
.. ## D2 .. X3 .. .. E6 .. ## ## .. K7 I7 *D *V ## .. ##
R3 S1 .. O2 .. A7 T4 .. ## ## ## .. ## ## T5 F4 .. .. Y6
I4 ## .. .. D6 ## ## .. .. ## ## E1 J4 .. *K *B *G N1 A4
GA L2 .. ## ## ## .. H2 ## G5 D3 D8 B3 C3 .. A2 H3 E3 D4
.. *9 K4 .. ## Z4 ## ## I3 B5 O6 .. B2 X2 V2 U4 ## IA G9
W7 .. J1 G4 ## *U .. ## ## A3 ## *O X7 X8 Z6 ## Y2 ## *3
C5 G7 W6 R5 ## ## Y7 .. *M .. Z3 P9 ## .. .. .. *R Q4 I8
## G3 D1 G1 *L T7 J3 ## C2 ## N4 *5 K9 .. .. M4 I6 .. ##
.. A5 ## GB ## W3 M3 *7 B1 Q2 N6 ## Z1 Z2 F5 *1 C6 A6 R4

Legend:
*1: red-myco-001; red-myco; needs J,A,D,X
*2: red-myco-002; red-myco; needs F,Q,M,S
*3: red-myco-003; red-myco; needs B,D,I,C
*4: red-myco-004; red-myco; needs F,K,I,G
*5: red-myco-005; red-myco; needs U,E,Q,T
*6: red-myco-006; red-myco; needs V,K,U,X
*7: red-myco-007; red-myco; needs P,L,I,O
*8: red-myco-008; red-myco; needs M,E,R,A
*9: red-myco-009; red-myco; needs X,A,U,V
*A: red-myco-010; red-myco; needs E,W,M,B
*B: red-myco-011; red-myco; needs K,Q,G,M
*C: red-myco-012; red-myco; needs Y,E,J,I
*D: red-myco-013; red-myco; needs W,E,O,I
*E: red-myco-014; red-myco; needs Y,N,O,C
*F: red-myco-015; red-myco; needs R,P,A,F
*G: red-myco-016; red-myco; needs P,T,E,B
*H: red-myco-017; red-myco; needs Q,M,B,Y
*I: red-myco-018; red-myco; needs Z,W,O,R
*J: red-myco-019; red-myco; needs H,K,A,T
*K: red-myco-020; red-myco; needs W,B,D,P
*L: red-myco-021; red-myco; needs R,G,L,E
*M: red-myco-022; red-myco; needs E,T,G,F
*N: red-myco-023; red-myco; needs L,Q,F,O
*O: red-myco-024; red-myco; needs B,O,J,P
*P: red-myco-025; red-myco; needs C,Q,X,V
*Q: red-myco-026; red-myco; needs Q,A,W,Y
*R: red-myco-027; red-myco; needs J,C,H,T
*S: red-myco-028; red-myco; needs R,Y,U,W
*T: red-myco-029; red-myco; needs S,L,Y,J
*U: red-myco-030; red-myco; needs C,K,V,L
*V: red-myco-031; red-myco; needs D,A,R,I
*W: red-myco-032; red-myco; needs Z,F,E,G
*X: red-myco-033; red-myco; needs J,R,T,Q
*Y: red-myco-034; red-myco; needs D,X,O,E
A1: cell-a-001; produces A; needs U,B,O
A2: cell-a-002; produces A; needs R,Y,X
A3: cell-a-003; produces A; needs O,E,K
A4: cell-a-004; produces A; needs N,D,Y
A5: cell-a-005; produces A; needs E,S,B
A6: cell-a-006; produces A; needs T,D,X
A7: cell-a-007; produces A; needs H,C,P
A8: cell-a-008; produces A; needs Q,T,C
B1: cell-b-001; produces B; needs A,C,U
B2: cell-b-002; produces B; needs G,V,U
B3: cell-b-003; produces B; needs M,H,O
B4: cell-b-004; produces B; needs C,M,F
B5: cell-b-005; produces B; needs D,F,A
B6: cell-b-006; produces B; needs S,F,A
C1: cell-c-001; produces C; needs B,Q,A
C2: cell-c-002; produces C; needs R,K,X
C3: cell-c-003; produces C; needs K,M,Q
C4: cell-c-004; produces C; needs W,T,P
C5: cell-c-005; produces C; needs N,L,I
