E6 S2 *A A3 S5 D3 .. M8 ## ## ## X4 .. .. .. D1 .. .. ..
N7 Q5 W3 J8 M7 V2 N1 B3 G3 ## *E .. ## DB I2 .. ## M1 R6
I4 .. G4 K4 K7 Z5 K6 ## A9 .. .. .. R2 Q1 K1 .. .. A5 U3
## .. I6 H6 *F ## Z1 L4 H3 *X E4 W6 ## E7 .. D4 .. ## ..
Q2 .. .. ## ## ## *I W4 ## Y3 .. .. H2 X6 ## A4 I1 .. ..
## ## ## .. P5 ## K5 D9 ## *C .. X7 L6 .. Q6 C7 A1 O1 V3
.. ## H1 ## .. Z6 ## Q7 J1 ## *B W7 W1 .. .. *T ## R4 ##
## M3 .. .. .. D7 .. X1 J7 .. *S K2 ## S4 *9 N2 ## .. ..
H5 C3 .. .. ## Y1 ## U1 .. ## ## I5 A8 *8 ## K3 .. N3 T2
## ## ## .. Z3 B2 .. .. .. T1 .. D2 DA ## D8 .. .. R7 D5
## F3 *H C2 *6 .. ## C4 B1 F4 ## ## S1 ## .. .. .. .. D6
P7 G7 .. *K .. ## H8 A2 .. .. N4 .. *Y *U I7 *7 *O F2 *W
Y2 .. .. G5 ## E5 X2 ## A7 *L ## *M .. L2 .. ## ## O2 U6
.. C6 .. P3 E3 *D ## X9 .. Z2 .. ## A6 .. C5 ## R3 X3 ..
R9 *1 ## T3 *2 .. J6 N6 *N *4 G6 ## J9 U5 ## W2 F1 V1 ##
J3 M4 ## L5 ## P1 ## N5 R8 *P Q9 X5 .. .. P2 .. C1 .. N8
*5 .. XB ## J5 ## M6 M5 X8 Z4 H7 JA XA W5 *V E2 U2 S3 J4
G2 R1 U4 M2 J2 *J E1 ## ## I3 ## G1 .. .. .. .. Q8 ## ##
L3 H4 P6 L1 Q4 S6 .. .. *G ## .. P4 Q3 .. *R ## R5 *3 *Q

Legend:
*1: red-myco-001; red-myco; needs Z,U,D,P
*2: red-myco-002; red-myco; needs N,K,X,W
*3: red-myco-003; red-myco; needs A,T,F,V
*4: red-myco-004; red-myco; needs Z,S,Y,L
*5: red-myco-005; red-myco; needs K,I,Z,O
*6: red-myco-006; red-myco; needs E,R,D,W
*7: red-myco-007; red-myco; needs G,L,V,N
*8: red-myco-008; red-myco; needs C,T,Z,B
*9: red-myco-009; red-myco; needs K,H,F,Z
*A: red-myco-010; red-myco; needs H,N,F,O
*B: red-myco-011; red-myco; needs S,J,K,A
*C: red-myco-012; red-myco; needs A,X,D,R
*D: red-myco-013; red-myco; needs H,N,X,A
*E: red-myco-014; red-myco; needs O,J,F,E
*F: red-myco-015; red-myco; needs L,D,V,Q
*G: red-myco-016; red-myco; needs V,P,M,C
*H: red-myco-017; red-myco; needs F,X,O,Y
*I: red-myco-018; red-myco; needs E,M,F,W
*J: red-myco-019; red-myco; needs S,D,L,N
*K: red-myco-020; red-myco; needs N,K,Y,S
*L: red-myco-021; red-myco; needs W,L,B,I
*M: red-myco-022; red-myco; needs Q,R,L,G
*N: red-myco-023; red-myco; needs X,G,N,R
*O: red-myco-024; red-myco; needs B,K,C,I
*P: red-myco-025; red-myco; needs W,Z,T,H
*Q: red-myco-026; red-myco; needs I,A,J,P
*R: red-myco-027; red-myco; needs G,S,C,O
*S: red-myco-028; red-myco; needs Z,E,V,H
*T: red-myco-029; red-myco; needs W,A,C,I
*U: red-myco-030; red-myco; needs U,H,E,R
*V: red-myco-031; red-myco; needs D,U,N,W
*W: red-myco-032; red-myco; needs E,P,N,K
*X: red-myco-033; red-myco; needs H,V,L,P
*Y: red-myco-034; red-myco; needs H,Z,N,M
A1: cell-a-001; produces A; needs N,D,X
A2: cell-a-002; produces A; needs L,T,W
A3: cell-a-003; produces A; needs R,Q,S
A4: cell-a-004; produces A; needs T,G,Q
A5: cell-a-005; produces A; needs W,H,M
