B4 M2 S2 U2 W1 ## ## ## .. ## *Q H1 D1 J5 B3 I3 .. .. ##
.. W4 .. .. *V D7 ## *4 W3 R3 .. P3 T3 L7 B5 M4 J8 D2 ..
.. E3 .. I7 .. *3 ## L3 J1 E5 X5 E1 .. ## ## ## I5 C4 *5
M5 ## V3 .. .. Q7 Q3 S3 .. *9 *Y D9 .. ## ## V1 ## ## ##
.. V2 I1 N3 *K *C Y6 P1 E2 T5 Q5 .. R5 J7 I2 *O Z4 ## Y7
## K6 *A .. W7 N1 M6 D5 *D ## O5 .. Z6 Z2 A7 .. ## .. *2
Y1 ## ## ## L2 G7 X4 ## ## .. .. *R K7 ## P5 .. M7 *1 ..
F4 ## *H O8 ## A3 WB .. ## .. .. ## Q9 O7 .. ## I9 ## ..
.. U1 X3 M3 .. W2 A5 ## U6 .. A6 U3 .. .. W6 *7 ## ## *N
## .. L5 .. Q6 X2 N4 Z5 WA B1 ## K1 I6 K8 ## F2 Q2 *Z ##
## C3 Q1 .. Y2 A9 .. ## E4 .. WC S4 B2 J2 ## .. S1 O1 DA
H3 .. G2 .. Y4 Q4 .. ## .. ## .. ## ## P2 W9 A2 ## ## ##
*F F1 WD ## ## .. ## U4 *S *M D6 *L .. .. Y3 .. L1 P4 C1
H2 O2 T6 F3 X1 ## Z3 ## .. W8 B7 .. *W .. .. C2 W5 ## G8
.. E6 ## .. .. G5 G3 G6 .. .. A8 *T G4 ## D3 .. J4 *P *E
K2 A1 J6 K5 T1 N2 .. *8 ## .. .. K3 .. .. U5 T4 O9 *U L4
*X ## .. ## .. O6 D4 R2 ## ## B6 O4 O3 *B ## *G J3 M1 ..
G1 I4 ## .. *J .. ## R4 .. .. M8 I8 ## ## R1 *I K4 A4 Q8
Y5 Z1 .. .. J9 ## .. .. .. ## T2 .. D8 ## G9 L6 .. *6 ..

Legend:
*1: red-myco-001; red-myco; needs X,L,I,W
*2: red-myco-002; red-myco; needs U,Y,I,F
*3: red-myco-003; red-myco; needs U,Q,F,J
*4: red-myco-004; red-myco; needs I,Y,H,M
*5: red-myco-005; red-myco; needs N,F,C,O
*6: red-myco-006; red-myco; needs Z,W,M,G
*7: red-myco-007; red-myco; needs L,P,O,R
*8: red-myco-008; red-myco; needs C,G,S,W
*9: red-myco-009; red-myco; needs H,A,F,Q
*A: red-myco-010; red-myco; needs Z,O,P,E
*B: red-myco-011; red-myco; needs V,Z,O,C
*C: red-myco-012; red-myco; needs F,Z,S,E
*D: red-myco-013; red-myco; needs C,Z,Y,I
*E: red-myco-014; red-myco; needs M,C,K,A
*F: red-myco-015; red-myco; needs P,C,G,J
*G: red-myco-016; red-myco; needs I,X,O,V
*H: red-myco-017; red-myco; needs F,X,R,M
*I: red-myco-018; red-myco; needs J,M,I,U
*J: red-myco-019; red-myco; needs B,U,W,C
*K: red-myco-020; red-myco; needs G,X,B,P
*L: red-myco-021; red-myco; needs B,E,K,V
*M: red-myco-022; red-myco; needs G,B,Y,L
*N: red-myco-023; red-myco; needs K,M,Q,L
*O: red-myco-024; red-myco; needs U,C,R,B
*P: red-myco-025; red-myco; needs W,T,N,Q
*Q: red-myco-026; red-myco; needs G,Y,X,C
*R: red-myco-027; red-myco; needs A,M,H,O
*S: red-myco-028; red-myco; needs Y,R,U,M
*T: red-myco-029; red-myco; needs N,E,Y,W
*U: red-myco-030; red-myco; needs B,U,J,I
*V: red-myco-031; red-myco; needs X,R,I,Q
*W: red-myco-032; red-myco; needs V,D,G,K
*X: red-myco-033; red-myco; needs I,X,F,C
*Y: red-myco-034; red-myco; needs W,R,G,A
*Z: red-myco-035; red-myco; needs E,M,B,V
A1: cell-a-001; produces A; needs M,C,Z
A2: cell-a-002; produces A; needs Z,W,U
A3: cell-a-003; produces A; needs Q,C,W
A4: cell-a-004; produces A; needs P,X,E
