Y5 I5 Z3 L2 ## M3 *V ## H7 D6 E5 F4 H5 *B T4 D9 P5 JB ##
S2 .. W2 Y2 J3 G7 Q3 *7 P8 *D I7 A2 Y4 ## A6 J5 O1 C5 ..
## B2 *K ## .. J6 ## V4 ## R1 ## .. V5 .. .. D4 .. ## ##
N1 C1 X2 S4 ## T6 E4 *8 .. P2 .. .. B5 ## .. K5 .. *T D1
O4 .. V3 ## J9 ## ## Z4 ## *G G1 .. ## N4 .. .. ## H3 D8
## I2 D5 M2 F5 G8 P6 O3 G3 E2 ## N3 .. .. ## ## U5 Z1 I6
## MA A3 A4 .. ## .. T3 .. Y1 X4 .. M9 J1 *2 E1 B3 H4 M1
.. .. X3 ME R2 ## L1 .. MD I1 J8 .. W1 F3 ## G6 ## .. G4
I4 *Y ## W4 .. *Z A5 R4 P1 M8 .. M6 ## *A U1 .. *N *4 L4
## *P N5 .. .. .. .. .. .. L5 JC ## R6 *M .. D3 K8 *R S7
.. ## S3 ## ## ## P4 .. ## Y6 D7 ## ## ## F1 *X .. H1 *U
.. K3 ## .. V7 ## .. ## .. JA L6 ## F6 *9 B1 M7 ## J7 Q2
*F .. *J S8 G5 K2 ## ## X1 .. .. *1 .. M4 ## N2 *5 L3 ..
P7 G2 ## K6 S1 C4 J4 H2 *H T1 W5 K4 A7 Q4 .. .. H6 ## U7
K1 R3 ## O2 *L A1 V6 R7 T2 MB .. ## .. U2 D2 .. *3 *W *O
.. .. .. S5 S6 ## .. .. MC .. R5 W3 *E .. ## C2 ## ## B4
.. E3 ## U6 Z2 *C ## .. Y3 ## ## .. B7 ## V8 Q1 .. .. *I
.. U4 ## F2 .. V2 .. *Q J2 ## ## ## *S U3 M5 .. I3 T5 B6
.. ## ## .. .. C3 V1 .. P3 ## ## ## .. ## *6 K7 Q5 G9 ..

Legend:
*1: red-myco-001; red-myco; needs J,D,U,R
*2: red-myco-002; red-myco; needs T,B,J,R
*3: red-myco-003; red-myco; needs O,G,S,X
*4: red-myco-004; red-myco; needs G,A,Z,B
*5: red-myco-005; red-myco; needs A,R,Z,D
*6: red-myco-006; red-myco; needs N,M,Y,Q
*7: red-myco-007; red-myco; needs H,F,X,I
*8: red-myco-008; red-myco; needs H,P,U,V
*9: red-myco-009; red-myco; needs G,T,I,P
*A: red-myco-010; red-myco; needs D,M,U,P
*B: red-myco-011; red-myco; needs V,R,A,I
*C: red-myco-012; red-myco; needs K,C,H,A
*D: red-myco-013; red-myco; needs X,Q,O,E
*E: red-myco-014; red-myco; needs G,P,C,N
*F: red-myco-015; red-myco; needs G,I,D,T
*G: red-myco-016; red-myco; needs W,K,L,X
*H: red-myco-017; red-myco; needs A,S,T,C
*I: red-myco-018; red-myco; needs Q,Z,E,D
*J: red-myco-019; red-myco; needs H,O,M,Y
*K: red-myco-020; red-myco; needs V,I,Q,T
*L: red-myco-021; red-myco; needs G,N,A,Z
*M: red-myco-022; red-myco; needs Y,M,X,U
*N: red-myco-023; red-myco; needs T,M,A,R
*O: red-myco-024; red-myco; needs S,M,Y,Q
*P: red-myco-025; red-myco; needs E,Z,Y,B
*Q: red-myco-026; red-myco; needs F,Q,P,H
*R: red-myco-027; red-myco; needs I,X,Y,E
*S: red-myco-028; red-myco; needs S,L,J,I
*T: red-myco-029; red-myco; needs O,S,Y,P
*U: red-myco-030; red-myco; needs C,T,E,D
*V: red-myco-031; red-myco; needs S,R,Z,N
*W: red-myco-032; red-myco; needs F,Y,L,Z
*X: red-myco-033; red-myco; needs B,R,F,S
*Y: red-myco-034; red-myco; needs N,H,K,D
*Z: red-myco-035; red-myco; needs P,L,G,N
A1: cell-a-001; produces A; needs F,W,Y
A2: cell-a-002; produces A; needs V,M,T
A3: cell-a-003; produces A; needs H,K,N
A4: cell-a-004; produces A; needs H,B,P
A5: cell-a-005; produces A; needs E,H,W
A6: cell-a-006; produces A; needs Z,R,J
A7: cell-a-007; produces A; needs G,P,U
B1: cell-b-001; produces B; needs C,P,J
B2: cell-b-002; produces B; needs F,K,Q
B3: cell-b-003; produces B; needs P,W,S
B4: cell-b-004; produces B; needs R,C,X
B5: cell-b-005; produces B; needs A,Y,J
B6: cell-b-006; produces B; needs A,M,H
B7: cell-b-007; produces B; needs F,J,K
C1: cell-c-001; produces C; needs J,B,U
C2: cell-c-002; produces C; needs P,Y,H
C3: cell-c-003; produces C; needs B,J,R
C4: cell-c-004; produces C; needs M,D,U
C5: cell-c-005; produces C; needs S,U,V
D1: cell-d-001; produces D; needs S,M,I
D2: cell-d-002; produces D; needs K,R,B
D3: cell-d-003; produces D; needs M,O,G
D4: cell-d-004; produces D; needs M,J,H
D5: cell-d-005; produces D; needs U,Q,M
D6: cell-d-006; produces D; needs F,Z,M
D7: cell-d-007; produces D; needs C,M,S
D8: cell-d-008; produces D; needs V,G,N
D9: cell-d-009; produces D; needs N,V,S
E1: cell-e-001; produces E; needs V,M,R
E2: cell-e-002; produces E; needs P,G,U
E3: cell-e-003; produces E; needs Q,M,D
