T6 ## D1 O7 .. M4 ## *K S5 OA .. ## J2 ## *4 .. .. U4 ..
L5 E6 .. B4 .. L4 ## ## ## Z3 .. .. .. ## X8 A1 P7 .. ..
.. F4 *Z ## M3 H5 ## .. E8 Z6 ## ## I1 *9 W6 .. ## ## V2
## ## H3 Z8 P4 ## E7 M6 ## *W .. Y3 .. ## B7 *R ## K1 ##
## .. W9 C1 *B T2 O5 .. *2 .. .. S3 .. L7 L6 C6 ## D5 E2
## ## ## E5 V4 .. P5 I2 N6 L8 .. .. S2 K2 C4 ## ## G2 K4
## .. B6 J3 .. D2 U3 V6 *D M9 B3 ## F1 I3 Z4 ## ## *H ##
*1 ## ## A6 Z7 .. M1 U5 W3 .. ## R1 V5 .. *6 A4 F5 H4 M8
L3 V1 ## D6 .. *Y ## ## ## P3 ## J1 *S O9 ## *F Z2 L9 *I
## *7 ## N1 I5 K3 W1 ## X7 F3 ## R5 P2 ## A2 ## *G L1 *V
W4 *A P6 .. Y1 V3 W2 .. .. ## *5 Z1 ## A5 ## *L EA L2 ##
.. D8 *M ## *N ## .. .. D4 *3 ## B8 .. M7 I4 .. ## W7 ..
D9 .. Q4 .. *T ## *O .. .. N4 ZB Y4 *P Q3 C3 ## C2 K6 T4
## .. Q1 A3 .. ## G1 H2 B1 ## D3 J5 T7 Q2 C7 .. *Q S1 *J
N5 .. WA H6 .. T8 X3 H1 .. .. X2 R2 ## *X .. .. ZA *0 F2
N7 B2 E9 .. M2 N2 ## ## A7 ## .. .. .. E3 X1 .. R3 E1 O1
Z5 .. *8 N3 R4 S4 .. P1 C5 X4 S6 .. O3 M5 U2 J4 .. Y2 K5
.. Z9 B5 U1 .. D7 ## ## C8 O6 W5 O4 E4 W8 X5 *E O8 ## ..
.. O2 *U .. Y5 T3 .. .. .. ## ## .. T1 ## *C X6 ## .. T5

Legend:
*0: red-myco-036; red-myco; needs F,Y,G,S
*1: red-myco-001; red-myco; needs D,Q,B,O
*2: red-myco-002; red-myco; needs M,U,N,R
*3: red-myco-003; red-myco; needs N,R,Q,W
*4: red-myco-004; red-myco; needs I,P,U,T
*5: red-myco-005; red-myco; needs M,S,W,Z
*6: red-myco-006; red-myco; needs T,V,C,K
*7: red-myco-007; red-myco; needs P,I,W,T
*8: red-myco-008; red-myco; needs U,D,R,W
*9: red-myco-009; red-myco; needs S,J,F,I
*A: red-myco-010; red-myco; needs H,Z,J,G
*B: red-myco-011; red-myco; needs Z,G,A,C
*C: red-myco-012; red-myco; needs R,D,Z,P
*D: red-myco-013; red-myco; needs H,B,C,J
*E: red-myco-014; red-myco; needs G,U,X,F
*F: red-myco-015; red-myco; needs H,E,X,V
*G: red-myco-016; red-myco; needs W,G,A,M
*H: red-myco-017; red-myco; needs U,M,Z,X
*I: red-myco-018; red-myco; needs S,A,U,N
*J: red-myco-019; red-myco; needs Y,A,B,L
*K: red-myco-020; red-myco; needs I,A,B,W
*L: red-myco-021; red-myco; needs E,R,P,Q
*M: red-myco-022; red-myco; needs O,J,G,Q
*N: red-myco-023; red-myco; needs P,R,J,Z
*O: red-myco-024; red-myco; needs B,X,T,Z
*P: red-myco-025; red-myco; needs K,P,T,Q
*Q: red-myco-026; red-myco; needs Q,R,F,V
*R: red-myco-027; red-myco; needs E,U,K,I
*S: red-myco-028; red-myco; needs P,W,Z,T
*T: red-myco-029; red-myco; needs S,B,A,V
*U: red-myco-030; red-myco; needs E,G,I,P
*V: red-myco-031; red-myco; needs Z,P,J,R
*W: red-myco-032; red-myco; needs W,E,U,V
*X: red-myco-033; red-myco; needs N,C,D,Q
*Y: red-myco-034; red-myco; needs W,G,O,J
*Z: red-myco-035; red-myco; needs I,S,C,F
A1: cell-a-001; produces A; needs J,Z,Y
A2: cell-a-002; produces A; needs F,K,L
A3: cell-a-003; produces A; needs D,Z,C
