.. .. HA .. H5 ## ## X7 A6 R3 *R ## E3 I3 Q3 .. ## ## D6 Z5
L4 V3 H7 T4 ## I8 ## W1 *V ## PA ## *Z .. V1 ## .. S1 ## ##
.. *W J2 P2 H3 ## X9 F5 O2 G2 ## Y4 R1 ## D3 J6 H2 ## .. ##
.. .. ## ## B2 .. P1 E7 .. Q2 V7 *N Y6 O3 A5 E4 .. .. X8 ##
C4 ## T5 T9 W2 *4 *A J4 .. *L ## ## .. R5 X4 Z1 *1 QB V5 H4
.. ## *T T2 C8 *K ## ## .. *X TA T3 .. .. *B .. T8 Y2 J3 ..
E1 L5 D5 *9 .. ## ## .. ## *Y X3 *I *D ## .. *3 A4 ## *M C1
E5 ## Z2 K3 P3 I1 I5 R2 ## .. O5 ## P8 .. C5 .. D2 G6 X2 XB
QD K4 U1 P4 L1 .. G3 .. .. .. .. .. .. C3 .. Y8 *2 B5 .. VA
PB Z4 QA P9 ## ## E6 ## ## N5 ## S3 ## *U ## M3 H6 C6 *H V9
G1 ## A1 ## ## .. ## V8 *7 X6 ## .. .. .. ## V2 .. .. *G S4
.. ## .. P6 P5 .. .. ## G4 ## M2 .. I6 N2 ## X5 A3 O1 N4 B6
.. C7 ## ## *J M4 V6 A7 .. .. .. ## I9 ## .. T7 H8 N1 .. B4
QC ## .. L3 .. .. QE F2 .. E2 ## *O N8 ## *P I2 A2 XA ## ##
Y1 .. .. ## Z3 .. B1 F6 *5 .. Q5 Y3 F4 R4 X1 Q8 Q4 *F .. T6
.. ## ## .. D4 *0 E8 .. V4 .. ## C2 *6 .. *Q F7 ## Y7 F3 E9
Q1 .. *E *C I7 D1 *8 Q9 J5 J1 Y5 *S T1 Q7 .. ## H1 K1 .. O4
.. L2 G5 H9 .. I4 ## N6 M1 ## U2 .. .. .. N7 S2 .. F1 .. ##
.. .. .. O6 ## .. ## .. N3 W3 B3 .. K2 .. .. ## .. Q6 ## P7

Legend:
*0: red-myco-036; red-myco; needs B,T,D,H
*1: red-myco-001; red-myco; needs S,J,V,W
*2: red-myco-002; red-myco; needs R,P,X,O
*3: red-myco-003; red-myco; needs Z,N,U,T
*4: red-myco-004; red-myco; needs A,S,P,Q
*5: red-myco-005; red-myco; needs R,Y,I,Q
*6: red-myco-006; red-myco; needs Y,R,K,O
*7: red-myco-007; red-myco; needs A,B,N,X
*8: red-myco-008; red-myco; needs T,H,L,K
*9: red-myco-009; red-myco; needs F,B,V,Y
*A: red-myco-010; red-myco; needs M,Z,D,C
*B: red-myco-011; red-myco; needs W,V,L,G
*C: red-myco-012; red-myco; needs K,D,L,T
*D: red-myco-013; red-myco; needs E,J,B,Z
*E: red-myco-014; red-myco; needs W,K,X,I
*F: red-myco-015; red-myco; needs L,M,W,R
*G: red-myco-016; red-myco; needs Z,Y,G,J
*H: red-myco-017; red-myco; needs W,M,T,G
*I: red-myco-018; red-myco; needs G,E,H,R
*J: red-myco-019; red-myco; needs Z,U,H,X
*K: red-myco-020; red-myco; needs M,W,I,V
*L: red-myco-021; red-myco; needs O,B,L,T
*M: red-myco-022; red-myco; needs Q,M,S,G
*N: red-myco-023; red-myco; needs T,Q,D,F
*O: red-myco-024; red-myco; needs C,G,M,D
*P: red-myco-025; red-myco; needs C,P,T,R
*Q: red-myco-026; red-myco; needs C,R,J,X
*R: red-myco-027; red-myco; needs J,Y,M,F
*S: red-myco-028; red-myco; needs R,Y,Z,C
*T: red-myco-029; red-myco; needs N,E,R,D
*U: red-myco-030; red-myco; needs A,D,H,B
*V: red-myco-031; red-myco; needs U,N,P,R
*W: red-myco-032; red-myco; needs Q,M,K,G
*X: red-myco-033; red-myco; needs J,O,T,M
*Y: red-myco-034; red-myco; needs C,K,E,X
*Z: red-myco-035; red-myco; needs M,J,V,U
A1: cell-a-001; produces A; needs I,V,W
A2: cell-a-002; produces A; needs R,I,D
A3: cell-a-003; produces A; needs D,E,T
A4: cell-a-004; produces A; needs S,R,N
A5: cell-a-005; produces A; needs D,J,I
