P3 R1 .. *R *1 *Z .. .. .. U5 O2 ## ## Q3 I6 ## I5 V2 .. S7
J7 *5 ## P4 N2 U6 F4 H5 S4 ## .. .. ## T6 ## I3 K2 ## A1 Q1
P5 MB ## X6 E3 Y7 ## T7 D1 X4 *O G2 .. ## M1 O4 ## M6 C5 ..
## Y1 I8 .. *J .. R3 *B .. ## U2 *H W5 .. ## .. Z6 ## ## K3
.. ## JB T8 R5 D7 Y8 W1 B1 X2 V3 Z3 L1 .. .. .. *V *A .. Q4
G6 .. U7 ## ## N3 I7 ## *E .. .. B5 ## *4 *K O5 Y5 D8 K1 D2
S6 C4 .. T3 C8 G3 *7 ## Q2 *T .. L6 .. ## M3 Z2 U1 Q5 G5 ##
## F1 .. W7 D6 .. X1 .. *6 L4 *X E4 ## ## *M O3 Z4 *N ## ..
M7 ## U3 ## E1 JA *G ## MD K4 .. T5 L2 X5 ## Z5 M5 S3 I2 U9
## Y9 .. V1 M8 F6 ## F2 *W .. .. ## W4 *9 .. .. ## *8 L5 R2
D5 T4 .. .. ## B3 *U *a ## Z7 ## .. ## J8 ## ## C3 .. C7 X3
T1 ## YA ## ## X7 ## .. .. G8 .. *D ## P2 ## V5 E2 .. .. ..
*C D3 H4 *I ## .. .. *3 U8 S5 .. .. ## O6 S2 ## X8 P6 .. ..
N1 T2 F3 A3 A4 .. ## ## G4 M9 .. .. MA ## H3 C1 M4 .. M2 ##
F5 .. .. W2 W3 .. J3 ## .. *F W6 *2 .. ## B4 Q6 I1 ## J5 ##
Y4 XA ## .. J6 .. ## .. *Y .. P7 A2 YB H1 .. J1 B6 C6 ## L7
*0 .. .. .. ## U4 *S .. *P .. ## .. *L I4 P1 O1 Z1 S1 B2 ##
## G7 N4 A5 ## .. ## .. J9 .. R4 ## C2 .. X9 .. Y6 S8 ## *Q
## V4 D4 J2 Y2 ## J4 H2 .. ## L3 V6 ## .. MC G1 Y3 .. A6 ..

Legend:
*0: red-myco-036; red-myco; needs F,A,J,U
*1: red-myco-001; red-myco; needs S,X,J,Z
*2: red-myco-002; red-myco; needs L,J,M,G
*3: red-myco-003; red-myco; needs E,Y,X,H
*4: red-myco-004; red-myco; needs R,Y,B,W
*5: red-myco-005; red-myco; needs O,A,T,F
*6: red-myco-006; red-myco; needs X,Q,L,M
*7: red-myco-007; red-myco; needs Y,U,P,S
*8: red-myco-008; red-myco; needs S,C,H,G
*9: red-myco-009; red-myco; needs I,R,P,U
*A: red-myco-010; red-myco; needs G,I,W,L
*B: red-myco-011; red-myco; needs B,O,Q,E
*C: red-myco-012; red-myco; needs J,V,R,A
*D: red-myco-013; red-myco; needs F,H,M,W
*E: red-myco-014; red-myco; needs G,O,A,K
*F: red-myco-015; red-myco; needs M,D,C,W
*G: red-myco-016; red-myco; needs L,I,V,A
*H: red-myco-017; red-myco; needs P,Z,R,U
*I: red-myco-018; red-myco; needs G,Y,I,L
*J: red-myco-019; red-myco; needs T,Q,E,P
*K: red-myco-020; red-myco; needs O,A,W,V
*L: red-myco-021; red-myco; needs R,P,I,S
*M: red-myco-022; red-myco; needs G,E,P,Y
*N: red-myco-023; red-myco; needs K,V,I,R
*O: red-myco-024; red-myco; needs H,V,F,U
*P: red-myco-025; red-myco; needs A,Q,U,Z
*Q: red-myco-026; red-myco; needs A,H,R,N
*R: red-myco-027; red-myco; needs U,F,Q,A
*S: red-myco-028; red-myco; needs U,O,Z,P
*T: red-myco-029; red-myco; needs H,U,Y,S
*U: red-myco-030; red-myco; needs E,X,C,D
*V: red-myco-031; red-myco; needs A,D,K,U
*W: red-myco-032; red-myco; needs I,Z,N,P
*X: red-myco-033; red-myco; needs Z,I,S,L
*Y: red-myco-034; red-myco; needs K,J,Y,V
*Z: red-myco-035; red-myco; needs R,H,N,G
*a: red-myco-037; red-myco; needs G,W,E,L
A1: cell-a-001; produces A; needs Y,B,G
A2: cell-a-002; produces A; needs I,Q,W
A3: cell-a-003; produces A; needs F,T,G
A4: cell-a-004; produces A; needs D,E,V
A5: cell-a-005; produces A; needs T,Y,D
A6: cell-a-006; produces A; needs S,V,E
B1: cell-b-001; produces B; needs A,W,Y
B2: cell-b-002; produces B; needs W,U,Y
B3: cell-b-003; produces B; needs Q,P,X
B4: cell-b-004; produces B; needs G,U,E
B5: cell-b-005; produces B; needs I,J,Q
B6: cell-b-006; produces B; needs L,P,Y
C1: cell-c-001; produces C; needs Q,I,J
C2: cell-c-002; produces C; needs O,S,M
C3: cell-c-003; produces C; needs F,X,M
C4: cell-c-004; produces C; needs O,Q,X
C5: cell-c-005; produces C; needs X,K,U
C6: cell-c-006; produces C; needs X,G,K
C7: cell-c-007; produces C; needs N,E,V
C8: cell-c-008; produces C; needs V,Y,E
D1: cell-d-001; produces D; needs M,J,I
D2: cell-d-002; produces D; needs I,A,E
D3: cell-d-003; produces D; needs J,O,S
D4: cell-d-004; produces D; needs U,N,V
D5: cell-d-005; produces D; needs S,T,A
D6: cell-d-006; produces D; needs Y,W,M
D7: cell-d-007; produces D; needs K,P,W
D8: cell-d-008; produces D; needs W,K,M
