.. O5 I3 ## B3 .. ## *E U7 ## .. R2 .. IB K3 D8 ## D9 X1 E8
## O4 B1 M2 M6 D2 S5 *9 ## ## U4 ## NC G2 ## .. ## .. ## E4
## C2 .. X5 H3 G3 ## H5 .. *O .. ## ## .. N4 S3 P3 B8 ## ..
I4 T4 P1 C5 D3 T3 U8 J2 Z2 .. E3 H6 S7 C3 M3 I1 U1 Q3 ## ##
Q1 B6 ## F5 *2 S1 H7 .. T7 E1 N6 ## *b O7 ## .. .. .. .. *1
*V *Q ## *W *U W1 C4 N8 ## U2 ## ## .. T5 ## *P Y2 B4 ## R1
H1 Z9 *K Z1 .. *M .. B7 .. G1 M1 K7 V6 Z5 .. NA .. W2 ## I8
.. O6 O2 NB .. ## ## .. E6 .. .. E2 X4 ## X6 A3 .. A2 .. ..
F3 W7 .. Z3 ## I7 T1 *a V2 *N *I .. Y3 Y1 ## ## *H ## Y6 ##
G4 *S J1 ## ## *D ## .. P7 ## B2 .. V9 *8 .. C7 O3 G5 ## ..
*6 D4 .. ## O1 *Z ## .. .. I6 *G *R P5 W4 M8 ## ## ## C1 ##
*0 *5 Z7 F4 M7 S6 D1 *Y *T H2 Z8 .. D7 .. .. W6 ## .. ## A1
P4 ## X7 D5 K1 .. ## X2 ## .. ## .. .. Q2 ## ## ## ## H4 BC
## F1 ## *C S2 H8 Q4 K5 V1 ## ## K2 .. N5 I9 N2 Z4 ## ## N3
*F .. P6 Z6 J3 .. .. Y5 A5 .. *B .. .. K8 ## M4 X3 U3 L3 ..
.. S4 E5 .. V8 .. L1 D6 P2 .. ## ## ## ## *7 E7 ZA V3 C6 ##
B9 .. ## ## .. U5 .. V5 IA U6 .. ## ## N9 *J .. .. F2 I5 ..
.. .. Q5 T6 A6 ## V7 B5 .. L2 *4 K4 K6 W5 ## .. Y4 W8 BB M5
.. *3 N1 T2 Q6 .. *X N7 W3 .. I2 .. *A BA T8 .. V4 A4 *L ##

Legend:
*0: red-myco-036; red-myco; needs O,V,U,G
*1: red-myco-001; red-myco; needs O,Y,A,P
*2: red-myco-002; red-myco; needs R,P,I,V
*3: red-myco-003; red-myco; needs K,V,F,E
*4: red-myco-004; red-myco; needs R,J,U,Q
*5: red-myco-005; red-myco; needs F,A,U,P
*6: red-myco-006; red-myco; needs V,B,C,E
*7: red-myco-007; red-myco; needs H,X,J,M
*8: red-myco-008; red-myco; needs Z,O,F,T
*9: red-myco-009; red-myco; needs N,C,T,E
*A: red-myco-010; red-myco; needs O,E,Q,G
*B: red-myco-011; red-myco; needs A,W,O,G
*C: red-myco-012; red-myco; needs Y,E,N,Z
*D: red-myco-013; red-myco; needs Y,F,N,I
*E: red-myco-014; red-myco; needs V,R,A,G
*F: red-myco-015; red-myco; needs E,M,N,T
*G: red-myco-016; red-myco; needs J,G,Z,U
*H: red-myco-017; red-myco; needs C,R,N,Z
*I: red-myco-018; red-myco; needs L,U,R,N
*J: red-myco-019; red-myco; needs I,W,S,N
*K: red-myco-020; red-myco; needs R,A,N,H
*L: red-myco-021; red-myco; needs I,X,P,A
*M: red-myco-022; red-myco; needs V,Z,D,N
*N: red-myco-023; red-myco; needs M,T,C,D
*O: red-myco-024; red-myco; needs C,M,X,V
*P: red-myco-025; red-myco; needs K,W,G,S
*Q: red-myco-026; red-myco; needs N,P,L,I
*R: red-myco-027; red-myco; needs U,Y,G,O
*S: red-myco-028; red-myco; needs X,B,Y,Z
*T: red-myco-029; red-myco; needs B,N,P,U
*U: red-myco-030; red-myco; needs R,S,J,C
*V: red-myco-031; red-myco; needs H,R,C,K
*W: red-myco-032; red-myco; needs U,K,M,L
*X: red-myco-033; red-myco; needs V,G,U,E
*Y: red-myco-034; red-myco; needs N,Z,C,H
*Z: red-myco-035; red-myco; needs L,U,X,S
*a: red-myco-037; red-myco; needs N,C,B,Q
*b: red-myco-038; red-myco; needs E,M,Z,C
A1: cell-a-001; produces A; needs M,D,J
A2: cell-a-002; produces A; needs U,R,N
A3: cell-a-003; produces A; needs I,V,F
