U2 U3 *6 .. D4 V1 ## .. KE Q3 Y1 ## Z7 KC S3 W7 F4 ## K8 ..
## C5 G4 E6 Y3 ## ## ## KB G5 .. .. *I U4 .. I8 ## D3 E3 K3
## *Q T7 V3 ## P1 .. .. V2 B1 R8 T3 *N W4 .. I2 ## D5 *T ..
T2 C1 .. G3 Q4 U1 *F ## .. ## KD K2 P4 ## M3 Q6 S2 ## *2 J5
## K4 *U K7 *P .. *M .. .. .. KA ## ## .. .. ## .. ## *X ##
.. .. *9 O9 S4 G6 *E X5 *G C2 S1 ## Y9 .. TA X3 ## F6 Z2 ##
E5 ## K1 R7 H2 .. D7 N4 D6 .. P2 D2 ## ## B8 *S T6 Y6 E4 ..
## .. .. ## Y8 ## .. ## .. A5 .. I1 .. P3 *b .. .. M1 .. *7
*J Z6 J1 *a .. ## .. ## F7 H3 ## Y5 H5 X4 ## .. ## *3 .. O1
X2 ## ## I9 .. G7 ## .. ## Q5 *O ## ## .. ## R6 I7 ## U7 T5
Q9 W5 ## V5 I4 .. Z5 E2 ## ## *1 Q1 B3 ## .. ## B5 .. U6 ..
B6 A3 .. .. S7 ## H4 ## YA N2 *V *L I3 ## ## H6 L4 C3 L2 *8
E1 ## D1 N1 ## A1 I6 A6 *R Y4 V4 S5 K9 T8 ## P7 *B .. .. V6
U5 *5 J4 C8 ## .. .. O4 B2 ## W1 .. K6 .. W6 .. F2 P6 O8 ##
O2 *Z Z3 .. A4 G8 M2 ## ## L1 Q2 *W R5 H1 *0 ## .. K5 ## ##
.. ## Q8 N3 Q7 F1 W9 *Y X1 Y2 R3 O6 I5 .. F3 W8 ## R2 .. ..
.. .. T1 ## .. R1 ## S6 .. J3 *4 J2 *C .. F5 ## .. .. Y7 QB
Z4 .. ## T9 C7 L3 R4 ## Z1 .. .. B4 *K ## *D T4 O5 O7 W2 QA
.. *A .. O3 G1 P5 *H .. ## .. ## W3 B7 C6 ## A2 L5 ## C4 G2

Legend:
*0: red-myco-036; red-myco; needs T,G,L,U
*1: red-myco-001; red-myco; needs H,X,F,B
*2: red-myco-002; red-myco; needs K,G,W,U
*3: red-myco-003; red-myco; needs V,A,X,U
*4: red-myco-004; red-myco; needs G,O,Q,S
*5: red-myco-005; red-myco; needs I,X,J,R
*6: red-myco-006; red-myco; needs H,N,M,Z
*7: red-myco-007; red-myco; needs S,Z,H,M
*8: red-myco-008; red-myco; needs A,Z,T,E
*9: red-myco-009; red-myco; needs D,N,Z,O
*A: red-myco-010; red-myco; needs X,A,D,I
*B: red-myco-011; red-myco; needs P,A,Q,U
*C: red-myco-012; red-myco; needs I,F,E,Y
*D: red-myco-013; red-myco; needs Z,M,B,N
*E: red-myco-014; red-myco; needs X,G,E,L
*F: red-myco-015; red-myco; needs J,H,Y,O
*G: red-myco-016; red-myco; needs C,L,N,E
*H: red-myco-017; red-myco; needs L,J,W,E
*I: red-myco-018; red-myco; needs Z,O,G,F
*J: red-myco-019; red-myco; needs E,N,A,Z
*K: red-myco-020; red-myco; needs A,W,H,P
*L: red-myco-021; red-myco; needs W,P,N,S
*M: red-myco-022; red-myco; needs V,K,J,H
*N: red-myco-023; red-myco; needs Y,M,Z,S
*O: red-myco-024; red-myco; needs I,Y,W,T
*P: red-myco-025; red-myco; needs L,G,N,I
*Q: red-myco-026; red-myco; needs Y,T,A,X
*R: red-myco-027; red-myco; needs W,D,A,R
*S: red-myco-028; red-myco; needs P,W,A,J
*T: red-myco-029; red-myco; needs P,F,X,Z
*U: red-myco-030; red-myco; needs J,T,S,G
*V: red-myco-031; red-myco; needs Q,C,P,B
*W: red-myco-032; red-myco; needs E,N,Y,W
*X: red-myco-033; red-myco; needs V,N,E,Q
*Y: red-myco-034; red-myco; needs O,N,W,M
*Z: red-myco-035; red-myco; needs Q,T,G,U
*a: red-myco-037; red-myco; needs C,D,Z,V
*b: red-myco-038; red-myco; needs A,G,C,T
A1: cell-a-001; produces A; needs W,I,H
A2: cell-a-002; produces A; needs B,E,G
A3: cell-a-003; produces A; needs Y,C,J
