L3 A1 N7 E3 Y4 *c .. R1 F3 ## ## .. ## D4 .. U7 *W G5 Q2 I1
K2 Y2 O6 ## L4 N6 ## X9 *N ## .. *2 T2 X1 .. D2 O7 .. B5 W1
U9 .. I2 *P .. .. G6 .. O1 M2 L7 B6 J1 .. Z4 .. *4 ## J4 ##
M3 ## ## ## W5 .. Z7 P2 R4 K1 L1 Y3 X7 ## Y1 L6 L5 D1 V8 O4
C5 C1 R2 ## Q9 ## P8 ## I6 I4 ## F7 Q6 C4 ## ## W2 .. ## G9
.. A8 ## ## .. S6 V1 G4 .. D6 ## .. Y5 .. .. E2 ## F1 B2 ##
I5 V2 *R .. S2 Z6 T8 X4 ## G1 ## .. J5 A4 E1 ## ## ## X5 *1
G2 *X V6 ## Z8 E7 ## .. .. F9 OB .. ## .. F5 G8 ## M7 *a ..
Z2 OC ## B3 .. E5 U1 A5 A2 ## D7 ## *J T4 L2 .. ## P9 P1 ..
S1 .. ## ## C6 U4 O8 *G Q1 A6 .. .. R6 ## *8 *U A7 F4 B1 ..
## ## Z3 ## .. ## N2 V7 *Y Q5 .. O3 N4 X8 P3 *K .. .. H5 ##
.. .. ## GA ## U5 .. ## .. .. .. ## .. U8 .. M9 R7 *B .. H3
.. .. I3 .. N5 S4 ## *S ## O9 *6 ## V4 V5 *b F8 XB *H UA P4
## .. *Q X3 E6 *O .. ## M8 P6 F2 Y6 .. ## ## V3 R5 K3 T5 O2
## ## W6 .. ## W4 XA K4 ## K6 .. OA R3 .. H1 T1 D5 N3 ## ..
.. .. .. *5 O5 Z1 *L ## Q8 M5 *M .. .. .. C3 P5 N1 ## Q3 U3
*Z T6 H2 *3 A3 K5 .. G7 ## B4 ## ## .. Q4 M6 .. K7 ## ## ##
## ## P7 *7 .. M4 .. L8 ## *D X6 *C ## J2 H4 *F .. *I *d *T
.. S5 .. T7 .. ## C2 *V ## Z5 .. .. *A .. X2 S3 ## .. J3 ##
T3 *E *9 G3 U6 .. ## E4 M1 ## Q7 U2 J6 F6 W3 D3 .. ## *0 ..

Legend:
*0: red-myco-036; red-myco; needs Q,J,V,R
*1: red-myco-001; red-myco; needs E,S,W,Q
*2: red-myco-002; red-myco; needs T,M,O,G
*3: red-myco-003; red-myco; needs C,T,F,L
*4: red-myco-004; red-myco; needs Q,J,S,T
*5: red-myco-005; red-myco; needs D,C,H,L
*6: red-myco-006; red-myco; needs F,E,C,O
*7: red-myco-007; red-myco; needs O,B,A,V
*8: red-myco-008; red-myco; needs L,Y,Z,Q
*9: red-myco-009; red-myco; needs Z,X,Y,E
*A: red-myco-010; red-myco; needs V,X,L,H
*B: red-myco-011; red-myco; needs K,H,V,W
*C: red-myco-012; red-myco; needs T,L,V,H
*D: red-myco-013; red-myco; needs D,C,X,M
*E: red-myco-014; red-myco; needs D,K,N,Y
*F: red-myco-015; red-myco; needs C,G,H,M
*G: red-myco-016; red-myco; needs O,M,Z,I
*H: red-myco-017; red-myco; needs O,M,D,S
*I: red-myco-018; red-myco; needs H,V,S,T
*J: red-myco-019; red-myco; needs I,L,U,S
*K: red-myco-020; red-myco; needs B,D,M,N
*L: red-myco-021; red-myco; needs K,S,X,A
*M: red-myco-022; red-myco; needs M,H,W,S
*N: red-myco-023; red-myco; needs N,L,Q,E
*O: red-myco-024; red-myco; needs G,L,T,J
*P: red-myco-025; red-myco; needs Q,U,Y,O
*Q: red-myco-026; red-myco; needs Q,G,B,V
*R: red-myco-027; red-myco; needs M,X,N,C
*S: red-myco-028; red-myco; needs N,A,P,M
*T: red-myco-029; red-myco; needs C,R,V,H
*U: red-myco-030; red-myco; needs G,F,S,I
*V: red-myco-031; red-myco; needs T,Q,D,Y
*W: red-myco-032; red-myco; needs B,G,V,O
*X: red-myco-033; red-myco; needs M,Z,F,Y
*Y: red-myco-034; red-myco; needs U,J,T,N
*Z: red-myco-035; red-myco; needs J,Z,T,M
*a: red-myco-037; red-myco; needs K,R,H,N
*b: red-myco-038; red-myco; needs D,Z,Q,I
*c: red-myco-039; red-myco; needs F,O,D,X
*d: red-myco-040; red-myco; needs L,P,B,R
A1: cell-a-001; produces A; needs E,J,O
A2: cell-a-002; produces A; needs W,X,S
A3: cell-a-003; produces A; needs O,Q,D
A4: cell-a-004; produces A; needs D,J,E
A5: cell-a-005; produces A; needs E,T,S
A6: cell-a-006; produces A; needs U,Y,O
A7: cell-a-007; produces A; needs Z,C,U
A8: cell-a-008; produces A; needs R,T,V
B1: cell-b-001; produces B; needs R,F,C
B2: cell-b-002; produces B; needs D,C,R
B3: cell-b-003; produces B; needs O,S,F
B4: cell-b-004; produces B; needs M,Z,P
B5: cell-b-005; produces B; needs Q,C,L
B6: cell-b-006; produces B; needs G,Q,X
C1: cell-c-001; produces C; needs U,G,W
C2: cell-c-002; produces C; needs B,Z,D
C3: cell-c-003; produces C; needs V,T,Q
C4: cell-c-004; produces C; needs V,N,G
C5: cell-c-005; produces C; needs A,U,M
C6: cell-c-006; produces C; needs F,D,J
D1: cell-d-001; produces D; needs R,B,E
D2: cell-d-002; produces D; needs P,O,X
D3: cell-d-003; produces D; needs Q,M,I
D4: cell-d-004; produces D; needs I,Q,P
D5: cell-d-005; produces D; needs X,S,Y
D6: cell-d-006; produces D; needs O,U,R
D7: cell-d-007; produces D; needs T,R,K
E1: cell-e-001; produces E; needs O,A,Q
E2: cell-e-002; produces E; needs Q,M,D
E3: cell-e-003; produces E; needs V,S,K
E4: cell-e-004; produces E; needs H,V,M
E5: cell-e-005; produces E; needs T,Q,L
E6: cell-e-006; produces E; needs A,S,N
E7: cell-e-007; produces E; needs D,X,C
F1: cell-f-001; produces F; needs B,M,R
F2: cell-f-002; produces F; needs X,A,L
F3: cell-f-003; produces F; needs O,X,R
F4: cell-f-004; produces F; needs Y,O,W
F5: cell-f-005; produces F; needs G,N,M
F6: cell-f-006; produces F; needs H,W,K
F7: cell-f-007; produces F; needs M,X,Z
F8: cell-f-008; produces F; needs P,R,J
F9: cell-f-009; produces F; needs J,C,U
G1: cell-g-001; produces G; needs C,P,U
G2: cell-g-002; produces G; needs M,U,H
G3: cell-g-003; produces G; needs M,F,V
G4: cell-g-004; produces G; needs M,V,B
G5: cell-g-005; produces G; needs A,Y,T
G6: cell-g-006; produces G; needs T,P,O
G7: cell-g-007; produces G; needs P,K,R
G8: cell-g-008; produces G; needs X,B,F
G9: cell-g-009; produces G; needs X,E,W
GA: cell-g-010; produces G; needs X,F,M
H1: cell-h-001; produces H; needs T,J,A
H2: cell-h-002; produces H; needs C,X,E
H3: cell-h-003; produces H; needs U,W,G
H4: cell-h-004; produces H; needs U,Z,E
H5: cell-h-005; produces H; needs K,F,V
I1: cell-i-001; produces I; needs Y,N,K
I2: cell-i-002; produces I; needs Q,L,Z
