*W GA F3 .. J8 *E ## E1 E4 G7 W1 *F L1 X3 Q6 ## ## .. F7 ##
X6 ## *Z QA D1 ## .. U1 TD P1 ## U3 *T *N *5 .. H9 ## ## O9
.. O8 K2 .. Y9 V1 ## .. GC Z1 ## V3 ## ## Y2 R4 J1 .. *G ..
Y5 S5 *R I2 ## Q8 ## .. .. ## ## ## .. .. .. R7 ## H8 C5 P2
## .. B2 *S U5 C4 X7 C1 A1 N4 ## ## ## ## E8 I6 M5 C8 ## J2
TA E9 R2 W2 ## .. M7 ## ## Q7 ## O2 *b G6 *Q M1 *I .. S1 ..
.. ## N2 ## D2 T6 *K R6 G4 *9 *U ## P4 *7 ## ## D4 .. F5 ##
GD .. J3 ## Q9 R1 TB ## K5 .. N1 ## X8 ## .. N3 *J G9 *1 H5
C3 *6 B3 Z3 .. .. ## .. ## D3 *P V5 J5 E6 E7 .. ## X1 V9 *X
## .. .. N5 W4 .. N7 V7 ## ## V8 V6 U9 F4 .. G1 G5 X2 .. ..
.. .. *H .. G3 TC *8 I4 I1 F6 *0 ## U2 .. G2 S2 .. B5 L5 *3
.. M4 N8 ## GB ## *a H3 D6 I5 .. E3 .. VB T1 U7 Z5 Y7 .. ..
## ## Y3 *M Y8 R5 K1 .. .. .. ## .. P5 .. K7 ## F2 ## N6 QB
*V ## K4 ## E2 ## ## .. P6 O7 .. Z2 O5 .. .. S6 OA T9 .. C7
.. U4 X4 VA ## Q4 OB ## .. V2 *d P3 ## Y4 ## ## ## .. ## S4
H1 ## .. L3 .. M2 .. .. B1 M6 K6 ## T8 Z4 .. ## .. M3 .. ..
U6 W3 *c Y1 A3 Q2 K3 B4 R8 .. .. ## ## *C .. .. ## O1 T3 O6
D5 L2 ## *4 ## .. T7 L6 H7 T2 C2 .. Q5 ## A2 H6 S3 ## J7 Q1
I3 C6 *A *Y ## J6 ## U8 T4 Y6 V4 ## X5 ## O3 F1 .. Q3 L4 *D
G8 *O T5 .. .. *L R3 H4 ## .. .. H2 ## *2 E5 O4 *B ## .. J4

Legend:
*0: red-myco-036; red-myco; needs Q,V,D,E
*1: red-myco-001; red-myco; needs Z,O,M,N
*2: red-myco-002; red-myco; needs E,J,F,M
*3: red-myco-003; red-myco; needs K,M,G,N
*4: red-myco-004; red-myco; needs B,E,F,C
*5: red-myco-005; red-myco; needs Q,A,E,G
*6: red-myco-006; red-myco; needs G,C,R,Q
*7: red-myco-007; red-myco; needs X,Z,S,G
*8: red-myco-008; red-myco; needs S,J,V,H
*9: red-myco-009; red-myco; needs A,V,U,W
*A: red-myco-010; red-myco; needs V,X,L,E
*B: red-myco-011; red-myco; needs U,D,X,R
*C: red-myco-012; red-myco; needs L,B,S,X
*D: red-myco-013; red-myco; needs F,D,W,Z
*E: red-myco-014; red-myco; needs A,I,X,E
*F: red-myco-015; red-myco; needs I,M,D,X
*G: red-myco-016; red-myco; needs G,N,X,F
*H: red-myco-017; red-myco; needs C,U,L,B
*I: red-myco-018; red-myco; needs S,F,N,C
*J: red-myco-019; red-myco; needs X,P,H,W
*K: red-myco-020; red-myco; needs J,Y,X,L
*L: red-myco-021; red-myco; needs Z,X,I,K
*M: red-myco-022; red-myco; needs C,K,U,H
*N: red-myco-023; red-myco; needs O,F,I,Q
*O: red-myco-024; red-myco; needs A,M,N,U
*P: red-myco-025; red-myco; needs F,Z,T,D
*Q: red-myco-026; red-myco; needs P,M,G,B
*R: red-myco-027; red-myco; needs G,H,K,P
*S: red-myco-028; red-myco; needs T,U,R,Q
*T: red-myco-029; red-myco; needs R,Y,U,J
*U: red-myco-030; red-myco; needs U,S,X,I
*V: red-myco-031; red-myco; needs D,R,B,F
*W: red-myco-032; red-myco; needs U,D,P,Y
*X: red-myco-033; red-myco; needs R,P,J,D
*Y: red-myco-034; red-myco; needs P,D,Z,J
*Z: red-myco-035; red-myco; needs Y,G,D,S
*a: red-myco-037; red-myco; needs J,X,K,S
*b: red-myco-038; red-myco; needs L,G,Q,J
*c: red-myco-039; red-myco; needs W,P,R,A
*d: red-myco-040; red-myco; needs D,P,K,I
A1: cell-a-001; produces A; needs D,U,W
A2: cell-a-002; produces A; needs B,R,Z
A3: cell-a-003; produces A; needs V,U,J
B1: cell-b-001; produces B; needs N,V,M
B2: cell-b-002; produces B; needs N,T,C
B3: cell-b-003; produces B; needs Q,R,V
B4: cell-b-004; produces B; needs O,G,X
B5: cell-b-005; produces B; needs U,A,G
C1: cell-c-001; produces C; needs Z,M,J
C2: cell-c-002; produces C; needs M,N,F
C3: cell-c-003; produces C; needs I,N,G
C4: cell-c-004; produces C; needs P,E,R
C5: cell-c-005; produces C; needs P,O,X
C6: cell-c-006; produces C; needs K,W,O
C7: cell-c-007; produces C; needs Y,D,G
C8: cell-c-008; produces C; needs E,G,U
D1: cell-d-001; produces D; needs L,U,O
D2: cell-d-002; produces D; needs H,X,B
D3: cell-d-003; produces D; needs P,G,E
D4: cell-d-004; produces D; needs W,A,C
D5: cell-d-005; produces D; needs R,W,Y
D6: cell-d-006; produces D; needs F,J,U
E1: cell-e-001; produces E; needs T,V,G
E2: cell-e-002; produces E; needs N,A,C
E3: cell-e-003; produces E; needs C,M,P
E4: cell-e-004; produces E; needs Q,T,N
E5: cell-e-005; produces E; needs G,S,D
E6: cell-e-006; produces E; needs I,K,N
E7: cell-e-007; produces E; needs Y,Z,G
E8: cell-e-008; produces E; needs Z,X,V
E9: cell-e-009; produces E; needs U,C,A
F1: cell-f-001; produces F; needs S,J,O
F2: cell-f-002; produces F; needs E,M,I
F3: cell-f-003; produces F; needs S,T,X
F4: cell-f-004; produces F; needs W,V,J
F5: cell-f-005; produces F; needs U,D,A
F6: cell-f-006; produces F; needs X,G,O
F7: cell-f-007; produces F; needs I,J,X
G1: cell-g-001; produces G; needs T,V,O
G2: cell-g-002; produces G; needs H,E,V
G3: cell-g-003; produces G; needs X,I,R
G4: cell-g-004; produces G; needs B,Y,K
G5: cell-g-005; produces G; needs D,E,H
G6: cell-g-006; produces G; needs B,J,O
G7: cell-g-007; produces G; needs K,H,O
G8: cell-g-008; produces G; needs K,T,Q
G9: cell-g-009; produces G; needs Q,Y,B
GA: cell-g-010; produces G; needs P,Y,V
GB: cell-g-011; produces G; needs Q,Y,E
GC: cell-g-012; produces G; needs F,R,X
GD: cell-g-013; produces G; needs C,X,E
H1: cell-h-001; produces H; needs Q,N,M
H2: cell-h-002; produces H; needs Z,O,J
H3: cell-h-003; produces H; needs R,U,B
H4: cell-h-004; produces H; needs F,O,U
H5: cell-h-005; produces H; needs O,G,L
H6: cell-h-006; produces H; needs G,O,A
H7: cell-h-007; produces H; needs T,F,D
H8: cell-h-008; produces H; needs D,T,X
H9: cell-h-009; produces H; needs T,N,G
I1: cell-i-001; produces I; needs M,G,N
I2: cell-i-002; produces I; needs U,C,V
I3: cell-i-003; produces I; needs E,C,N
I4: cell-i-004; produces I; needs G,X,D
I5: cell-i-005; produces I; needs M,E,J
I6: cell-i-006; produces I; needs N,T,R
J1: cell-j-001; produces J; needs F,N,S
J2: cell-j-002; produces J; needs V,Q,X
