Puzzle solver summary
  playable only: True
  won: False
  accepted near win: False
  need attempt: 0
  candidate index: -1
  candidates evaluated in winning attempt: 0
  ticks per candidate: 0
  win duration ticks: 3
  required alive ticks at end: 0
  final sustained ticks: 0
  stable at end: False
  glowing cells: 0/123
  swaps: 0
  reactions: 0
  active cells in last window: 0
  touching pairs: 182
  strain penalty: -0
  final score: 0

Cells
  cell-r40: produces R40; needs C, R94, R103
  cell-c: produces C; needs R103, R40, R94
  cell-r94: produces R94; needs R90, C, R79
  cell-r79: produces R79; needs N, R94, R90
  cell-r90: produces R90; needs N, R60, R79
  cell-n: produces N; needs R60, R90, R77
  cell-r60: produces R60; needs N, U, R77
  cell-r77: produces R77; needs U, R99, R60
  cell-u: produces U; needs R99, Q, R77
  cell-r99: produces R99; needs Q, U, R108
  cell-q: produces Q; needs R59, R108, R99
  cell-r108: produces R108; needs R59, Q, R33
  cell-r59: produces R59; needs R107, R33, R108
  cell-r33: produces R33; needs R59, R107, R93
  cell-r107: produces R107; needs R120, R93, R33
  cell-r93: produces R93; needs R107, R88, R120
  cell-r120: produces R120; needs R93, R121, R88
  cell-r88: produces R88; needs R120, R121, R119
  cell-r121: produces R121; needs R45, R88, R119
  cell-r119: produces R119; needs R45, T, R121
  cell-r45: produces R45; needs R119, T, R34
  cell-t: produces T; needs Y, R45, R34
  cell-r34: produces R34; needs Y, R116, T
  cell-y: produces Y; needs R34, R44, R116
  cell-r116: produces R116; needs R57, R44, Y
  cell-r44: produces R44; needs R116, R52, R57
  cell-r57: produces R57; needs R44, R50, R52
  cell-r52: produces R52; needs R70, R50, R57
  cell-r50: produces R50; needs R70, R52, R91
  cell-r70: produces R70; needs R67, R91, R50
  cell-r91: produces R91; needs R70, R49, R67
  cell-r67: produces R67; needs R109, R49, R91
  cell-r49: produces R49; needs R67, R109, R81
  cell-r109: produces R109; needs R51, R81, R49
  cell-r81: produces R81; needs R109, R69, R51
  cell-r51: produces R51; needs R81, R69, R89
  cell-r69: produces R69; needs R51, R89, R80
  cell-r89: produces R89; needs R82, R69, R80
  cell-r80: produces R80; needs R89, D, R82
  cell-r82: produces R82; needs R47, D, R80
  cell-d: produces D; needs R82, V, R47
  cell-r47: produces R47; needs P, D, V
