Puzzle solver summary
  playable only: True
  won: False
  accepted near win: False
  need attempt: 0
  candidate index: -1
  candidates evaluated in winning attempt: 0
  ticks per candidate: 0
  win duration ticks: 3
  required alive ticks at end: 0
  final sustained ticks: 0
  stable at end: False
  glowing cells: 0/135
  swaps: 0
  reactions: 0
  active cells in last window: 0
  touching pairs: 200
  strain penalty: -0
  final score: 0

Cells
  cell-r132: produces R132; needs R87, P, R36
  cell-r36: produces R36; needs R87, P, R132
  cell-r87: produces R87; needs R36, R62, R104
  cell-r62: produces R62; needs R87, R104, R121
  cell-r104: produces R104; needs R62, R35, R121
  cell-r121: produces R121; needs R49, R104, R35
  cell-r35: produces R35; needs R121, R60, R49
  cell-r49: produces R49; needs R60, R35, R114
  cell-r60: produces R60; needs R114, R49, W
  cell-r114: produces R114; needs W, R123, R60
  cell-w: produces W; needs R114, R123, R47
  cell-r123: produces R123; needs O, R47, W
  cell-r47: produces R47; needs O, R123, E
  cell-o: produces O; needs R90, R47, E
  cell-e: produces E; needs R90, R80, O
  cell-r90: produces R90; needs R80, E, R56
  cell-r80: produces R80; needs R58, R90, R56
  cell-r56: produces R56; needs R97, R80, R58
  cell-r58: produces R58; needs R56, L, R97
  cell-r97: produces R97; needs R58, L, M
  cell-l: produces L; needs R97, R66, M
  cell-m: produces M; needs R66, L, R30
  cell-r66: produces R66; needs M, R27, R30
  cell-r30: produces R30; needs R66, R95, R27
  cell-r27: produces R27; needs R95, R103, R30
  cell-r95: produces R95; needs R27, R103, R89
  cell-r103: produces R103; needs R133, R89, R95
  cell-r89: produces R89; needs R133, R103, R100
  cell-r133: produces R133; needs R45, R100, R89
  cell-r100: produces R100; needs R45, G, R133
  cell-r45: produces R45; needs R106, G, R100
  cell-g: produces G; needs R45, R59, R106
  cell-r106: produces R106; needs R59, G, R124
  cell-r59: produces R59; needs R124, R106, R38
  cell-r124: produces R124; needs R28, R38, R59
  cell-r38: produces R38; needs R28, R75, R124
  cell-r28: produces R28; needs R40, R38, R75
  cell-r75: produces R75; needs R40, R28, R108
  cell-r40: produces R40; needs R75, R126, R108
  cell-r108: produces R108; needs V, R126, R40
  cell-r126: produces R126; needs R108, V, R128
  cell-v: produces V; needs R128, R81, R126
  cell-r128: produces R128; needs R81, V, R54
  cell-r81: produces R81; needs R86, R54, R128
