Puzzle solver summary
  playable only: True
  won: False
  accepted near win: False
  need attempt: 0
  candidate index: -1
  candidates evaluated in winning attempt: 0
  ticks per candidate: 0
  win duration ticks: 3
  required alive ticks at end: 0
  final sustained ticks: 0
  stable at end: False
  glowing cells: 0/28
  swaps: 0
  reactions: 0
  active cells in last window: 0
  touching pairs: 45
  strain penalty: -0
  final score: 0

Cells
  cell-g-001: produces G; needs E, B, S
  cell-b-001: produces B; needs G, K, E
  cell-k-001: produces K; needs B, J, G
  cell-j-001: produces J; needs K, M, B
  cell-m-001: produces M; needs J, D, K
  red-myco-001: red myco; needs H, E, L, D
  cell-h-001: produces H; needs E, C, M
  cell-c-001: produces C; needs H, D, T
  cell-c-002: produces C; needs T, H, G
  cell-t-001: produces T; needs C, D, B
  cell-d-001: produces D; needs T, E, C
  red-myco-002: red myco; needs D, B, R, E
  cell-l-001: produces L; needs B, A, D
  cell-a-001: produces A; needs L, P, D
  cell-p-001: produces P; needs A, I, L
  cell-i-001: produces I; needs P, Q, A
  cell-q-001: produces Q; needs I, J, P
  red-myco-003: red myco; needs E, R, G, J
  cell-r-001: produces R; needs E, J, Q
  cell-j-002: produces J; needs R, H, O
  cell-h-002: produces H; needs J, O, R
  cell-o-001: produces O; needs H, F, J
  cell-f-001: produces F; needs O, S, H
  red-myco-004: red myco; needs D, B, J, S
  cell-n-001: produces N; needs S, I, F
  cell-i-002: produces I; needs N, S, D
  cell-s-001: produces S; needs I, E, N
  cell-e-001: produces E; needs S, G, I

