Puzzle solver summary
  playable only: True
  won: False
  accepted near win: False
  need attempt: 0
  candidate index: -1
  candidates evaluated in winning attempt: 0
  ticks per candidate: 0
  win duration ticks: 3
  required alive ticks at end: 0
  final sustained ticks: 0
  stable at end: False
  glowing cells: 0/158
  swaps: 0
  reactions: 0
  active cells in last window: 0
  touching pairs: 235
  strain penalty: -0
  final score: 0

Cells
  cell-a-001: produces A; needs P, E, T
  cell-e-001: produces E; needs A, L, P
  cell-l-001: produces L; needs E, D, A
  cell-d-001: produces D; needs L, E, V
  cell-l-002: produces L; needs D, X, C
  red-myco-001: red myco; needs X, Y, V, C
  cell-l-003: produces L; needs C, M, B
  cell-m-001: produces M; needs L, X, U
  cell-m-002: produces M; needs U, L, H
  cell-u-001: produces U; needs M, L, K
  cell-l-004: produces L; needs U, K, M
  red-myco-002: red myco; needs K, E, L, W
  cell-g-001: produces G; needs W, I, L
  cell-i-001: produces I; needs G, L, A
  cell-g-002: produces G; needs I, A, L
  cell-a-002: produces A; needs G, L, I
  cell-l-005: produces L; needs A, P, G
  red-myco-003: red myco; needs P, S, Y, H
  cell-c-001: produces C; needs P, U, L
  cell-u-002: produces U; needs C, Z, Y
  cell-z-001: produces Z; needs U, E, C
  cell-e-002: produces E; needs Z, N, U
  cell-n-001: produces N; needs E, S, Z
  red-myco-004: red myco; needs S, H, I, F
  cell-r-001: produces R; needs S, X, N
  cell-x-001: produces X; needs R, O, F
  cell-o-001: produces O; needs X, G, R
  cell-g-003: produces G; needs O, U, X
  cell-u-003: produces U; needs G, I, O
  red-myco-005: red myco; needs U, D, Z, I
  cell-k-001: produces K; needs U, G, V
  cell-g-004: produces G; needs K, V, I
  cell-v-001: produces V; needs G, E, K
  cell-e-003: produces E; needs V, M, G
  cell-m-003: produces M; needs E, J, V
  red-myco-006: red myco; needs D, J, C, N
  cell-y-001: produces Y; needs C, J, M
  cell-j-001: produces J; needs Y, T, N
  cell-t-001: produces T; needs J, M, Y
  cell-m-004: produces M; needs T, J, K
  cell-t-002: produces T; needs M, E, P
  red-myco-007: red myco; needs M, C, K, N
  cell-e-004: produces E; needs C, I, T
  cell-i-002: produces I; needs E, T, C
  cell-t-003: produces T; needs I, K, E
  cell-k-002: produces K; needs T, G, I
  cell-g-005: produces G; needs K, H, T
  red-myco-008: red myco; needs J, E, A, H
  cell-w-001: produces W; needs J, Y, G
  cell-y-002: produces Y; needs W, E, L
  cell-e-005: produces E; needs Y, L, W
  cell-l-006: produces L; needs E, F, Y
  cell-f-001: produces F; needs L, J, E
  red-myco-009: red myco; needs W, E, Q, J
  cell-a-003: produces A; needs J, Z, F
  cell-z-002: produces Z; needs A, W, L
  cell-w-002: produces W; needs Z, L, A
  cell-l-007: produces L; needs W, V, Z
  cell-v-002: produces V; needs L, Z, W
  red-myco-010: red myco; needs J, W, Z, B
  cell-d-002: produces D; needs W, L, V
  cell-l-008: produces L; needs D, J, G
  cell-l-009: produces L; needs G, D, Y
  cell-g-006: produces G; needs L, K, F
  cell-l-010: produces L; needs G, M, Y
  red-myco-011: red myco; needs M, B, O, L
  cell-y-003: produces Y; needs B, S, L
  cell-s-001: produces S; needs Y, O, R
  cell-o-002: produces O; needs S, R, Y
  cell-r-002: produces R; needs O, P, S
  cell-p-001: produces P; needs R, S, O
  red-myco-012: red myco; needs R, S, X, M
  cell-m-005: produces M; needs R, Q, P
  cell-q-001: produces Q; needs M, Z, X
  cell-z-003: produces Z; needs Q, G, M
  cell-g-007: produces G; needs Z, V, Q
