Puzzle solver summary
  playable only: True
  won: False
  accepted near win: False
  need attempt: 0
  candidate index: -1
  candidates evaluated in winning attempt: 0
  ticks per candidate: 0
  win duration ticks: 3
  required alive ticks at end: 0
  final sustained ticks: 0
  stable at end: False
  glowing cells: 0/162
  swaps: 0
  reactions: 0
  active cells in last window: 0
  touching pairs: 297
  strain penalty: -0
  final score: 0

Cells
  cell-t-001: produces T; needs Z, C, K
  cell-c-001: produces C; needs T, Q, P
  cell-q-001: produces Q; needs C, Y, T
  cell-y-001: produces Y; needs Q, U, C
  cell-u-001: produces U; needs Y, S, Q
  red-myco-001: red myco; needs D, S, R, Z
  cell-e-001: produces E; needs D, H, U
  cell-h-001: produces H; needs E, G, D
  cell-g-001: produces G; needs H, U, E
  cell-u-002: produces U; needs G, E, H
  cell-e-002: produces E; needs U, W, G
  red-myco-002: red myco; needs T, Q, P, W
  cell-f-001: produces F; needs P, N, E
  cell-n-001: produces N; needs F, A, Q
  cell-a-001: produces A; needs N, P, F
  cell-p-001: produces P; needs A, N, F
  cell-a-002: produces A; needs P, O, W
  red-myco-003: red myco; needs G, O, F, P
  cell-a-003: produces A; needs P, K, E
  cell-k-001: produces K; needs A, E, F
  cell-e-003: produces E; needs K, V, A
  cell-v-001: produces V; needs E, N, K
  cell-n-002: produces N; needs V, Q, E
  red-myco-004: red myco; needs Q, S, P, U
  cell-t-002: produces T; needs S, C, N
  cell-c-002: produces C; needs T, E, U
  cell-e-004: produces E; needs C, G, T
  cell-g-002: produces G; needs E, V, C
  cell-v-002: produces V; needs G, X, E
  red-myco-005: red myco; needs Z, Y, G, X
  cell-n-003: produces N; needs Y, D, V
  cell-d-001: produces D; needs N, B, X
  cell-b-001: produces B; needs D, T, N
  cell-t-003: produces T; needs B, Z, D
  cell-z-001: produces Z; needs T, E, B
  red-myco-006: red myco; needs N, O, U, E
  cell-z-002: produces Z; needs E, N, C
  cell-n-004: produces N; needs Z, C, E
  cell-c-003: produces C; needs N, O, Z
  cell-o-001: produces O; needs C, J, N
  cell-j-001: produces J; needs O, H, C
  red-myco-007: red myco; needs F, A, W, H
  cell-o-002: produces O; needs F, R, J
  cell-r-001: produces R; needs O, Z, W
  cell-z-003: produces Z; needs R, L, O
  cell-l-001: produces L; needs Z, F, R
  cell-f-002: produces F; needs L, N, Z
  red-myco-008: red myco; needs N, T, H, O
  cell-x-001: produces X; needs H, B, F
  cell-b-002: produces B; needs X, C, H
  cell-c-004: produces C; needs B, S, X
  cell-s-001: produces S; needs C, A, B
  cell-a-004: produces A; needs S, H, C
  red-myco-009: red myco; needs W, L, H, Q
  cell-h-002: produces H; needs L, J, A
  cell-j-002: produces J; needs H, V, L
  cell-v-003: produces V; needs J, H, O
  cell-h-003: produces H; needs V, O, J
  cell-o-003: produces O; needs H, X, V
  red-myco-010: red myco; needs T, X, C, M
  cell-q-002: produces Q; needs X, A, O
  cell-a-005: produces A; needs Q, G, M
