Puzzle solver summary
  playable only: True
  won: False
  accepted near win: False
  need attempt: 0
  candidate index: -1
  candidates evaluated in winning attempt: 0
  ticks per candidate: 0
  win duration ticks: 3
  required alive ticks at end: 0
  final sustained ticks: 0
  stable at end: False
  glowing cells: 0/164
  swaps: 0
  reactions: 0
  active cells in last window: 0
  touching pairs: 283
  strain penalty: -0
  final score: 0

Cells
  cell-k-001: produces K; needs L, G, U
  cell-g-001: produces G; needs K, D, L
  cell-d-001: produces D; needs G, Z, K
  cell-z-001: produces Z; needs D, Y, G
  cell-y-001: produces Y; needs Z, F, D
  red-myco-001: red myco; needs G, J, P, F
  cell-x-001: produces X; needs F, T, Y
  cell-t-001: produces T; needs X, J, P
  cell-j-001: produces J; needs T, E, X
  cell-e-001: produces E; needs J, T, L
  cell-e-002: produces E; needs Q, J, A
  red-myco-002: red myco; needs H, Q, P, L
  cell-a-001: produces A; needs L, I, E
  cell-i-001: produces I; needs A, J, H
  cell-j-002: produces J; needs I, P, A
  cell-p-001: produces P; needs J, F, I
  cell-f-001: produces F; needs P, S, J
  red-myco-003: red myco; needs Y, S, H, N
  cell-d-002: produces D; needs N, K, F
  cell-k-002: produces K; needs D, M, N
  cell-m-001: produces M; needs K, E, D
  cell-e-003: produces E; needs M, R, K
  cell-r-001: produces R; needs E, M, H
  red-myco-004: red myco; needs N, E, G, B
  cell-h-001: produces H; needs N, T, R
  cell-t-002: produces T; needs H, K, E
  cell-k-003: produces K; needs T, V, H
  cell-v-001: produces V; needs K, T, M
  cell-t-003: produces T; needs V, H, K
  red-myco-005: red myco; needs A, M, H, W
  cell-l-001: produces L; needs M, K, T
  cell-k-004: produces K; needs L, S, M
  cell-s-001: produces S; needs K, V, L
  cell-v-002: produces V; needs S, E, K
  cell-e-004: produces E; needs V, D, S
  red-myco-006: red myco; needs O, D, Y, Q
  cell-k-005: produces K; needs D, G, E
  cell-g-002: produces G; needs K, U, Q
  cell-u-001: produces U; needs G, E, K
  cell-e-005: produces E; needs U, V, G
  cell-v-003: produces V; needs E, N, U
  red-myco-007: red myco; needs A, Q, N, M
  cell-a-002: produces A; needs N, W, V
  cell-w-001: produces W; needs A, K, P
  cell-k-006: produces K; needs W, P, A
  cell-p-002: produces P; needs K, H, W
  cell-h-002: produces H; needs P, S, K
  red-myco-008: red myco; needs J, S, V, A
  cell-g-003: produces G; needs A, Q, H
  cell-q-001: produces Q; needs G, N, J
  cell-n-001: produces N; needs Q, J, G
  cell-j-003: produces J; needs N, Q, V
  cell-j-004: produces J; needs N, P, S
  red-myco-009: red myco; needs S, Y, P, N
  cell-p-003: produces P; needs N, U, J
  cell-u-002: produces U; needs P, O, Y
  cell-o-001: produces O; needs U, F, P
  cell-f-002: produces F; needs O, U, G
  cell-o-002: produces O; needs F, J, S
  red-myco-010: red myco; needs G, J, M, O
  cell-s-002: produces S; needs G, D, O
  cell-d-003: produces D; needs S, V, O
  cell-v-004: produces V; needs D, C, S
  cell-c-001: produces C; needs V, X, D
  cell-x-002: produces X; needs C, M, V
  red-myco-011: red myco; needs C, M, B, D
  cell-d-004: produces D; needs M, H, X
  cell-h-003: produces H; needs D, V, B
  cell-v-005: produces V; needs H, L, D
  cell-l-002: produces L; needs V, J, H
  cell-j-005: produces J; needs L, M, V
  red-myco-012: red myco; needs A, K, M, E
  cell-v-006: produces V; needs K, P, J
  cell-p-004: produces P; needs V, Q, A
  cell-q-002: produces Q; needs P, V, X
  cell-p-005: produces P; needs Q, X, N
