Puzzle solver summary
  playable only: True
  won: False
  accepted near win: False
  need attempt: 0
  candidate index: -1
  candidates evaluated in winning attempt: 0
  ticks per candidate: 0
  win duration ticks: 3
  required alive ticks at end: 0
  final sustained ticks: 0
  stable at end: False
  glowing cells: 0/177
  swaps: 0
  reactions: 0
  active cells in last window: 0
  touching pairs: 326
  strain penalty: -0
  final score: 0

Cells
  cell-r-001: produces R; needs V, J, S
  cell-j-001: produces J; needs R, C, V
  cell-c-001: produces C; needs J, R, A
  cell-r-002: produces R; needs C, A, J
  cell-a-001: produces A; needs R, K, C
  red-myco-001: red myco; needs M, K, A, P
  cell-l-001: produces L; needs P, U, A
  cell-u-001: produces U; needs L, M, P
  cell-m-001: produces M; needs U, T, L
  cell-t-001: produces T; needs M, U, R
  cell-u-002: produces U; needs T, E, M
  red-myco-002: red myco; needs F, R, A, E
  cell-m-002: produces M; needs R, U, X
  cell-u-003: produces U; needs M, X, A
  cell-x-001: produces X; needs U, H, M
  cell-h-001: produces H; needs X, M, U
  cell-m-003: produces M; needs H, F, X
  red-myco-003: red myco; needs V, G, F, Y
  cell-p-001: produces P; needs F, A, M
  cell-a-002: produces A; needs P, G, F
  cell-g-001: produces G; needs A, S, P
  cell-s-001: produces S; needs G, R, A
  cell-r-003: produces R; needs S, Z, G
  red-myco-004: red myco; needs G, P, Q, Z
  cell-n-001: produces N; needs P, L, R
  cell-l-002: produces L; needs N, U, Z
  cell-u-004: produces U; needs L, K, N
  cell-k-001: produces K; needs U, L, C
  cell-l-003: produces L; needs K, U, D
  red-myco-005: red myco; needs S, V, K, C
  cell-d-001: produces D; needs C, O, L
  cell-o-001: produces O; needs D, K, E
  cell-o-002: produces O; needs E, D, N
  cell-e-001: produces E; needs O, N, V
  cell-n-002: produces N; needs E, C, O
  red-myco-006: red myco; needs S, V, K, C
  cell-y-001: produces Y; needs C, W, N
  cell-w-001: produces W; needs Y, B, C
  cell-b-001: produces B; needs W, S, Y
  cell-s-002: produces S; needs B, R, W
  cell-r-004: produces R; needs S, W, B
  red-myco-007: red myco; needs H, W, M, K
  cell-k-002: produces K; needs H, B, R
  cell-b-002: produces B; needs K, L, H
  cell-l-004: produces L; needs B, K, D
  cell-l-005: produces L; needs D, B, V
  cell-d-002: produces D; needs L, V, K
  red-myco-008: red myco; needs Z, V, J, C
  cell-k-003: produces K; needs Z, F, D
  cell-f-001: produces F; needs K, E, Z
  cell-e-002: produces E; needs F, L, K
  cell-l-006: produces L; needs E, Y, F
  cell-y-002: produces Y; needs L, C, E
  red-myco-009: red myco; needs B, F, I, C
  cell-x-002: produces X; needs B, W, Y
  cell-w-002: produces W; needs X, Z, C
  cell-z-001: produces Z; needs W, X, P
  cell-x-003: produces X; needs Z, P, W
  cell-p-002: produces P; needs X, W, Z
  red-myco-010: red myco; needs E, H, W, L
  cell-g-002: produces G; needs W, R, P
  cell-r-005: produces R; needs G, B, H
  cell-b-003: produces B; needs R, H, G
  cell-h-002: produces H; needs B, Y, R
  cell-y-003: produces Y; needs H, L, B
  red-myco-011: red myco; needs X, O, L, C
  cell-r-006: produces R; needs X, U, Y
  cell-u-005: produces U; needs R, V, C
  cell-v-001: produces V; needs U, D, R
  cell-d-003: produces D; needs V, U, S
  cell-d-004: produces D; needs S, V, P
