Puzzle solver summary
  playable only: True
  won: False
  accepted near win: False
  need attempt: 0
  candidate index: -1
  candidates evaluated in winning attempt: 0
  ticks per candidate: 0
  win duration ticks: 3
  required alive ticks at end: 0
  final sustained ticks: 0
  stable at end: False
  glowing cells: 0/200
  swaps: 0
  reactions: 0
  active cells in last window: 0
  touching pairs: 370
  strain penalty: -0
  final score: 0

Cells
  cell-g-001: produces G; needs B, F, Y
  cell-f-001: produces F; needs G, Y, B
  cell-y-001: produces Y; needs F, C, G
  cell-c-001: produces C; needs Y, R, F
  cell-r-001: produces R; needs C, D, Y
  red-myco-001: red myco; needs I, S, D, W
  cell-q-001: produces Q; needs W, I, R
  cell-i-001: produces I; needs Q, W, S
  cell-w-001: produces W; needs I, H, Q
  cell-h-001: produces H; needs W, I, J
  cell-w-002: produces W; needs H, E, R
  red-myco-002: red myco; needs J, S, E, I
  cell-r-002: produces R; needs E, H, W
  cell-h-002: produces H; needs R, Y, J
  cell-y-002: produces Y; needs H, T, R
  cell-t-001: produces T; needs Y, H, Q
  cell-t-002: produces T; needs Z, Y, F
  red-myco-003: red myco; needs G, M, Z, Q
  cell-f-002: produces F; needs Z, U, T
  cell-u-001: produces U; needs F, K, Z
  cell-k-001: produces K; needs U, I, F
  cell-i-002: produces I; needs K, O, U
  cell-o-001: produces O; needs I, V, K
  red-myco-004: red myco; needs U, V, S, J
  cell-m-001: produces M; needs V, E, O
  cell-e-001: produces E; needs M, A, J
  cell-a-001: produces A; needs E, I, M
  cell-i-003: produces I; needs A, L, E
  cell-l-001: produces L; needs I, R, A
  red-myco-005: red myco; needs L, Q, R, Y
  cell-i-004: produces I; needs Y, L, T
  cell-i-005: produces I; needs T, L, U
  cell-t-003: produces T; needs I, U, M
  cell-u-002: produces U; needs T, M, I
  cell-m-002: produces M; needs U, C, T
  red-myco-006: red myco; needs I, C, X, F
  cell-o-002: produces O; needs C, M, K
  cell-m-003: produces M; needs O, K, F
  cell-k-002: produces K; needs M, W, O
  cell-w-003: produces W; needs K, I, M
  cell-i-006: produces I; needs W, O, K
  red-myco-007: red myco; needs O, I, U, P
  cell-g-002: produces G; needs O, E, I
  cell-e-002: produces E; needs G, J, U
  cell-j-001: produces J; needs E, C, G
  cell-c-002: produces C; needs J, K, E
  cell-k-003: produces K; needs C, A, J
  red-myco-008: red myco; needs A, W, G, D
  cell-z-001: produces Z; needs G, Q, K
  cell-q-002: produces Q; needs Z, S, G
  cell-s-001: produces S; needs Q, Z, V
  cell-s-002: produces S; needs V, Q, L
  cell-v-001: produces V; needs S, W, R
  red-myco-009: red myco; needs S, L, W, U
  cell-r-003: produces R; needs U, B, V
  cell-b-001: produces B; needs R, I, W
  cell-i-007: produces I; needs B, S, R
  cell-s-003: produces S; needs I, U, B
  cell-u-003: produces U; needs S, D, I
  red-myco-010: red myco; needs L, E, D, O
  cell-q-003: produces Q; needs E, A, U
  cell-a-002: produces A; needs Q, X, O
  cell-x-001: produces X; needs A, Q, L
  cell-x-002: produces X; needs A, Z, I
  cell-x-003: produces X; needs N, Z, W
  red-myco-011: red myco; needs N, K, Z, Y
  cell-z-002: produces Z; needs K, J, X
  cell-j-002: produces J; needs Z, H, K
  cell-h-003: produces H; needs J, G, Z
  cell-g-003: produces G; needs H, J, N
  cell-g-004: produces G; needs S, H, J
  red-myco-012: red myco; needs N, S, Z, X
  cell-j-003: produces J; needs X, U, G
  cell-u-004: produces U; needs J, M, S
  cell-m-004: produces M; needs U, K, J
  cell-k-004: produces K; needs M, P, U
  cell-p-001: produces P; needs K, V, M
  red-myco-013: red myco; needs L, S, F, V
  cell-x-004: produces X; needs L, A, P
  cell-a-003: produces A; needs X, S, R
  cell-s-004: produces S; needs A, R, X
  cell-r-004: produces R; needs S, B, A
  cell-b-002: produces B; needs R, F, S
  red-myco-014: red myco; needs E, F, J, X
  cell-t-004: produces T; needs J, B, Z
  cell-t-005: produces T; needs Z, E, O
  cell-z-003: produces Z; needs T, O, F
  cell-o-003: produces O; needs Z, F, T
  cell-f-003: produces F; needs O, Z, A
  red-myco-015: red myco; needs Z, Y, N, O
