Puzzle solver summary
  playable only: True
  won: False
  accepted near win: False
  need attempt: 0
  candidate index: -1
  candidates evaluated in winning attempt: 0
  ticks per candidate: 0
  win duration ticks: 3
  required alive ticks at end: 0
  final sustained ticks: 0
  stable at end: False
  glowing cells: 0/201
  swaps: 0
  reactions: 0
  active cells in last window: 0
  touching pairs: 371
  strain penalty: -0
  final score: 0

Cells
  cell-c-001: produces C; needs D, H, B
  cell-h-001: produces H; needs C, A, D
  cell-a-001: produces A; needs H, J, C
  cell-j-001: produces J; needs A, Q, H
  cell-q-001: produces Q; needs J, N, A
  red-myco-001: red myco; needs A, D, J, N
  cell-d-001: produces D; needs N, V, Q
  cell-v-001: produces V; needs D, Y, A
  cell-y-001: produces Y; needs V, Z, D
  cell-z-001: produces Z; needs Y, N, V
  cell-n-001: produces N; needs Z, X, Y
  red-myco-002: red myco; needs X, U, D, L
  cell-o-001: produces O; needs L, K, N
  cell-k-001: produces K; needs O, N, X
  cell-n-002: produces N; needs K, W, O
  cell-w-001: produces W; needs N, S, K
  cell-s-001: produces S; needs W, V, N
  red-myco-003: red myco; needs M, E, V, F
  cell-h-002: produces H; needs E, S, C
  cell-h-003: produces H; needs C, V, W
  cell-c-002: produces C; needs H, W, Z
  cell-w-002: produces W; needs C, Z, H
  cell-z-002: produces Z; needs W, F, C
  red-myco-004: red myco; needs F, H, V, S
  cell-t-001: produces T; needs V, I, Z
  cell-i-001: produces I; needs T, K, S
  cell-k-002: produces K; needs I, T, X
  cell-i-002: produces I; needs K, X, W
  cell-x-001: produces X; needs I, Q, K
  red-myco-005: red myco; needs X, W, A, Q
  cell-s-002: produces S; needs Q, G, X
  cell-g-001: produces G; needs S, W, A
  cell-w-003: produces W; needs G, R, S
  cell-r-001: produces R; needs W, U, G
  cell-u-001: produces U; needs R, B, W
  red-myco-006: red myco; needs X, B, S, A
  cell-a-002: produces A; needs S, B, U
  cell-b-001: produces B; needs A, M, H
  cell-m-001: produces M; needs B, H, A
  cell-h-004: produces H; needs M, O, B
