Puzzle solver summary
  playable only: True
  won: False
  accepted near win: False
  need attempt: 0
  candidate index: -1
  candidates evaluated in winning attempt: 0
  ticks per candidate: 0
  win duration ticks: 3
  required alive ticks at end: 0
  final sustained ticks: 0
  stable at end: False
  glowing cells: 0/207
  swaps: 0
  reactions: 0
  active cells in last window: 0
  touching pairs: 308
  strain penalty: -0
  final score: 0

Cells
  cell-t-001: produces T; needs U, K, R
  cell-k-001: produces K; needs T, W, U
  cell-w-001: produces W; needs K, X, T
  cell-x-001: produces X; needs W, D, K
  cell-d-001: produces D; needs X, W, U
  red-myco-001: red myco; needs M, X, H, C
  cell-w-002: produces W; needs M, A, D
  cell-a-001: produces A; needs W, F, M
  cell-f-001: produces F; needs A, H, W
  cell-h-001: produces H; needs F, K, A
  cell-k-002: produces K; needs H, M, F
  red-myco-002: red myco; needs M, J, E, K
  cell-x-002: produces X; needs E, I, K
  cell-i-001: produces I; needs X, O, E
  cell-o-001: produces O; needs I, D, X
  cell-d-002: produces D; needs O, V, I
  cell-v-001: produces V; needs D, K, O
  red-myco-003: red myco; needs E, L, X, K
  cell-e-001: produces E; needs L, F, V
  cell-f-002: produces F; needs E, A, X
  cell-a-002: produces A; needs F, P, E
  cell-p-001: produces P; needs A, V, F
  cell-v-002: produces V; needs P, Q, A
  red-myco-004: red myco; needs J, E, Q, W
  cell-j-001: produces J; needs W, S, V
  cell-s-001: produces S; needs J, N, U
  cell-n-001: produces N; needs S, U, J
  cell-u-001: produces U; needs N, G, S
  cell-g-001: produces G; needs U, K, N
  red-myco-005: red myco; needs D, K, O, P
  cell-j-002: produces J; needs O, S, G
  cell-s-002: produces S; needs J, I, D
  cell-i-002: produces I; needs S, J, T
  cell-s-003: produces S; needs I, T, Y
  cell-t-002: produces T; needs S, Y, I
  red-myco-006: red myco; needs Y, Q, S, D
  cell-i-003: produces I; needs S, Z, T
  cell-z-001: produces Z; needs I, T, Y
  cell-t-003: produces T; needs Z, Y, I
  cell-y-001: produces Y; needs T, U, Z
  cell-u-002: produces U; needs Y, S, T
  red-myco-007: red myco; needs F, S, X, L
  cell-p-002: produces P; needs S, B, U
  cell-b-001: produces B; needs P, L, Y
  cell-l-001: produces L; needs B, Y, P
  cell-y-002: produces Y; needs L, W, B
  cell-w-003: produces W; needs Y, K, L
  red-myco-008: red myco; needs V, Q, K, M
  cell-h-002: produces H; needs M, B, W
  cell-b-002: produces B; needs H, S, V
  cell-s-004: produces S; needs B, T, H
  cell-t-004: produces T; needs S, U, B
  cell-u-003: produces U; needs T, J, S
