Puzzle solver summary
  playable only: True
  won: False
  accepted near win: False
  need attempt: 0
  candidate index: -1
  candidates evaluated in winning attempt: 0
  ticks per candidate: 0
  win duration ticks: 3
  required alive ticks at end: 0
  final sustained ticks: 0
  stable at end: False
  glowing cells: 0/211
  swaps: 0
  reactions: 0
  active cells in last window: 0
  touching pairs: 392
  strain penalty: -0
  final score: 0

Cells
  cell-l-001: produces L; needs O, X, U
  cell-x-001: produces X; needs L, V, O
  cell-v-001: produces V; needs X, Q, L
  cell-q-001: produces Q; needs V, E, X
  cell-e-001: produces E; needs Q, H, V
  red-myco-001: red myco; needs F, R, H, P
  cell-g-001: produces G; needs R, E, H
  cell-g-002: produces G; needs H, R, S
  cell-h-001: produces H; needs G, S, Y
  cell-s-001: produces S; needs H, Y, G
  cell-y-001: produces Y; needs S, H, J
  red-myco-002: red myco; needs V, N, S, I
  cell-j-001: produces J; needs S, M, Y
  cell-m-001: produces M; needs J, R, N
  cell-r-001: produces R; needs M, I, J
  cell-i-001: produces I; needs R, M, X
  cell-m-002: produces M; needs I, T, R
  red-myco-003: red myco; needs D, Q, X, T
  cell-k-001: produces K; needs T, J, M
  cell-j-002: produces J; needs K, R, D
  cell-r-002: produces R; needs J, K, U
  cell-j-003: produces J; needs R, U, W
  cell-u-001: produces U; needs J, T, R
  red-myco-004: red myco; needs T, W, U, Z
  cell-l-002: produces L; needs W, R, U
  cell-r-003: produces R; needs L, K, T
  cell-k-002: produces K; needs R, L, G
  cell-l-003: produces L; needs K, G, R
  cell-g-003: produces G; needs L, K, M
  red-myco-005: red myco; needs K, D, N, E
  cell-m-003: produces M; needs N, P, G
  cell-p-001: produces P; needs M, L, E
  cell-l-004: produces L; needs P, H, M
  cell-h-002: produces H; needs L, P, F
  cell-l-005: produces L; needs H, A, T
  red-myco-006: red myco; needs L, U, F, A
  cell-t-001: produces T; needs L, V, Q
  cell-v-002: produces V; needs T, Q, F
  cell-q-002: produces Q; needs V, K, T
  cell-k-003: produces K; needs Q, T, V
  cell-t-002: produces T; needs K, E, Q
  red-myco-007: red myco; needs D, F, E, R
  cell-c-001: produces C; needs D, F, T
  cell-f-001: produces F; needs C, P, D
  cell-p-002: produces P; needs F, C, H
  cell-p-003: produces P; needs H, F, W
  cell-h-003: produces H; needs P, U, N
  red-myco-008: red myco; needs V, U, W, B
  cell-n-001: produces N; needs W, H, S
  cell-h-004: produces H; needs N, S, B
  cell-s-002: produces S; needs H, Z, N
  cell-z-001: produces Z; needs S, R, H
  cell-r-004: produces R; needs Z, S, P
  red-myco-009: red myco; needs F, Z, O, M
  cell-p-004: produces P; needs Z, O, R
  cell-o-001: produces O; needs P, R, F
  cell-r-005: produces R; needs O, U, P
  cell-u-002: produces U; needs R, V, O
  cell-v-003: produces V; needs U, F, R
  red-myco-010: red myco; needs X, O, F, C
  cell-q-003: produces Q; needs F, H, V
  cell-h-005: produces H; needs Q, J, F
  cell-j-004: produces J; needs H, Q, W
  cell-j-005: produces J; needs W, H, U
  cell-w-001: produces W; needs J, K, V
  red-myco-011: red myco; needs S, U, V, K
  cell-v-004: produces V; needs K, D, W
  cell-d-001: produces D; needs V, G, N
  cell-g-004: produces G; needs D, N, V
  cell-n-002: produces N; needs G, X, D
  cell-x-002: produces X; needs N, G, M
  red-myco-012: red myco; needs R, G, H, V
  cell-m-004: produces M; needs R, F, X
  cell-f-002: produces F; needs M, G, R
  cell-g-005: produces G; needs F, P, M
  cell-p-005: produces P; needs G, V, F
  cell-v-005: produces V; needs P, A, G
  red-myco-013: red myco; needs O, A, E, U
  cell-i-002: produces I; needs U, G, V
  cell-g-006: produces G; needs I, A, O
  cell-a-001: produces A; needs G, I, E
  cell-g-007: produces G; needs A, E, Q
  cell-e-002: produces E; needs G, H, A
  red-myco-014: red myco; needs T, S, Q, H
  cell-u-003: produces U; needs Q, C, E
  cell-c-002: produces C; needs U, M, S
  cell-m-005: produces M; needs C, T, U
  cell-t-003: produces T; needs M, C, G
  cell-m-006: produces M; needs T, Q, C
  red-myco-015: red myco; needs Q, S, T, G
  cell-c-003: produces C; needs S, H, M
  cell-h-006: produces H; needs C, I, G
  cell-i-003: produces I; needs H, Z, C
  cell-z-002: produces Z; needs I, B, H
  cell-b-001: produces B; needs Z, I, S
  red-myco-016: red myco; needs I, U, T, L
  cell-s-003: produces S; needs I, U, B
