Puzzle solver summary
  playable only: True
  won: False
  accepted near win: False
  need attempt: 0
  candidate index: -1
  candidates evaluated in winning attempt: 0
  ticks per candidate: 0
  win duration ticks: 3
  required alive ticks at end: 0
  final sustained ticks: 0
  stable at end: False
  glowing cells: 0/217
  swaps: 0
  reactions: 0
  active cells in last window: 0
  touching pairs: 403
  strain penalty: -0
  final score: 0

Cells
  cell-s-001: produces S; needs F, E, G
  cell-e-001: produces E; needs S, Q, F
  cell-q-001: produces Q; needs E, N, S
  cell-n-001: produces N; needs Q, C, E
  cell-c-001: produces C; needs N, B, Q
  red-myco-001: red myco; needs D, Q, B, O
  cell-v-001: produces V; needs D, Y, C
  cell-y-001: produces Y; needs V, J, Q
  cell-j-001: produces J; needs Y, A, V
  cell-a-001: produces A; needs J, Z, Y
  cell-z-001: produces Z; needs A, R, J
  red-myco-002: red myco; needs M, U, N, R
  cell-t-001: produces T; needs U, C, Z
  cell-c-002: produces C; needs T, X, U
  cell-x-001: produces X; needs C, M, T
  cell-m-001: produces M; needs X, C, Q
  cell-m-002: produces M; needs W, X, L
  red-myco-003: red myco; needs N, R, Q, W
  cell-l-001: produces L; needs R, F, M
  cell-f-001: produces F; needs L, A, R
  cell-a-002: produces A; needs F, K, L
  cell-k-001: produces K; needs A, H, F
  cell-h-001: produces H; needs K, I, A
  red-myco-004: red myco; needs I, P, U, T
  cell-x-002: produces X; needs I, E, H
  cell-e-002: produces E; needs X, B, T
  cell-b-001: produces B; needs E, Q, X
  cell-q-002: produces Q; needs B, S, E
  cell-s-002: produces S; needs Q, Z, B
  red-myco-005: red myco; needs M, S, W, Z
  cell-p-001: produces P; needs Z, D, S
  cell-d-001: produces D; needs P, M, X
  cell-d-002: produces D; needs X, P, J
  cell-x-003: produces X; needs D, J, T
  cell-j-002: produces J; needs X, C, D
  red-myco-006: red myco; needs T, V, C, K
  cell-o-001: produces O; needs V, B, J
  cell-b-002: produces B; needs O, K, A
  cell-k-002: produces K; needs B, O, L
  cell-b-003: produces B; needs K, O, P
  cell-o-002: produces O; needs B, W, K
  red-myco-007: red myco; needs P, I, W, T
  cell-p-002: produces P; needs T, Z, O
  cell-z-002: produces Z; needs P, W, U
  cell-w-001: produces W; needs Z, U, P
  cell-u-001: produces U; needs W, D, Z
  cell-d-003: produces D; needs U, W, A
  red-myco-008: red myco; needs U, D, R, W
  cell-a-003: produces A; needs D, Z, C
  cell-z-003: produces Z; needs A, C, U
  cell-c-003: produces C; needs Z, N, A
  cell-n-002: produces N; needs C, E, Z
  cell-e-003: produces E; needs N, F, C
  red-myco-009: red myco; needs S, J, F, I
  cell-s-003: produces S; needs I, H, E
  cell-h-002: produces H; needs S, F, T
  cell-h-003: produces H; needs T, S, B
  cell-t-002: produces T; needs H, B, G
  cell-b-004: produces B; needs T, Z, H
  red-myco-010: red myco; needs H, Z, J, G
  cell-y-002: produces Y; needs Z, V, B
  cell-v-002: produces V; needs Y, J, L
  cell-v-003: produces V; needs L, Y, C
  cell-l-002: produces L; needs V, C, G
  cell-c-004: produces C; needs L, A, V
  red-myco-011: red myco; needs Z, G, A, C
  cell-j-003: produces J; needs C, W, N
  cell-w-002: produces W; needs J, N, A
  cell-n-003: produces N; needs W, K, J
  cell-k-003: produces K; needs N, A, W
  cell-a-004: produces A; needs K, P, N
  red-myco-012: red myco; needs R, D, Z, P
  cell-z-004: produces Z; needs P, O, A
  cell-o-003: produces O; needs Z, M, W
  cell-m-003: produces M; needs O, W, Z
  cell-w-003: produces W; needs M, P, O
  cell-p-003: produces P; needs W, J, M
  red-myco-013: red myco; needs H, B, C, J
  cell-t-003: produces T; needs C, B, P
  cell-b-005: produces B; needs T, C, J
  cell-c-005: produces C; needs B, A, T
  cell-a-005: produces A; needs C, H, B
  cell-h-004: produces H; needs A, U, C
  red-myco-014: red myco; needs G, U, X, F
  cell-e-004: produces E; needs F, L, H
  cell-l-003: produces L; needs E, H, G
  cell-h-005: produces H; needs L, E, I
  cell-l-004: produces L; needs H, I, X
  cell-i-001: produces I; needs L, X, H
  red-myco-015: red myco; needs H, E, X, V
