Puzzle solver summary
  playable only: True
  won: False
  accepted near win: False
  need attempt: 0
  candidate index: -1
  candidates evaluated in winning attempt: 0
  ticks per candidate: 0
  win duration ticks: 3
  required alive ticks at end: 0
  final sustained ticks: 0
  stable at end: False
  glowing cells: 0/220
  swaps: 0
  reactions: 0
  active cells in last window: 0
  touching pairs: 409
  strain penalty: -0
  final score: 0

Cells
  cell-t-001: produces T; needs F, Y, W
  cell-t-002: produces T; needs W, F, I
  cell-w-001: produces W; needs T, I, A
  cell-i-001: produces I; needs W, A, T
  cell-a-001: produces A; needs I, V, W
  red-myco-001: red myco; needs S, J, V, W
  cell-n-001: produces N; needs S, L, A
  cell-l-001: produces L; needs N, Z, J
  cell-z-001: produces Z; needs L, G, N
  cell-g-001: produces G; needs Z, L, P
  cell-l-002: produces L; needs G, X, Z
  red-myco-002: red myco; needs R, P, X, O
  cell-c-001: produces C; needs O, E, L
  cell-e-001: produces E; needs C, H, O
  cell-h-001: produces H; needs E, I, C
  cell-i-002: produces I; needs H, T, E
  cell-t-003: produces T; needs I, Z, H
  red-myco-003: red myco; needs Z, N, U, T
  cell-k-001: produces K; needs Z, X, T
  cell-x-001: produces X; needs K, F, U
  cell-f-001: produces F; needs X, I, K
  cell-i-003: produces I; needs F, Q, X
  cell-q-001: produces Q; needs I, P, F
  red-myco-004: red myco; needs A, S, P, Q
  cell-s-001: produces S; needs P, Q, I
  cell-q-002: produces Q; needs S, I, P
  cell-i-004: produces I; needs Q, S, N
  cell-q-003: produces Q; needs I, R, C
  cell-q-004: produces Q; needs R, I, J
  red-myco-005: red myco; needs R, Y, I, Q
  cell-j-001: produces J; needs I, H, Q
  cell-h-002: produces H; needs J, V, Q
  cell-v-001: produces V; needs H, T, J
  cell-t-004: produces T; needs V, Y, H
  cell-y-001: produces Y; needs T, K, V
  red-myco-006: red myco; needs Y, R, K, O
  cell-j-002: produces J; needs R, X, Y
  cell-x-002: produces X; needs J, G, K
  cell-g-002: produces G; needs X, Q, J
  cell-q-005: produces Q; needs G, W, X
  cell-w-002: produces W; needs Q, B, G
  red-myco-007: red myco; needs A, B, N, X
  cell-j-003: produces J; needs A, D, W
  cell-d-001: produces D; needs J, V, B
  cell-v-002: produces V; needs D, T, J
  cell-t-005: produces T; needs V, E, D
  cell-e-002: produces E; needs T, K, V
  red-myco-008: red myco; needs T, H, L, K
  cell-g-003: produces G; needs T, I, E
  cell-i-005: produces I; needs G, L, K
  cell-l-003: produces L; needs I, M, G
  cell-m-001: produces M; needs L, E, I
  cell-e-003: produces E; needs M, V, L
  red-myco-009: red myco; needs F, B, V, Y
  cell-f-002: produces F; needs B, Y, E
  cell-y-002: produces Y; needs F, Q, S
  cell-q-006: produces Q; needs Y, S, F
  cell-s-002: produces S; needs Q, Y, C
  cell-s-003: produces S; needs M, Q, H
  red-myco-010: red myco; needs M, Z, D, C
  cell-h-003: produces H; needs M, S, G
  cell-m-002: produces M; needs H, G, D
  cell-g-004: produces G; needs M, S, H
  cell-s-004: produces S; needs G, B, M
  cell-b-001: produces B; needs S, V, G
