Puzzle solver summary
  playable only: True
  won: False
  accepted near win: False
  need attempt: 0
  candidate index: -1
  candidates evaluated in winning attempt: 0
  ticks per candidate: 0
  win duration ticks: 3
  required alive ticks at end: 0
  final sustained ticks: 0
  stable at end: False
  glowing cells: 0/223
  swaps: 0
  reactions: 0
  active cells in last window: 0
  touching pairs: 402
  strain penalty: -0
  final score: 0

Cells
  cell-z-001: produces Z; needs M, A, T
  cell-a-001: produces A; needs Z, Q, M
  cell-q-001: produces Q; needs A, W, Z
  cell-w-001: produces W; needs Q, U, A
  cell-u-001: produces U; needs W, R, Q
  red-myco-001: red myco; needs V, S, R, A
  cell-n-001: produces N; needs A, D, U
  cell-d-001: produces D; needs N, J, A
  cell-j-001: produces J; needs D, N, V
  cell-j-002: produces J; needs V, D, X
  cell-v-001: produces V; needs J, F, R
  red-myco-002: red myco; needs D, F, X, M
  cell-r-001: produces R; needs X, M, V
  cell-m-001: produces M; needs R, X, J
  cell-x-001: produces X; needs M, J, R
  cell-j-003: produces J; needs X, I, M
  cell-i-001: produces I; needs J, E, X
  red-myco-003: red myco; needs V, A, O, E
  cell-s-001: produces S; needs E, I, W
  cell-s-002: produces S; needs W, V, L
  cell-w-002: produces W; needs S, L, P
  cell-l-001: produces L; needs W, P, S
  cell-p-001: produces P; needs L, O, W
  red-myco-004: red myco; needs H, L, V, O
  cell-d-002: produces D; needs H, W, P
  cell-w-003: produces W; needs D, S, V
  cell-s-003: produces S; needs W, E, D
  cell-e-001: produces E; needs S, O, W
  cell-o-001: produces O; needs E, D, S
  red-myco-005: red myco; needs J, V, T, D
  cell-b-001: produces B; needs D, F, O
  cell-f-001: produces F; needs B, J, T
  cell-j-004: produces J; needs F, B, L
  cell-j-005: produces J; needs L, F, G
  cell-l-002: produces L; needs J, B, P
  red-myco-006: red myco; needs B, R, G, M
  cell-p-002: produces P; needs G, Z, L
  cell-z-002: produces Z; needs P, K, R
  cell-k-001: produces K; needs Z, F, P
  cell-f-002: produces F; needs K, V, Z
  cell-v-002: produces V; needs F, K, D
  red-myco-007: red myco; needs R, S, K, V
  cell-d-003: produces D; needs V, G, Q
