candidate,won,first_win_tick,best_10_tick_flow,best_10_tick_swaps,total_swaps,total_reactions,sustained_ticks,active_cells,glowing_cells,non_glowing_required_cells,missing_required_resources,non_glowing_cell_ids,final_score,connected_cells,layout_score,diagnostics
0,false,-1,14.30,143,8975,4772,0,14,6,8,0,cell-a-001|cell-b-001|cell-c-001|cell-e-001|cell-g-001|cell-i-003|red-myco-001|red-myco-002,25173,13,1652063,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-i-003,red-myco-001,red-myco-002;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-j-001]|[cell-i-003]|[red-myco-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-j-001]|[cell-i-003]|[red-myco-001]|[red-myco-002]"
1,false,-1,10.00,100,5803,2578,0,12,3,11,2,cell-a-001|cell-b-001|cell-c-001|cell-e-001|cell-g-001|cell-h-001|cell-i-002|cell-i-003|cell-j-001|red-myco-001|red-myco-002,-5676,13,1238731,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-i-002,cell-i-003,cell-j-001,red-myco-001,red-myco-002;missingResources=C,H;strong=[cell-a-001,cell-b-001,cell-d-001,cell-f-001,cell-i-001,cell-i-002,cell-i-003]|[cell-e-001,cell-g-001,cell-j-001]|[cell-c-001]|[cell-h-001]|[red-myco-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-d-001,cell-f-001,cell-i-001,cell-i-002,cell-i-003]|[cell-e-001,cell-g-001,cell-j-001]|[cell-c-001]|[cell-h-001]|[red-myco-001]|[red-myco-002]"
2,false,-1,9.70,97,6197,2697,0,14,3,11,3,cell-a-001|cell-b-001|cell-c-001|cell-e-001|cell-g-001|cell-h-001|cell-i-002|cell-i-003|cell-j-001|red-myco-001|red-myco-002,-4254,13,1373193,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-i-002,cell-i-003,cell-j-001,red-myco-001,red-myco-002;missingResources=C,H,J;strong=[cell-a-001,cell-b-001,cell-d-001,cell-f-001,cell-i-001,cell-i-002,cell-i-003]|[cell-g-001,cell-j-001]|[cell-c-001]|[cell-e-001]|[cell-h-001]|[red-myco-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-d-001,cell-f-001,cell-i-001,cell-i-002,cell-i-003]|[cell-g-001,cell-j-001]|[cell-c-001]|[cell-e-001]|[cell-h-001]|[red-myco-001]|[red-myco-002]"
3,false,-1,10.60,106,7184,1923,0,12,3,11,3,cell-a-001|cell-b-001|cell-c-001|cell-e-001|cell-f-001|cell-g-001|cell-h-001|cell-i-002|cell-i-003|cell-j-001|red-myco-002,-14442,13,1288392,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-002,cell-i-003,cell-j-001,red-myco-002;missingResources=A,C,H;strong=[cell-a-001,cell-b-001,cell-d-001,cell-f-001,cell-i-001,cell-i-002,red-myco-001]|[cell-e-001,cell-g-001,cell-j-001]|[cell-c-001]|[cell-h-001]|[cell-i-003]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-d-001,cell-f-001,cell-i-001,cell-i-002,red-myco-001]|[cell-e-001,cell-g-001,cell-j-001]|[cell-c-001]|[cell-h-001]|[cell-i-003]|[red-myco-002]"
4,false,-1,15.30,153,13666,5606,0,14,9,5,0,cell-a-001|cell-b-001|cell-c-001|cell-g-001|cell-i-003,34297,13,1469032,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-g-001,cell-i-003;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-001,red-myco-002];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-001,red-myco-002]"
5,false,-1,14.30,143,7364,1916,0,14,3,11,5,cell-a-001|cell-b-001|cell-c-001|cell-e-001|cell-f-001|cell-g-001|cell-h-001|cell-i-002|cell-i-003|cell-j-001|red-myco-002,-10908,13,1600589,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-002,cell-i-003,cell-j-001,red-myco-002;missingResources=C,E,G,H,J;strong=[cell-a-001,cell-b-001,cell-d-001,cell-f-001,cell-i-001,cell-i-002,cell-i-003,red-myco-001]|[cell-c-001]|[cell-e-001]|[cell-g-001]|[cell-h-001]|[cell-j-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-d-001,cell-f-001,cell-i-001,cell-i-002,cell-i-003,red-myco-001]|[cell-c-001]|[cell-e-001]|[cell-g-001]|[cell-h-001]|[cell-j-001]|[red-myco-002]"
6,false,-1,14.10,141,9360,4208,0,13,6,8,1,cell-a-001|cell-b-001|cell-c-001|cell-g-001|cell-h-001|cell-i-002|cell-i-003|red-myco-002,16850,13,1479264,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-g-001,cell-h-001,cell-i-002,cell-i-003,red-myco-002;missingResources=H;strong=[cell-a-001,cell-b-001,cell-d-001,cell-f-001,cell-i-001,cell-i-003,red-myco-001]|[cell-c-001,cell-e-001,cell-g-001,cell-i-002,cell-j-001]|[cell-h-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-d-001,cell-f-001,cell-i-001,cell-i-003,red-myco-001]|[cell-c-001,cell-e-001,cell-g-001,cell-i-002,cell-j-001]|[cell-h-001]|[red-myco-002]"
7,false,-1,13.70,137,10907,4990,0,14,7,7,0,cell-a-001|cell-b-001|cell-c-001|cell-e-001|cell-g-001|cell-i-003|red-myco-002,26904,13,1600427,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-g-001,cell-i-003,red-myco-002;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-j-001,red-myco-001]|[cell-i-003]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-j-001,red-myco-001]|[cell-i-003]|[red-myco-002]"
8,false,-1,13.40,134,8856,3848,0,13,4,10,2,cell-a-001|cell-c-001|cell-e-001|cell-f-001|cell-g-001|cell-h-001|cell-i-002|cell-i-003|red-myco-001|red-myco-002,11455,13,1647290,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-c-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-002,cell-i-003,red-myco-001,red-myco-002;missingResources=A,H;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-j-001]|[cell-h-001]|[cell-i-003]|[red-myco-001]|[red-myco-002];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-j-001]|[cell-h-001]|[cell-i-003]|[red-myco-001]|[red-myco-002]"
9,false,-1,16.10,161,12014,5860,0,14,10,4,0,cell-b-001|cell-c-001|cell-g-001|cell-i-003,37312,13,1469575,"alive=False;won=False;sustained=0;nonGlowing=cell-b-001,cell-c-001,cell-g-001,cell-i-003;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-001,red-myco-002];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-001,red-myco-002]"
